AGEP,SCHL,MAR,SEX,DIS,ESP,CIT,MIG,MIL,ANC,NATIVITY,ESR,ST,FER,RAC1P,PUBCOV
6,15,4,0,0,0,0,0,4,0,0,1,0,2,1,0
4,15,4,0,0,0,0,0,4,0,0,6,0,2,0,1
9,11,4,1,1,0,0,0,4,0,0,6,0,0,1,0
16,16,4,1,0,0,0,2,4,3,0,1,0,0,0,0
12,17,4,1,0,0,0,0,4,1,0,6,0,0,0,0
24,20,0,1,1,0,0,2,4,0,0,6,0,0,0,0
15,12,3,1,1,0,0,0,4,0,0,6,0,0,0,0
33,18,4,1,1,0,0,2,4,0,0,6,0,0,0,0
37,17,2,0,0,0,4,2,4,0,1,6,0,0,1,0
3,15,4,1,0,0,0,2,4,0,0,6,0,0,0,0
24,15,4,1,1,0,0,2,4,0,0,6,0,0,0,0
4,3,4,1,0,0,4,1,4,0,1,6,0,0,0,0
4,17,4,1,0,0,0,2,4,0,0,6,0,0,0,0
10,13,4,1,0,0,0,2,4,0,0,6,0,0,0,0
12,16,4,1,1,0,0,2,4,0,0,6,0,0,0,0
11,15,0,1,0,0,0,2,4,0,0,6,0,0,0,0
5,18,4,0,0,0,0,0,4,1,0,1,0,2,0,0
8,12,4,0,1,0,0,2,4,0,0,6,0,2,0,0
36,18,2,1,1,0,0,0,4,0,0,6,0,0,1,1
3,17,4,0,0,0,0,2,4,0,0,6,0,1,0,0
6,18,4,0,0,0,4,0,4,0,1,6,0,2,1,0
29,16,0,1,1,0,0,2,4,0,0,6,0,0,0,0
13,15,4,1,0,0,0,2,4,0,0,1,0,0,1,0
3,19,4,0,0,0,0,2,4,0,0,1,0,2,0,0
4,18,4,0,1,0,0,0,4,0,0,6,0,2,0,0
5,17,4,0,0,0,0,0,4,3,0,1,0,2,0,0
3,17,4,1,0,0,0,2,4,0,0,6,0,0,1,0
34,18,4,1,1,0,0,0,4,0,0,6,0,0,1,0
10,18,4,1,0,0,0,2,4,0,0,6,0,0,1,0
5,15,4,0,0,0,0,1,1,1,0,4,0,2,0,0
9,18,4,1,0,0,0,0,4,0,0,6,0,0,1,0
18,18,4,1,0,0,4,1,4,0,1,6,0,0,0,0
5,15,4,0,0,0,0,0,4,0,0,6,0,2,0,1
41,19,1,1,1,0,0,0,4,1,0,6,0,0,0,0
4,18,4,1,0,0,0,0,4,0,0,1,0,0,0,0
5,15,0,1,0,0,0,2,4,0,0,6,0,0,0,0
4,16,4,1,0,0,0,2,4,0,0,6,0,0,1,0
5,17,4,1,0,0,0,2,4,3,0,3,0,0,0,0
32,16,4,1,1,0,0,0,4,0,0,6,0,0,1,0
12,15,4,1,1,0,0,0,4,0,0,6,0,0,1,1
18,13,3,1,0,0,4,0,4,0,1,6,0,0,0,0
2,17,4,1,1,0,0,2,4,3,0,6,0,0,0,0
17,17,4,1,0,0,0,2,4,0,0,6,0,0,0,0
6,18,4,0,0,0,0,0,2,0,0,1,0,2,1,0
24,14,4,1,0,0,0,0,4,3,0,6,0,0,0,1
25,15,4,1,0,0,0,0,4,3,0,6,0,0,1,0
31,16,3,1,0,0,0,0,4,0,0,6,0,0,1,0
12,16,3,1,0,0,0,0,4,1,0,6,0,0,1,0
5,17,4,1,0,0,0,2,4,0,0,3,0,0,0,0
2,17,4,0,0,0,0,2,4,3,0,6,0,2,0,0
7,18,4,1,0,0,0,0,4,1,0,6,0,0,0,0
31,16,4,1,0,0,0,0,3,1,0,6,0,0,0,1
7,19,4,1,0,0,0,0,4,0,0,6,0,0,0,0
33,12,4,1,1,0,0,0,4,0,0,6,0,0,0,0
49,15,2,0,1,0,0,0,4,0,0,6,0,0,0,1
4,18,4,1,0,0,0,0,4,1,0,6,0,0,0,0
7,11,4,1,0,0,0,2,4,0,0,6,0,0,0,0
5,18,4,1,0,0,0,0,4,1,0,6,0,0,0,0
33,15,4,1,1,0,0,0,4,3,0,6,0,0,0,1
31,18,0,1,0,0,0,0,4,0,0,6,0,0,0,0
23,18,4,1,0,0,0,2,4,0,0,6,0,0,0,1
8,18,4,1,0,0,4,2,4,0,1,6,0,0,0,0
4,17,4,1,0,0,0,2,4,0,0,6,0,0,0,0
18,17,4,0,1,0,0,0,4,0,0,3,0,2,0,0
39,15,2,1,1,0,0,2,4,0,0,6,0,0,0,0
4,18,4,1,0,0,4,1,4,0,1,1,0,0,0,0
20,13,0,1,0,0,0,2,4,0,0,6,0,0,1,0
44,18,2,1,1,0,0,2,4,1,0,6,0,0,0,1
5,18,4,1,0,0,0,0,4,0,0,6,0,0,0,0
7,18,4,1,0,0,0,0,4,0,0,1,0,0,1,0
7,18,4,0,0,0,0,0,4,0,0,3,0,2,0,0
33,18,2,0,0,0,0,2,4,0,0,6,0,2,0,0
35,13,0,1,0,0,0,2,4,0,0,6,0,0,0,0
25,16,3,1,0,0,0,0,4,0,0,6,0,0,0,0
8,19,4,1,0,0,0,0,4,0,0,6,0,0,0,1
2,12,4,0,0,0,0,0,4,3,0,6,0,2,1,1
5,18,4,1,0,0,4,1,4,0,1,6,0,0,0,0
6,18,4,0,0,0,0,0,4,3,0,6,0,2,0,0
6,18,4,1,0,0,0,0,4,1,0,6,0,0,0,0
6,18,4,1,0,0,0,2,4,0,0,1,0,0,0,0
33,18,2,1,1,0,0,2,2,0,0,6,0,0,1,0
