age,workclass,education,marital-status,occupation,native-country,relationship,hours-per-week,gender,race,income
23,2,9,2,12,38,5,19,0,1,1
4,2,15,0,2,38,3,39,1,1,0
0,2,1,4,7,38,3,9,1,1,0
34,2,11,2,11,0,0,49,1,0,1
9,2,9,4,3,38,1,37,1,1,1
27,2,14,0,9,38,1,95,0,1,1
28,4,11,2,2,8,0,39,1,1,1
20,2,9,4,3,38,1,44,1,1,1
12,2,11,2,5,38,0,41,1,1,1
16,2,11,5,6,38,1,29,1,1,0
42,2,11,2,6,38,0,39,1,1,1
20,2,15,2,2,38,0,39,1,1,1
39,3,14,2,9,38,0,31,1,1,1
24,2,15,2,9,38,0,49,1,1,1
39,2,11,2,3,38,0,39,1,1,1
21,2,15,2,3,38,0,39,1,1,1
11,2,7,4,11,38,1,59,0,1,0
18,2,8,2,2,38,0,49,1,1,1
17,2,9,4,0,38,3,39,1,1,0
26,0,11,2,0,38,5,34,0,1,0
5,2,8,4,7,38,1,39,0,1,0
13,2,9,4,3,38,1,39,1,1,1
27,2,7,4,0,38,1,37,1,1,0
11,2,15,4,12,38,1,39,1,1,1
16,2,7,0,0,38,1,39,0,1,1
10,2,7,4,12,38,1,39,1,1,0
23,3,7,2,2,38,0,49,1,1,0
23,2,9,2,11,38,0,49,1,1,1
33,2,11,2,6,38,0,44,1,1,1
31,4,1,2,4,38,0,49,1,1,1
8,2,15,4,2,38,2,39,1,1,0
23,2,15,2,5,38,0,39,1,1,1
29,2,9,5,12,38,4,39,0,1,0
16,1,6,2,7,38,0,39,1,1,0
15,2,9,2,3,38,0,39,1,1,1
15,2,11,4,7,38,1,51,1,1,0
45,2,5,0,5,38,1,39,1,1,0
10,2,15,5,0,38,4,19,0,1,0
16,2,11,5,13,38,1,39,1,1,0
11,2,15,4,7,38,1,36,1,1,0
11,2,8,4,6,38,1,39,1,1,0
6,2,15,4,11,38,1,29,1,1,0
31,2,9,2,9,38,0,49,1,1,1
6,2,15,4,7,38,3,36,0,1,0
4,2,15,4,7,38,3,36,0,1,0
3,2,15,4,12,38,3,39,1,1,0
36,2,11,2,11,38,0,59,1,1,1
7,2,11,4,11,38,3,31,0,1,0
35,4,9,2,11,38,0,39,1,1,1
26,4,9,0,11,38,4,44,1,1,1
22,2,15,0,3,38,4,39,0,1,0
20,2,14,0,9,38,1,35,1,1,1
31,2,12,0,9,38,4,39,0,1,1
30,1,9,2,0,38,5,39,0,1,1
28,2,1,2,11,38,0,69,1,1,1
3,2,15,4,11,38,3,34,1,1,0
1,2,1,4,7,38,3,11,0,1,0
28,2,9,2,11,38,0,54,1,1,1
8,2,11,5,7,38,4,19,0,1,0
5,2,15,4,11,38,1,39,1,1,0
21,2,9,4,0,38,1,49,0,1,1
8,2,9,2,3,38,0,19,1,1,0
30,2,3,0,7,38,1,14,0,1,0
23,2,11,0,13,38,1,34,1,1,0
51,2,2,6,11,38,1,29,0,1,0
23,2,11,0,3,38,1,39,0,1,0
7,2,11,4,12,38,1,44,1,1,0
29,1,9,0,9,38,4,44,0,1,1
