seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7980048612517723,0.15755015839493136,0.5292020725796556,0.10180131004366812,"[[15386   698]
 [ 3291   373]]",0.09232440260680666,0.0480395619922289,0.04428484061457776,0.5203343930295538,0.11428571428571428,0.09438886472379296,0.019896849561921323,0.5264301230992035,0.8421641351701401,-0.31573401207093665
1,0.8151711565728175,0.2964533538936006,0.5814694266129024,0.20987991266375547,"[[15329   755]
 [ 2895   769]]",0.19213206884439762,0.057807230341399916,0.1343248385029977,0.3008723670602661,0.2694693314955203,0.17080885675553548,0.09866047473998485,0.5728837372672989,0.85598485296728,-0.2831011156999811
2,0.8143103099048005,0.08621978569648642,0.5181368028005807,0.047216157205240174,"[[15908   176]
 [ 3491   173]]",0.016526019690576654,0.017865593942262187,-0.0013395742516855332,1.0810584930168863,0.019390581717451522,0.06531531531531531,-0.045924733597863795,0.4954289732770745,0.8679602460955986,-0.3725312728185241
3,0.8142090338262102,0.2660532106421284,0.5699196643929414,0.18149563318777293,"[[15414   670]
 [ 2999   665]]",0.20745252597635255,0.044583357905289854,0.1628691680710627,0.21490872523948876,0.29424011103400416,0.10841205578047683,0.18582805525352733,0.5800788247939807,0.8527451789821313,-0.27266635418815066
4,0.7889406522179461,0.18498240125146656,0.5341751451712571,0.12909388646288208,"[[15107   977]
 [ 3191   473]]",0.18875927889713678,0.05414031562149063,0.13461896327564615,0.28682200916329026,0.21443587946741416,0.07465355386678588,0.13978232560062828,0.5231530576175327,0.833382587623382,-0.3102295300058493
5,0.8218047397204781,0.35037843824995385,0.6045094924680362,0.2590065502183406,"[[15280   804]
 [ 2715   949]]",0.24945770065075923,0.06259568955364504,0.1868620110971142,0.2509270685585249,0.36588818117480537,0.1919147045757441,0.17397347659906126,0.6135213304410702,0.8557295960428689,-0.24220826560179876
6,0.8116264938221592,0.14285714285714285,0.5309257267250863,0.08460698689956332,"[[15718   366]
 [ 3354   310]]",0.09107206884187881,0.024883542661713543,0.06618852618016527,0.2732291357618861,0.1325811001410437,0.05431878895814782,0.0782623111828959,0.535317318035138,0.8570670440474084,-0.32174972601227037
7,0.8056512051853352,0.2524347487339307,0.5628746026591833,0.17685589519650655,"[[15262   822]
 [ 3016   648]]",0.20230381569474443,0.0535061873895109,0.14879762830523352,0.2644843212954827,0.26853146853146853,0.11817367949865712,0.1503577890328114,0.5593952483801296,0.8459634649381261,-0.2865682165579966
8,0.8171966781446223,0.32346326836581707,0.5926182506361253,0.2355349344978166,"[[15275   809]
 [ 2801   863]]",0.25849602313810555,0.05635378636203039,0.20214223677607515,0.21800639591241408,0.38143582306018853,0.1474835886214442,0.23395223443874433,0.6232827187274042,0.8487810623012602,-0.225498343573856
9,0.8101579906826007,0.1477608547397136,0.5316048510060175,0.08870087336244542,"[[15674   410]
 [ 3339   325]]",0.05124555160142349,0.034891958908962094,0.016353592692461394,0.6808778092651631,0.07056307911617961,0.09995577178239717,-0.029392692666217565,0.5199288256227758,0.8583067658519306,-0.3383779402291548
