seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8233238808993316,0.38541483177734714,0.6207216290240429,0.29858078602620086,"[[15165   919]
 [ 2570  1094]]",0.30304127443881246,0.06923348640056518,0.23380778803824728,0.2284622334986392,0.43663003663003663,0.21661591996520227,0.22001411666483436,0.6343229543808834,0.8540562816437066,-0.21973332726282324
1,0.8275268381608264,0.31688728439630964,0.5912675022724582,0.21561135371179038,"[[15552   532]
 [ 2874   790]]",0.26308394801545487,0.033903319330217146,0.22918062868523773,0.12886882527787477,0.3611302549965541,0.1201988251242657,0.24093142987228838,0.59536354056902,0.8666351103485,-0.2712715697794801
2,0.8407433664168523,0.4757459576596099,0.6665057234996618,0.3894650655021834,"[[15176   908]
 [ 2237  1427]]",0.5035161744022504,0.053419309039280646,0.4500968653629697,0.1060925383433758,0.6945983379501385,0.19099099099099098,0.5036073469591476,0.6940928270042194,0.8654164694746805,-0.17132364247046117
3,0.8383633785699818,0.39591218773656317,0.6248963547272018,0.2854803493449782,"[[15510   574]
 [ 2618  1046]]",0.41705481906126834,0.026891549212714513,0.3901632698485538,0.0644796510761909,0.5711311589174185,0.100314889788574,0.4708162691288445,0.6563955571479756,0.8683139706315975,-0.21191841348362195
4,0.8296536358112214,0.41291448516579404,0.6339859501264649,0.3228711790393013,"[[15201   883]
 [ 2481  1183]]",0.42028985507246375,0.05183521484721319,0.36845464022525054,0.12333206291233484,0.5641205325858444,0.16897630755476084,0.39514422503108354,0.6443973135383527,0.8606300608783025,-0.2162327473399498
5,0.8336540409155357,0.437403665011132,0.646347159128549,0.34852620087336245,"[[15186   898]
 [ 2387  1277]]",0.4566160520607375,0.05370392179955247,0.40291213026118505,0.1176128643686161,0.6284501061571125,0.17281208351843624,0.45563802263867625,0.6746203904555315,0.8595571781886704,-0.18493678773313893
6,0.8293498075754506,0.40564373897707234,0.6303220184641983,0.3138646288209607,"[[15228   856]
 [ 2514  1150]]",0.3463607027608462,0.06132437054071584,0.28503633222013036,0.17705348803111437,0.4837799717912553,0.20658949243098843,0.27719047936026686,0.6371459304410183,0.8609587829471077,-0.2238128525060894
7,0.8244379177638241,0.37226145210936085,0.614450716706722,0.28056768558951967,"[[15253   831]
 [ 2636  1028]]",0.32253419726421884,0.056747200942840303,0.26578699632137853,0.17594165649465443,0.45244755244755247,0.17054610564010744,0.281901446807445,0.6285097192224622,0.8565114908662346,-0.22800177164377233
8,0.8336034028762407,0.4117436448263517,0.6329333091878989,0.3138646288209607,"[[15312   772]
 [ 2514  1150]]",0.4002169197396963,0.0479919915204334,0.3522249282192629,0.11991494900227533,0.5438723712835388,0.175054704595186,0.3688176666883528,0.64352856109906,0.8645624779177953,-0.2210339168187353
9,0.8283876848288434,0.2627800739612791,0.5721960254515323,0.1648471615720524,"[[15755   329]
 [ 3060   604]]",0.21672597864768683,0.019128586609989374,0.19759739203769747,0.08826162294592799,0.3164647184604419,0.07076514816452897,0.2456995702959129,0.6,0.8662770102727595,-0.2662770102727595
10,0.8358314766052258,0.42781503706318397,0.6408344455799194,0.3307860262008734,"[[15294   790]
 [ 2452  1212]]",0.48652482269503544,0.03721644612476371,0.44930837657027173,0.0764944446587709,0.6607523066004258,0.1246119733924612,0.5361403332079646,0.6741134751773049,0.8627717391304348,-0.1886582639531299
