seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8079299169536156,0.2935369715030732,0.5790261606913051,0.21506550218340612,"[[15167   917]
 [ 2876   788]]",0.15387400434467777,0.07535617567408454,0.07851782867059323,0.48972648755722703,0.22564102564102564,0.20878642888212265,0.016854596758902995,0.5749456915278783,0.8458141999293536,-0.27086850840147525
1,0.8208932550131659,0.2580239144115796,0.5687543168561559,0.16784934497816595,"[[15596   488]
 [ 3049   615]]",0.1324200913242009,0.042956038104254184,0.08946405321994672,0.3243921498217816,0.18952446588559613,0.15363759602349752,0.0358868698620986,0.5511064278187566,0.8663392698656884,-0.3152328420469318
2,0.8224123961920194,0.29535864978902954,0.582332051218005,0.2006004366812227,"[[15506   578]
 [ 2929   735]]",0.15646976090014064,0.05134879318504496,0.10512096771509569,0.3281707141983548,0.2347645429362881,0.1783783783783784,0.05638616455790971,0.5741912798874824,0.8641741599621391,-0.28998288007465667
3,0.8223111201134292,0.33829907599472,0.5993408038474863,0.24481441048034935,"[[15342   742]
 [ 2767   897]]",0.2579720530275887,0.05419590729492245,0.20377614573266623,0.21008441286128965,0.35392088827203333,0.17408906882591094,0.1798318194461224,0.5911859548548907,0.8603526567199387,-0.269166701865048
4,0.8034737694956451,0.4508277911419273,0.6611182734421579,0.4347707423580786,"[[14274  1810]
 [ 2071  1593]]",0.48462354188759277,0.12010166085466044,0.3645218810329323,0.24782465248565602,0.6285914505956552,0.31113097898971837,0.3174604716059369,0.6451042771297278,0.829954489035995,-0.18485021190626716
5,0.8251974883532509,0.30234438156831045,0.5854117140471041,0.20414847161572053,"[[15548   536]
 [ 2916   748]]",0.20498915401301518,0.04222117536214816,0.162767978650867,0.20596785017936828,0.29582448690728946,0.14660151043980454,0.14922297646748492,0.586406362979031,0.864091390884466,-0.2776850279054349
6,0.8206400648166903,0.16264775413711585,0.5400419630998394,0.09388646288209607,"[[15862   222]
 [ 3320   344]]",0.07099318752240946,0.021699392652868684,0.049293794869540775,0.30565457630732706,0.10296191819464035,0.0881567230632235,0.014805195131416843,0.5252778773754033,0.8692139866737425,-0.3439361092983392
7,0.8289447032610897,0.35063437139561704,0.6049938152211806,0.24890829694323144,"[[15458   626]
 [ 2752   912]]",0.2908567314614831,0.04301708898055392,0.24783964248092918,0.14789786285640938,0.4104895104895105,0.14547896150402864,0.2650105489854818,0.6169906407487401,0.8636417206835593,-0.24665107993481916
8,0.8165383836337857,0.31029887683228635,0.587156070097056,0.22243449781659388,"[[15310   774]
 [ 2849   815]]",0.195589298626175,0.06171240136615239,0.1338768972600226,0.3155203367445056,0.27991298042059465,0.187746170678337,0.09216680974225766,0.5849602313810557,0.8542574490637145,-0.2692972176826588
9,0.8249949361960704,0.27728983688833125,0.5763303994096496,0.18094978165938866,"[[15629   455]
 [ 3001   663]]",0.1914590747330961,0.03424253158578344,0.15721654314731265,0.1788503973160808,0.2722736992159658,0.124281291463954,0.14799240775201178,0.5811387900355872,0.8654504664068957,-0.2843116763713085
10,0.8104111808790764,0.3675675675675676,0.6121622399433542,0.29694323144104806,"[[14916  1168]
 [ 2576  1088]]",0.23049645390070922,0.09487240075614367,0.13562405314456555,0.4116002617420387,0.32292405961674947,0.28070953436807095,0.042214525248678525,0.5925531914893617,0.8467036862003781,-0.25415049471101636
11,0.8279319424751873,0.3249900675407231,0.5944667270845528,0.2232532751091703,"[[15532   552]
 [ 2846   818]]",0.2174991144172866,0.04466765140324963,0.17283146301403696,0.20536934838985946,0.3223082336382829,0.16049933125278645,0.16180890238549647,0.6036131774707758,0.8653471196454948,-0.261733942174719
12,0.8228681385456755,0.31652989449003516,0.5905150389494456,0.2210698689956332,"[[15440   644]
 [ 2854   810]]",0.20526695526695526,0.052132422243166825,0.15313453302378843,0.2539737688190834,0.29043853342918763,0.17861856577210736,0.11181996765708027,0.5844155844155844,0.8618049010367578,-0.2773893166211734
13,0.8190702855985417,0.37676609105180536,0.6166350730716142,0.29475982532751094,"[[15095   989]
 [ 2584  1080]]",0.31494336865180855,0.07095408853095056,0.243989280120858,0.22529157808493233,0.4323550465282749,0.20996912218791355,0.22238592434036134,0.6160029229082937,0.8517429898301099,-0.23574006692181615
14,0.8152724326514077,0.40721481962950923,0.6325336266804517,0.3419759825327511,"[[14847  1237]
 [ 2411  1253]]",0.3586572438162544,0.08718524648303581,0.2714719973332186,0.24308792861772546,0.5090027700831025,0.23333333333333334,0.2756694367497691,0.6505300353356891,0.8428301217638019,-0.1923000864281128
15,0.8152217946121126,0.34734394562690035,0.602786483136025,0.26501091703056767,"[[15128   956]
 [ 2693   971]]",0.23991275899672845,0.07454256633523564,0.16537019266149283,0.3107069696791413,0.331192005710207,0.22403888643393724,0.10715311927626978,0.5881497637222828,0.8519738777431312,-0.2638241140208484
16,0.818817095402066,0.13323643410852715,0.531651888448093,0.07505458515283843,"[[15895   189]
 [ 3389   275]]",0.05998536942209217,0.017632537909956506,0.04235283151213566,0.29394730881598224,0.08339538346984364,0.07022834984920293,0.013167033620640714,0.5307242136064374,0.8651110849888327,-0.3343868713823953
17,0.8211970832489366,0.23851628207893036,0.5624075201806238,0.1509279475982533,"[[15664   420]
 [ 3111   553]]",0.13652737752161384,0.0349988215884987,0.10152855593311513,0.2563502077300063,0.2001399580125962,0.11946308724832215,0.08067687076427406,0.5547550432276657,0.864777280226255,-0.31002223699858933
18,0.8274762001215313,0.29709098411388485,0.5838600893344874,0.1965065502183406,"[[15621   463]
 [ 2944   720]]",0.2391146589259797,0.03083804143126177,0.20827661749471793,0.12896759056837243,0.33093525179856115,0.11433597185576078,0.21659927994280037,0.5903483309143687,0.865936911487759,-0.2755885805733903
19,0.8202855985416244,0.16709692560431824,0.5410888685927265,0.09716157205240175,"[[15843   241]
 [ 3308   356]]",0.05618374558303887,0.025889585057335383,0.030294160525703485,0.4608020485047744,0.08882521489971347,0.10229276895943562,-0.01346755405972215,0.5381625441696113,0.8674784253457856,-0.3293158811761743
