seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
1,0.8073222604820741,0.2700939957797813,0.5698015277869787,0.19213973799126638,"[[15239   845]
 [ 2960   704]]",0.174569722514928,0.062244837583574936,0.11232488493135306,0.35656147404514654,0.23018607856650586,0.16719385449615906,0.0629922240703468,0.5504039339655779,0.8506005561801077,-0.3001966222145298
2,0.8171460401053271,0.08512794527489233,0.5193507828442164,0.04585152838427948,"[[15969   115]
 [ 3496   168]]",0.011251758087201125,0.01484855655466162,-0.003596798467460494,1.3196654637955514,0.01662049861495845,0.06486486486486487,-0.04824436624990642,0.4978902953586498,0.8708589682915286,-0.37296867293287883
3,0.8142090338262102,0.013444474321054048,0.5024789682225087,0.006823144104803494,"[[16054    30]
 [ 3639    25]]",0.009315657470440702,0.001710208173615616,0.007605449296825086,0.18358426971389172,0.011103400416377515,0.004048582995951417,0.007054817420426098,0.48584736653529204,0.8682549979359556,-0.3824076314006636
4,0.7938525420295726,0.17407181984175288,0.5325540163595274,0.11708515283842795,"[[15248   836]
 [ 3235   429]]",0.07917992223400495,0.06152845912879012,0.017651463105214836,0.7770714771220859,0.10161177295024527,0.12695574430040232,-0.02534397135015705,0.5189112760692824,0.8398250487617471,-0.3209137726924647
5,0.8037269596921207,0.4055214723926381,0.6327167876291391,0.36080786026200873,"[[14550  1534]
 [ 2342  1322]]",0.31597975415762836,0.11671181250736073,0.19926794165026762,0.36936484370178463,0.44090587402689313,0.31052865393158596,0.13037722009530717,0.6236442516268981,0.8330585325638912,-0.2094142809369931
7,0.8126392546080615,0.3545010467550593,0.6059429805746903,0.27729257641921395,"[[15032  1052]
 [ 2648  1016]]",0.31533477321814257,0.07024160282852092,0.24509317038962164,0.22275248020277522,0.43776223776223777,0.17457475380483437,0.26318748395740343,0.6205903527717782,0.8440777843252799,-0.2234874315535017
8,0.819677942070083,0.32773267887483487,0.5946683839971156,0.2368995633187773,"[[15319   765]
 [ 2796   868]]",0.2237888647866956,0.059710281474502414,0.1640785833121932,0.2668152480750786,0.3401015228426396,0.17461706783369804,0.16548445500894157,0.6167751265365148,0.8527264162053939,-0.23595128966887913
10,0.8138039295118493,0.07728983688833124,0.5158237891897233,0.04203056768558952,"[[15917   167]
 [ 3510   154]]",0.05,0.010633270321361058,0.03936672967863895,0.21266540642722115,0.06742370475514549,0.02616407982261641,0.041259624932529076,0.5177304964539007,0.8631261814744802,-0.3453956850205795
11,0.8091452298966983,0.25233088672882364,0.5637550784147418,0.17358078602620086,"[[15343   741]
 [ 3028   636]]",0.17463691108749557,0.05223042836041359,0.12240648272708199,0.299080120205776,0.24771287825475016,0.12661613909942043,0.12109673915532973,0.57137796670209,0.8488035450516986,-0.2774255783496087
12,0.8152217946121126,0.06794380587484035,0.5144813215878645,0.036299126637554587,"[[15966   118]
 [ 3531   133]]",0.051587301587301584,0.006361922714420358,0.04522537887288123,0.12332342492568694,0.06685837526959022,0.01759788825340959,0.04926048701618063,0.5137085137085137,0.8644557021677662,-0.35074718845925257
13,0.816690297751671,0.2281449893390192,0.557744025905481,0.14601528384279475,"[[15593   491]
 [ 3129   535]]",0.09535988308366825,0.044970901181588384,0.05038898190207986,0.47159140434485597,0.13672154617036505,0.1517423908248787,-0.015020844654513643,0.5337961271465108,0.8622068073599436,-0.3284106802134328
14,0.8131456350010128,0.10653753026634384,0.5223744826560122,0.060043668122270744,"[[15838   246]
 [ 3444   220]]",0.0176678445229682,0.024589194940300273,-0.006921350417332075,1.3917484336209953,0.027700831024930747,0.08108108108108109,-0.05338025005615034,0.5003533568904593,0.8654687315285495,-0.3651153746380902
15,0.8187664573627709,0.2080106218189865,0.5521691387681918,0.12827510917030568,"[[15699   385]
 [ 3194   470]]",0.12686295892402763,0.029769959404600813,0.09709299951942682,0.2346623447623405,0.1812990720913633,0.09544851966416261,0.0858505524272007,0.5485278080697928,0.8625051479672884,-0.31397733989749554
16,0.7775977314158395,0.1398354876615746,0.514988077060498,0.09743449781659388,"[[14999  1085]
 [ 3307   357]]",0.04901243599122165,0.07687786528741036,-0.02786542929618871,1.5685379380282085,0.06254653760238273,0.11762171477811288,-0.055075177175730156,0.5212143379663496,0.8187962854120137,-0.297581947445664
17,0.8238808993315779,0.3676363636363637,0.6123173684770674,0.2759279475982533,"[[15259   825]
 [ 2653  1011]]",0.28206051873198845,0.0620433655432477,0.22001715318874077,0.21996472892471983,0.4086773967809657,0.19105145413870245,0.21762594264226326,0.6239193083573487,0.856587320292246,-0.2326680119348974
18,0.7972452906623455,0.03331723804925156,0.4967014399837534,0.01883187772925764,"[[15675   409]
 [ 3595    69]]",0.003265602322206096,0.027601224105461394,-0.0243356217832553,8.452108181627956,0.0014388489208633094,0.029463500439753737,-0.02802465151889043,0.49383164005805513,0.8464571563088512,-0.3526255162507961
20,0.8161839173587199,0.29267342166796567,0.5801943929197043,0.20496724890829696,"[[15367   717]
 [ 2913   751]]",0.14688856729377714,0.06252943947244466,0.08435912782133248,0.4256930312853129,0.20875912408759123,0.20270270270270271,0.006056421384888516,0.5643994211287988,0.8571596796985398,-0.29276025856974097
21,0.808537573425157,0.14243592651394876,0.5294509366220356,0.08569868995633188,"[[15653   431]
 [ 3350   314]]",0.019217081850533807,0.040795843665131656,-0.02157876181459785,2.122894827759629,0.028873239436619718,0.12165775401069519,-0.09278451457407547,0.504626334519573,0.8589561931751092,-0.35432985865553623
22,0.8174498683410978,0.17031070195627157,0.5408232733389878,0.1009825327510917,"[[15773   311]
 [ 3294   370]]",0.10846846846846847,0.02238849938137041,0.08607996908709806,0.2064056006089797,0.14456981664315938,0.07346393588601959,0.07110588075713979,0.5282882882882883,0.8647263300536145,-0.3364380417653262
23,0.8273242860036459,0.33424443576727836,0.5980979768877149,0.2336244541484716,"[[15482   602]
 [ 2808   856]]",0.27923976608187134,0.04079473312955561,0.23844503295231573,0.14609213330165463,0.40706051873198845,0.12785588752196836,0.2792046312100201,0.6264619883040936,0.8596284975311544,-0.23316650922706084
