seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8191209236378367,0.18073394495412845,0.5443781636582614,0.10753275109170306,"[[15782   302]
 [ 3270   394]]",0.07892831281679942,0.028140821853290945,0.05078749096350847,0.35653646770086966,0.11721611721611722,0.1017833840800348,0.015432733136082413,0.5427226647356987,0.864064523725421,-0.32134185898972223
1,0.8171460401053271,0.10374782824522213,0.5236712024426347,0.057041484716157206,"[[15928   156]
 [ 3455   209]]",0.04355461889708465,0.014259511271522396,0.029295107625562256,0.32739377895180855,0.06753962784286699,0.05015815634884772,0.017381471494019272,0.515630488233228,0.8679368084728715,-0.3523063202396435
2,0.8283876848288434,0.4049165935030729,0.6300474976352316,0.3146834061135371,"[[15206   878]
 [ 2511  1153]]",0.2879746835443038,0.07169900615238997,0.2162756773919138,0.24897676861709048,0.4328254847645429,0.23783783783783785,0.19498764692670506,0.6438115330520394,0.8594415522953147,-0.2156300192432753
3,0.8214502734454122,0.2995629717918156,0.5837435477932991,0.20578602620087336,"[[15468   616]
 [ 2910   754]]",0.19383733428878538,0.04888836468714985,0.14494896960163553,0.2522133564544089,0.2879944482997918,0.1524966261808367,0.1354978221189551,0.5872447151558581,0.8599988205460871,-0.27275410539022904
4,0.8218553777597731,0.345610119047619,0.60243305750704,0.2535480349344978,"[[15301   783]
 [ 2735   929]]",0.21880523153057618,0.0646019268278267,0.15420330470274948,0.2952485476509236,0.3328661527680449,0.20295037997317836,0.12991577279486652,0.6125839519264757,0.8568473314025652,-0.24426337947608945
5,0.8180068867733441,0.36095305832147934,0.6091328046858794,0.2770196506550218,"[[15139   945]
 [ 2649  1015]]",0.26391901663051337,0.07242963137439642,0.19148938525611695,0.27443884983778155,0.3722576079263977,0.21723678365171034,0.15502082427468739,0.6055676066522053,0.8526086444470616,-0.2470410377948563
6,0.8226655863884951,0.22522123893805313,0.5586724893544699,0.13891921397379914,"[[15737   347]
 [ 3155   509]]",0.12979562567228398,0.029129076006840025,0.10066654966544394,0.224422632549936,0.19816643159379407,0.10151380231522707,0.096652629278567,0.5632843313015418,0.8653222477740433,-0.30203791647250156
7,0.81410775774762,0.2674116942726003,0.5703843712431134,0.18286026200873362,"[[15407   677]
 [ 2994   670]]",0.18862491000719941,0.048497348261638186,0.14012756174556124,0.2571099875397536,0.24755244755244754,0.1414503133393017,0.10610213421314585,0.5514758819294456,0.857100766057749,-0.30562488412830335
8,0.8197285801093782,0.3140655105973025,0.5891145381398314,0.22243449781659388,"[[15373   711]
 [ 2849   815]]",0.14967462039045554,0.06548109763278766,0.08419352275766788,0.43748965230021897,0.22189992748368384,0.22275711159737419,-0.0008571841136903458,0.5730296456977585,0.8599104934636674,-0.28688084776590894
9,0.818817095402066,0.19378098242451555,0.5479851820518696,0.11735807860262008,"[[15740   344]
 [ 3234   430]]",0.11352313167259787,0.026862675640571498,0.08666045603202636,0.23662733087776147,0.1646471846044191,0.0880141530296329,0.0766330315747862,0.5516014234875445,0.8631479513519896,-0.31154652786444514
10,0.8223617581527243,0.3464977645305514,0.602849301538104,0.25382096069869,"[[15310   774]
 [ 2734   930]]",0.2581560283687943,0.057655954631379965,0.20050007373741435,0.22333762645671912,0.36763662171753014,0.1827050997782705,0.18493152193925963,0.6095744680851064,0.8578095463137996,-0.24823507822869317
11,0.8173485922625076,0.38666893385478657,0.6215845590670812,0.3103165938864629,"[[15004  1080]
 [ 2527  1137]]",0.28622033297910027,0.08324963072378139,0.20297070225531888,0.29085854892727087,0.4130893736805067,0.24520731163620152,0.16788206204430517,0.6262840949344669,0.8492171344165436,-0.22293303948207666
12,0.8153230706907029,0.22585438335809807,0.5565885541952782,0.14519650655021835,"[[15569   515]
 [ 3132   532]]",0.12626262626262627,0.041057964184731385,0.08520466207789489,0.3251790763430725,0.1732566498921639,0.12802463704355477,0.04523201284860914,0.5458152958152959,0.8593308199811499,-0.31351552416585404
13,0.8287927891432044,0.4023333922573803,0.6287155506733751,0.310589519650655,"[[15229   855]
 [ 2526  1138]]",0.26525392765801975,0.07448121803538886,0.19077270962263088,0.28079214016922766,0.41445955619183966,0.24658138509042787,0.1678781711014118,0.6474241870661308,0.8579742519546176,-0.21055006488848682
14,0.8262102491391533,0.31606217616580307,0.5907753738831831,0.2164301310043668,"[[15523   561]
 [ 2871   793]]",0.2109540636042403,0.04474524175434449,0.1662088218498958,0.2121089349494052,0.31648199445983377,0.15135135135135136,0.1651306431084824,0.6017667844522968,0.8637545809197305,-0.26198779646743364
15,0.8286915130646142,0.4049252418645558,0.6300232662256776,0.31413755458515286,"[[15214   870]
 [ 2513  1151]]",0.2831697564521992,0.07307171853856563,0.21009803791363357,0.25804916264389477,0.43897216274089934,0.23685373398144058,0.20211842875945876,0.6546710287168303,0.8568570924280755,-0.20218606371124526
16,0.8148673283370468,0.3869885982562039,0.6218526996369497,0.31495633187772926,"[[14938  1146]
 [ 2510  1154]]",0.3079736649597659,0.08569413424238861,0.2222795307173773,0.27825150002219773,0.4430379746835443,0.24084446359327877,0.2021935110902655,0.6360643745427944,0.8435993887386858,-0.20753501419589138
17,0.8234757950172169,0.37949448202207187,0.6178643589495758,0.29093886462882096,"[[15196   888]
 [ 2598  1066]]",0.26981268011527376,0.07099929295309922,0.19881338716217456,0.26314290685955066,0.3981805458362491,0.22237136465324384,0.1758091811830053,0.6253602305475504,0.8558802733914683,-0.23052004284391792
18,0.8212983593275268,0.3516443137975382,0.605041633226869,0.26118995633187775,"[[15262   822]
 [ 2707   957]]",0.25544267053701014,0.063265065913371,0.19217760462363914,0.24766835462677625,0.379136690647482,0.18909410729991205,0.19004258334756996,0.6226415094339622,0.8535193032015066,-0.23087779376754436
19,0.8262102491391533,0.35147392290249435,0.6052118979071666,0.25382096069869,"[[15386   698]
 [ 2734   930]]",0.23109540636042403,0.05757181699964535,0.17352358936077866,0.24912575246023905,0.35673352435530087,0.19047619047619047,0.1662573338791104,0.6275618374558304,0.8594396500768412,-0.23187781262101081
