seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8217541016811829,0.2324465765372874,0.5606419531629253,0.14546943231441048,"[[15695   389]
 [ 3131   533]]",0.1386676321506155,0.03173201460025904,0.10693561755035647,0.2288350504593093,0.20586080586080585,0.1096128751631144,0.09624793069769146,0.5706010137581463,0.8625927234192865,-0.2919917096611402
1,0.8201843224630342,0.23387270765911541,0.560626647328599,0.14792576419213974,"[[15655   429]
 [ 3122   542]]",0.1380400421496312,0.03419915981302882,0.10384088233660238,0.2477481119279721,0.19710544452102,0.11568007230004519,0.0814253722209748,0.553213909378293,0.8651559079344417,-0.3119419985561488
2,0.8186145432448856,0.14265198659645761,0.5339511912893987,0.08133187772925764,"[[15868   216]
 [ 3366   298]]",0.08684950773558368,0.015795078088026503,0.07105442964755718,0.18186721490828897,0.11911357340720222,0.05675675675675676,0.06235681665044546,0.5263713080168776,0.8677827733080927,-0.34141146529121513
3,0.8127911687259469,0.3036353362215107,0.5839072625267564,0.21997816593886463,"[[15245   839]
 [ 2858   806]]",0.21927624507345037,0.06091879459810108,0.15835745047534927,0.2778175747112747,0.3018736988202637,0.16689158794421952,0.1349821108760442,0.5761375850949481,0.8517426431562187,-0.27560505806127067
4,0.7964857200729187,0.38893112361258936,0.6237402042660314,0.3490720524017467,"[[14450  1634]
 [ 2385  1279]]",0.33863556026864616,0.11555056445416395,0.2230849958144822,0.34122395286099144,0.4625087596355992,0.27670987930263746,0.1857988803329617,0.623541887592789,0.8254033926354986,-0.2018615050427096
5,0.8158800891229492,0.2672309552599758,0.5707347764302911,0.18094978165938866,"[[15449   635]
 [ 3001   663]]",0.1742588575560376,0.048050877399599574,0.12620798015643803,0.27574424665413366,0.22859164897381457,0.15104398045313194,0.07754766852068262,0.5484454085321764,0.859439406430338,-0.3109939978981616
6,0.8157281750050638,0.28856304985337244,0.5785447226297745,0.20141921397379914,"[[15371   713]
 [ 2926   738]]",0.15166726425242022,0.06061678164986143,0.0910504826025588,0.3996695130531053,0.2165021156558533,0.1918967052537845,0.024605410402068817,0.5600573682323413,0.8577746329382628,-0.2977172647059215
7,0.8105124569576666,0.35371329879101904,0.6054803439149704,0.2794759825327511,"[[14982  1102]
 [ 2640  1024]]",0.22462203023758098,0.08850913376546847,0.1361128964721125,0.3940358551289606,0.31888111888111886,0.25425246195165624,0.06462865692946262,0.5889128869690424,0.8467884502062463,-0.25787556323720384
8,0.8151711565728175,0.3071374335611238,0.5856844701235544,0.22079694323144106,"[[15289   795]
 [ 2855   809]]",0.1963123644251627,0.062477917795312685,0.13383444662985,0.318257680703195,0.2813633067440174,0.18424507658643327,0.09711823015758411,0.5856832971800434,0.8525497585678954,-0.26686646138785197
9,0.8079299169536156,0.400126522220465,0.6292905545558308,0.3452510917030568,"[[14690  1394]
 [ 2399  1265]]",0.3366548042704626,0.10113354587318456,0.23552125839727805,0.30040725571210214,0.45616535994297935,0.2764263600176913,0.17973899992528808,0.6195729537366548,0.8391781792419412,-0.21960522550528638
10,0.8096516102896496,0.28522532800912725,0.5760788203633979,0.2046943231441048,"[[15239   845]
 [ 2914   750]]",0.11950354609929079,0.07431474480151229,0.0451888012977785,0.6218622562025657,0.16820440028388928,0.22749445676274946,-0.05929005647886018,0.548936170212766,0.8530836483931947,-0.30414747818042875
11,0.8207413408952805,0.23177083333333334,0.5601255933640961,0.1457423580786026,"[[15674   410]
 [ 3130   534]]",0.1381509032943677,0.03273264401772526,0.10541825927664243,0.23693398477445746,0.19634060520760027,0.11368702630405707,0.0826535789035432,0.5561459440311725,0.8648744460856721,-0.30872850205449964
12,0.8168928499088516,0.3276310896243957,0.5943284994499402,0.2404475982532751,"[[15251   833]
 [ 2783   881]]",0.22763347763347763,0.06379594721960415,0.1638375304138735,0.2802573148854876,0.31128684399712436,0.1970963484381874,0.11419049555893696,0.5829725829725829,0.8550895381715363,-0.2721169551989534
13,0.8226655863884951,0.19972577696526506,0.5510854110352961,0.11926855895196506,"[[15809   275]
 [ 3227   437]]",0.08768724881256851,0.02774675210158133,0.05994049671098718,0.3164285854251171,0.12526843235504653,0.11557123952359948,0.009697192831447057,0.5297771282426014,0.8697901357944859,-0.34001300755188457
14,0.8123354263722908,0.3239693542502736,0.5922683205746251,0.2423580786026201,"[[15154   930]
 [ 2776   888]]",0.18374558303886926,0.07672301690507152,0.10702256613379774,0.41755026507952386,0.268005540166205,0.22567567567567567,0.042329864490529306,0.5795053003533569,0.8512826575245301,-0.27177735717117324
15,0.8184626291270002,0.2814191220685508,0.5764298703639951,0.19159388646288208,"[[15461   623]
 [ 2962   702]]",0.18647764449291168,0.04777313643584162,0.13870450805707008,0.25618693632553663,0.26552462526766596,0.14582412726469288,0.11970049800297308,0.5747001090512541,0.857916102841678,-0.28321599379042384
