seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8167915738302612,0.1675103543488265,0.539786888486103,0.09934497816593886,"[[15766   318]
 [ 3300   364]]",0.055394641564083996,0.031143294477805252,0.024251347086278744,0.5622077081548896,0.07326007326007326,0.11483253588516747,-0.0415724626250942,0.5228095582910934,0.8645943718356294,-0.34178481354453594
1,0.8197285801093782,0.09414758269720103,0.5227276028470618,0.05049126637554585,"[[16003    81]
 [ 3479   185]]",0.04039339655778012,0.008934382580912371,0.03145901397686775,0.22118423659006542,0.061337008959338385,0.04338002711251695,0.017956981846821436,0.5124692658939234,0.8714868942666114,-0.359017628372688
2,0.8226655863884951,0.38647512263489836,0.6212658854876527,0.3010371179039301,"[[15143   941]
 [ 2561  1103]]",0.3171589310829817,0.0675579744439186,0.24960095663906312,0.21300984403381876,0.4473684210526316,0.20585585585585586,0.24151256519677572,0.629395218002813,0.8551822053951728,-0.2257869873923598
3,0.8186651812841806,0.3839669705831756,0.6201799178765629,0.30458515283842796,"[[15051  1033]
 [ 2548  1116]]",0.31135793622357577,0.07548505042165478,0.235872885801921,0.24243817690084982,0.4198473282442748,0.22986954565901935,0.18997778258525544,0.6058760300967395,0.853688742112402,-0.24781271201566246
4,0.8292485314968604,0.3618470855412567,0.6098168838488763,0.2609170305676856,"[[15420   664]
 [ 2708   956]]",0.3167196889360198,0.04279212719427862,0.2739275617417412,0.13511041052747122,0.4351786965662228,0.14975413500223514,0.28542456156398766,0.6178861788617886,0.864590105798215,-0.2467039269364264
5,0.8223617581527243,0.3300229182582124,0.595894479745528,0.23580786026200873,"[[15376   708]
 [ 2800   864]]",0.2635574837310195,0.04964079613708633,0.21391668759393317,0.18834902896458272,0.3489030431705591,0.16481563749444691,0.18408740567611218,0.5820679681851049,0.8615004122011541,-0.2794324440160493
6,0.8181081628519343,0.2271944922547332,0.5578768235323504,0.14410480349344978,"[[15628   456]
 [ 3136   528]]",0.10505557547508067,0.040745326965033316,0.06431024851004735,0.38784545018934447,0.15091678420310295,0.13980409617097062,0.011112688032132334,0.539978486912872,0.8638481042514299,-0.3238696173385579
7,0.8224123961920194,0.25112107623318386,0.5668417663163589,0.16048034934497818,"[[15653   431]
 [ 3076   588]]",0.1447084233261339,0.03635827931644078,0.10835014400969312,0.2512519899031654,0.2111888111888112,0.12802148612354522,0.08316732506526597,0.5579553635709144,0.8657041838538597,-0.30774882028294537
8,0.8073222604820741,0.33560328269600137,0.596883182342918,0.2622816593886463,"[[14982  1102]
 [ 2703   961]]",0.2151120751988431,0.08644447061594629,0.1286676045828968,0.4018578247457268,0.30819434372733867,0.23457330415754923,0.07362103956978944,0.5936370209689081,0.8421269579554823,-0.24848993698657418
9,0.8156268989264736,0.34714003944773175,0.6027190492273643,0.26419213973799127,"[[15139   945]
 [ 2696   968]]",0.2199288256227758,0.0764553075923958,0.14347351803038,0.3476365927744858,0.3114754098360656,0.23485183547103053,0.07662357436503506,0.5918149466192171,0.8527571141811312,-0.26094216756191413
10,0.816234555398015,0.19694622704138084,0.5479803968575458,0.12145196506550218,"[[15674   410]
 [ 3219   445]]",0.09787234042553192,0.03420368620037807,0.06366865422515385,0.3494724459603846,0.1320085166784954,0.11485587583148558,0.017152640847009806,0.5343971631205674,0.8631852551984878,-0.32878809207792037
11,0.8151711565728175,0.33442742523705327,0.597065087602315,0.25027292576419213,"[[15181   903]
 [ 2747   917]]",0.21395678356358483,0.0718463810930576,0.14211040247052723,0.3357985659365921,0.30049261083743845,0.21845742309407043,0.08203518774336802,0.5851930570315268,0.8535302806499262,-0.2683372236183994
12,0.8210451691310513,0.37649964714184897,0.6164775689095132,0.2912117903930131,"[[15147   937]
 [ 2597  1067]]",0.3282828282828283,0.06444392082940623,0.2638389074534221,0.19630609729572973,0.45147375988497485,0.19313682358117026,0.2583369363038046,0.623015873015873,0.8533812441093308,-0.23036537109345778
13,0.8234757950172169,0.25639931740614336,0.5688644781382458,0.16402838427947597,"[[15661   423]
 [ 3063   601]]",0.14212641578370477,0.03732878725530539,0.10479762852839938,0.262644963284758,0.20830350751610593,0.13674459638288486,0.07155891113322108,0.5601023017902813,0.8658515078478631,-0.3057492060575818
14,0.8230200526635608,0.30750941153160294,0.5870255123483806,0.21179039301310043,"[[15477   607]
 [ 2888   776]]",0.22014134275618374,0.044922567679394725,0.175218775076789,0.2040623860877802,0.314404432132964,0.14504504504504503,0.16935938708791895,0.5904593639575971,0.8619222130275447,-0.27146284906994755
15,0.823931537370873,0.2917091057241801,0.5812625093803384,0.19541484716157206,"[[15555   529]
 [ 2948   716]]",0.1901126862958924,0.04247808436782962,0.14763460192806277,0.22343634817571567,0.2705210563882941,0.14891736632788333,0.12160369006041077,0.5761541257724464,0.8640348296758251,-0.2878807039033787
