seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8143609479440956,0.002177463255307567,0.5003593307624057,0.001091703056768559,"[[16078     6]
 [ 3660     4]]",0.0010861694424330196,0.0004121040857176498,0.0006740653567153698,0.37941049491738293,0.0014652014652014652,0.0008699434536755111,0.0005952580115259541,0.5061549601737871,0.8644766278111385,-0.3583216676373514
1,0.8178549726554588,0.25171624713958807,0.5658353483187067,0.16512008733624453,"[[15546   538]
 [ 3059   605]]",0.14576747453459782,0.043074374297378856,0.10269310023721896,0.2955005870473195,0.19986216402481047,0.14234071396294623,0.05752145006186424,0.5482964524060414,0.8632625288444471,-0.3149660764384057
2,0.8097022483289447,0.11949390815370198,0.5239487437134086,0.06959606986899564,"[[15735   349]
 [ 3409   255]]",0.07841068917018285,0.0225390440132513,0.05587164515693155,0.2874486151286399,0.07756232686980609,0.06441441441441441,0.01314791245539168,0.49261603375527424,0.8630501656412684,-0.3704341318859941
3,0.8143609479440956,0.008116883116883116,0.501518467727835,0.004093886462882096,"[[16067    17]
 [ 3649    15]]",0.010748835542816195,0.00011794539128383558,0.010630890151532358,0.010972852902439503,0.010409437890353921,0.0,0.010409437890353921,0.4836975994267288,0.8687857521967329,-0.38508815277000413
4,0.8075754506785497,0.15442812639074321,0.5323376984260579,0.0947052401746725,"[[15601   483]
 [ 3317   347]]",0.06574761399787911,0.03806371534960695,0.027683898648272157,0.578936831849667,0.08128941836019622,0.10326329906124274,-0.021973880701046514,0.511841640155532,0.8570246468467404,-0.3451830066912084
5,0.8283876848288434,0.3306340114556587,0.5967486539010805,0.22843886462882096,"[[15522   562]
 [ 2827   837]]",0.23246565437454808,0.04451772464962902,0.18794792972491906,0.19150237384272764,0.3283793347487615,0.16570413149711238,0.16267520325164914,0.5921908893709328,0.8668590272052762,-0.2746681378343434
6,0.8048916345959084,0.12292283177782837,0.5225761395685751,0.07368995633187773,"[[15625   459]
 [ 3394   270]]",0.04266762280387235,0.035969101951766023,0.006698520852106329,0.8430069356594575,0.05923836389280677,0.08281389136242208,-0.02357552746961531,0.5091430620294012,0.8535290995931364,-0.3443860375637352
7,0.8295523597326312,0.3479271600154979,0.6038915915244094,0.2450873362445415,"[[15484   600]
 [ 2766   898]]",0.3210943124550036,0.035710076605774896,0.2853842358492287,0.11121366907045142,0.46293706293706294,0.10564010743061773,0.3572969555064452,0.640748740100792,0.8604596346493812,-0.21971089454858928
8,0.8219566538383634,0.23331879633667685,0.5609770525157769,0.14601528384279475,"[[15697   387]
 [ 3129   535]]",0.2024584237165582,0.021316688258155695,0.1811417354584025,0.10528921378939045,0.2864394488759971,0.061269146608315096,0.225170302267682,0.5845986984815619,0.8606171240136615,-0.27601842553209965
9,0.8142090338262102,0.0038012489818083084,0.5005821986427154,0.001910480349344978,"[[16072    12]
 [ 3657     7]]",0.0014234875444839859,0.000885582713425434,0.0005379048310585519,0.6221218561813673,0.0014255167498218105,0.0022114108801415304,-0.00078589413031972,0.500711743772242,0.8662179714251977,-0.3655062276529557
