seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8071197083248937,0.3179946284691137,0.5890663807586589,0.2423580786026201,"[[15051  1033]
 [ 2776   888]]",0.17668356263577117,0.08436359354762746,0.09231996908814372,0.47748410938226854,0.24322344322344322,0.24184428012179207,0.0013791631016511485,0.5695148443157132,0.8457553279171082,-0.27624048360139497
1,0.8117277699007495,0.27917797595967425,0.5741920962979292,0.1965065502183406,"[[15310   774]
 [ 2944   720]]",0.156656129258869,0.062008165197325604,0.09464796406154338,0.39582342223494615,0.21778084079944865,0.18255761409850882,0.03522322670093983,0.5556726378644187,0.8548606591325957,-0.299188021268177
2,0.8315272432651408,0.4216930297236225,0.6382974441496554,0.3310589519650655,"[[15208   876]
 [ 2451  1213]]",0.3080168776371308,0.07175816374822527,0.23625871388890554,0.23296828504560807,0.4626038781163435,0.24549549549549549,0.21710838262084803,0.6540084388185654,0.8613937529578798,-0.20738531413931438
3,0.821399635406117,0.3798136099876913,0.6180650656107836,0.29475982532751094,"[[15141   943]
 [ 2584  1080]]",0.27015406664278035,0.07483635076959368,0.1953177158731867,0.2770136007930185,0.39625260235947257,0.2289698605488079,0.16728274181066466,0.6227158724471515,0.8541015509818953,-0.2313856785347438
4,0.8241340895280534,0.36658763450665693,0.6118405459221186,0.27429039301310043,"[[15270   814]
 [ 2659  1005]]",0.24213503004595263,0.06702523789822093,0.1751097921477317,0.2768093401665212,0.36370007007708477,0.2172552525704068,0.14644481750667798,0.6203605514316013,0.8582067498079082,-0.23784619837630694
5,0.8209945310917561,0.3717789230495824,0.6142335842720912,0.2854803493449782,"[[15167   917]
 [ 2618  1046]]",0.25632682574114246,0.07384289247438464,0.18248393326675783,0.2880810163387135,0.3673036093418259,0.23411816970235452,0.13318543963947135,0.6080983369486623,0.8556707101637028,-0.24757237321504044
6,0.8190702855985417,0.3172176571756163,0.5902910511300389,0.22652838427947597,"[[15345   739]
 [ 2834   830]]",0.2036572248117605,0.059024706645439,0.1446325181663215,0.2898237796375517,0.29619181946403383,0.182546749777382,0.11364506968665183,0.5891000358551453,0.8568901468246949,-0.26779011096954963
7,0.8035750455742353,0.25760765550239234,0.5642344462858204,0.18367903930131005,"[[15196   888]
 [ 2991   673]]",0.15478761699064075,0.06664702416028286,0.0881405928303579,0.4305707746913157,0.2202797202797203,0.1602506714413608,0.060029048838359494,0.5572354211663066,0.8439010017678256,-0.2866655806015189
8,0.8096516102896496,0.2863109929751282,0.576500324714463,0.20578602620087336,"[[15235   849]
 [ 2910   754]]",0.175704989154013,0.06577552702861854,0.10992946212539446,0.37435207358263145,0.2422044960116026,0.1838074398249453,0.0583970561866573,0.5672451193058569,0.8491343775762572,-0.28188925827040034
9,0.8127911687259469,0.2858798531968321,0.5769524407341805,0.2019650655021834,"[[15311   773]
 [ 2924   740]]",0.1594306049822064,0.06287637265320581,0.0965542323290006,0.39438081954354537,0.22238061297220243,0.189296771340115,0.03308384163208744,0.5633451957295373,0.8541740465226119,-0.2908288507930745
