seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.837603807980555,0.4439049765909485,0.6490880573495698,0.34934497816593885,"[[15261   823]
 [ 2384  1280]]",0.38052136133236786,0.06193335688213823,0.3185880044502296,0.16275921190148981,0.5787545787545788,0.21313614615050022,0.36561843260407856,0.6973207820419985,0.8604144589662075,-0.16309367692420895
1,0.840135709945311,0.4497123932368834,0.6516961579437213,0.35207423580786024,"[[15301   783]
 [ 2374  1290]]",0.38215665612925886,0.058280575113898586,0.32387608101536025,0.1525044093283725,0.5754651964162646,0.20560325350203343,0.36986194291423113,0.694766420793818,0.8646233950653808,-0.16985697427156277
2,0.8380089122949159,0.43808185490953805,0.6458593408079201,0.3403384279475983,"[[15302   782]
 [ 2417  1247]]",0.3656821378340366,0.05850686228111689,0.3071752755529197,0.15999376569951582,0.5450138504155124,0.2072072072072072,0.3378066432083052,0.680028129395218,0.8645882631329863,-0.18456013373776836
3,0.8371987036661941,0.4421308346347389,0.6482071064683338,0.34770742358078605,"[[15259   825]
 [ 2390  1274]]",0.38230025080616264,0.060859821902459164,0.3214404289037035,0.15919377969050003,0.5572519083969466,0.21187584345479082,0.3453760649421558,0.6768183446793264,0.8635961549802441,-0.18677781030091767
4,0.8399331577881305,0.4449517120280948,0.6491481607477771,0.34579694323144106,"[[15320   764]
 [ 2397  1267]]",0.37327677624602335,0.05762751935693599,0.31564925688908735,0.1543828146408825,0.5543097407147862,0.2127849798837729,0.34152476083101335,0.6815129020855426,0.8664223653880253,-0.1849094633024827
5,0.8379076362163257,0.44301374630241874,0.6485369455011843,0.3474344978165939,"[[15274   810]
 [ 2391  1273]]",0.38177874186550975,0.060475797903662705,0.32130294396184705,0.1584053570090256,0.5612172682236376,0.2132385606397157,0.3479787075839219,0.680766449746927,0.8635025320928041,-0.18273608234587713
6,0.8427688879886571,0.4559313124233398,0.6544718082142985,0.3550764192139738,"[[15342   742]
 [ 2363  1301]]",0.380064539261384,0.05796332330915738,0.3221012159522266,0.15250915915966032,0.576163610719323,0.21549421193232413,0.3606693987869989,0.6973825743994263,0.8666784598148476,-0.1692958854154213
7,0.838464654648572,0.4459881903438694,0.650038037204241,0.35043668122270744,"[[15274   810]
 [ 2380  1284]]",0.3761699064074874,0.06181496758986447,0.3143549388176229,0.16432725355468278,0.5608391608391609,0.21575649059982094,0.3450826702393399,0.6864650827933765,0.8633470830878021,-0.17688200029442558
8,0.8360340287624063,0.440179806362379,0.6473867341109829,0.3474344978165939,"[[15237   847]
 [ 2391  1273]]",0.3810556760665221,0.06277234719114357,0.3182833288753785,0.16473274414677713,0.5699782451051486,0.21312910284463896,0.3568491422605097,0.6887201735357917,0.8600282652219997,-0.17130809168620798
9,0.840591452298967,0.4529023288147376,0.6533458282336511,0.3556222707423581,"[[15297   787]
 [ 2361  1303]]",0.3893238434163701,0.05880269217144881,0.3305211512449213,0.15103799360308148,0.5808980755523877,0.21583370190181336,0.3650643736505743,0.6914590747330961,0.8653323887117723,-0.17387331397867622
10,0.8412497468098036,0.4573307945300329,0.6556467261397314,0.3605349344978166,"[[15292   792]
 [ 2343  1321]]",0.3900709219858156,0.05984168241965974,0.33022923956615585,0.1534123131122186,0.5713271823988645,0.22882483370288248,0.342502348695982,0.6812056737588652,0.8679111531190926,-0.1867054793602274
11,0.8383127405306866,0.4401192354900929,0.6468888702760289,0.34252183406113534,"[[15300   784]
 [ 2409  1255]]",0.38257173219978746,0.056661742983751845,0.32590998921603564,0.1481075004103069,0.5629838142153413,0.20285332144449397,0.3601304927708473,0.6808359900814737,0.8645790251107829,-0.18374303502930922
12,0.8326412801296333,0.42611564507727034,0.6404566188536385,0.33487991266375544,"[[15216   868]
 [ 2437  1227]]",0.3878066378066378,0.060084825636192274,0.32772181217044555,0.15493501084979067,0.5600287562904386,0.1970963484381874,0.36293240785225117,0.6724386724386724,0.8588006597549481,-0.18636198731627573
13,0.8402876240631962,0.43998579545454547,0.6464152378506292,0.33815502183406115,"[[15355   729]
 [ 2425  1239]]",0.37157471684325905,0.055905002645347125,0.3156697141979119,0.15045426965616035,0.5683607730851825,0.19629466254962505,0.3720661105355575,0.6982097186700768,0.8631473752277938,-0.16493765655771708
14,0.8380595503342111,0.44129979035639416,0.6475764450065105,0.34470524017467247,"[[15287   797]
 [ 2401  1263]]",0.38374558303886924,0.05757181699964535,0.3261737660392239,0.15002600562522683,0.564404432132964,0.2018018018018018,0.3626026303311622,0.6819787985865724,0.8641683414115143,-0.18218954282494193
15,0.840186347984606,0.4445617740232312,0.6488820903683609,0.34470524017467247,"[[15329   755]
 [ 2401  1263]]",0.3696837513631407,0.05889274577866682,0.31079100558447387,0.15930574595586275,0.5667380442541042,0.2072470172337605,0.35949102702034375,0.698291530352599,0.8631523209978231,-0.16486079064522408
