seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8005367632165282,0.0803175344384777,0.5095758186551175,0.04694323144104803,"[[15637   447]
 [ 3492   172]]",0.05322230267921796,0.027787589779818673,0.025434712899399286,0.5221042379038039,0.0695970695970696,0.03349282296650718,0.03610424663056242,0.5213613323678494,0.8459319439538443,-0.3245706115859949
1,0.8090439538181081,0.21551903474100267,0.5512585264696588,0.1413755458515284,"[[15459   625]
 [ 3146   518]]",0.0962416578854935,0.05141707591266789,0.044824581972825614,0.5342496902312609,0.12887663680220537,0.14957071848169906,-0.020694081679493687,0.525465402177731,0.8568132063191527,-0.33134780414142173
2,0.8061575855782864,0.14093357271095153,0.5279898572885364,0.08569868995633188,"[[15606   478]
 [ 3350   314]]",0.06329113924050633,0.03620444865120682,0.027086690589299516,0.5720302886890677,0.08933518005540166,0.08333333333333333,0.006001846722068327,0.519690576652602,0.8543539990534784,-0.33466342240087643
3,0.8057018432246303,0.1527931110620446,0.5310821109480902,0.09443231441048035,"[[15565   519]
 [ 3318   346]]",0.04478681476173414,0.04363979477501917,0.0011470199867149727,0.9743893377366281,0.056210964607911175,0.11920827710301395,-0.06299731249510276,0.49695449659620206,0.856519431503214,-0.3595649349070119
4,0.7884342718249949,0.21760299625468169,0.5452448947067198,0.1585698689956332,"[[14989  1095]
 [ 3083   581]]",0.16048073524213502,0.07222649092735978,0.08825424431477524,0.4500633102059489,0.19621583742116327,0.13455520786767994,0.06166062955348334,0.5330505478967833,0.8311365919971629,-0.29808604410037964
5,0.8102086287218959,0.23133716160787535,0.5568208227764933,0.1539301310043668,"[[15436   648]
 [ 3100   564]]",0.10954446854663774,0.05352726416205394,0.0560172043845838,0.48863502532092806,0.14932767162066526,0.1568191914704576,-0.007491519849792322,0.532176428054953,0.8554940525262043,-0.32331762447125123
6,0.8078286408750254,0.10684867027535891,0.5198480018657506,0.06195414847161572,"[[15726   358]
 [ 3437   227]]",0.06167084976694156,0.024352850993572733,0.037317998773368825,0.39488431058764156,0.08251057827926657,0.048975957257346395,0.033534621021920175,0.5138042309071352,0.8561825579338405,-0.34237832702670523
7,0.8105124569576666,0.2418962722852512,0.5604847544387598,0.16293668122270744,"[[15409   675]
 [ 3067   597]]",0.14290856731461482,0.05156157925751326,0.09134698805710156,0.3608011767691986,0.2055944055944056,0.13563115487914054,0.06996325071526505,0.5539956803455723,0.8525044195639364,-0.29850873921836407
8,0.8156775369657687,0.3074581430745814,0.5858899619790858,0.2205240174672489,"[[15300   784]
 [ 2856   808]]",0.18872017353579176,0.06300789070780827,0.1257122828279835,0.3338693978885013,0.27338651196519215,0.1886214442013129,0.08476506776387924,0.5853217642805495,0.8531975032387233,-0.26787573895817385
9,0.79056106947539,0.14580751755472945,0.5225247920578535,0.09634279475982532,"[[15259   825]
 [ 3311   353]]",0.11174377224199289,0.05100956429330499,0.0607342079486879,0.45648686517257014,0.13399857448325017,0.0729765590446705,0.06102201543857967,0.5227758007117438,0.8349864210650608,-0.31221062035331704
10,0.8037775977314159,0.052798826692740164,0.5048213038751793,0.02947598253275109,"[[15765   319]
 [ 3556   108]]",0.04609929078014184,0.017544896030245748,0.028554394749896093,0.38058928311763857,0.043293115684882894,0.020842572062084258,0.022450543622798635,0.4975177304964539,0.854796786389414,-0.3572790558929601
11,0.8020559043953818,0.0778485491861288,0.5097707898706463,0.04503275109170306,"[[15674   410]
 [ 3499   165]]",0.040382571732199786,0.02723781388478582,0.013144757847413965,0.6744942859364068,0.04785362420830401,0.043245653143111906,0.004607971065192104,0.5044279135671271,0.851698670605613,-0.34727075703848587
12,0.8023597326311526,0.08099835177772546,0.5106949432509891,0.04694323144104803,"[[15673   411]
 [ 3492   172]]",0.050865800865800864,0.026036757775683317,0.024829043090117547,0.5118715783985401,0.06182602444284687,0.03783545974483062,0.023990564698016248,0.5093795093795094,0.8502002827521207,-0.3408207733726113
13,0.8161332793194247,0.3435183511119147,0.6011331475908684,0.25927947598253276,"[[15167   917]
 [ 2714   950]]",0.21994884910485935,0.0743636470519076,0.14558520205295175,0.3380951860150682,0.3278453829634932,0.21702690780767533,0.11081847515581786,0.6043112897332846,0.8502145670448533,-0.2459032773115687
14,0.8131456350010128,0.08300198807157057,0.5167895500043983,0.04557860262008734,"[[15891   193]
 [ 3497   167]]",0.0353356890459364,0.01536824683768767,0.019967442208248726,0.434921385506561,0.04778393351800554,0.044144144144144144,0.0036397893738613976,0.5031802120141343,0.8649958623950822,-0.3618156503809479
