seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8076260887178448,0.11009604122745374,0.520566663390562,0.06413755458515284,"[[15714   370]
 [ 3429   235]]",0.07349746560463433,0.023666548922642177,0.049830916681992146,0.32200496612974233,0.0967032967032967,0.04480208786428882,0.05190120883900789,0.5278783490224475,0.8531143294477805,-0.3252359804253331
1,0.8179056106947539,0.2946253432718713,0.5812513439269165,0.20496724890829696,"[[15401   683]
 [ 2913   751]]",0.1742184755883386,0.05549967457546891,0.1187188010128697,0.31856365628298383,0.24328049620951067,0.1798463624039765,0.06343413380553417,0.5641025641025641,0.8606591325957044,-0.29655656849314027
2,0.8170447640267369,0.22317781122339284,0.5562756160615284,0.14164847161572053,"[[15616   468]
 [ 3145   519]]",0.13115330520393811,0.03632276384287743,0.09483054136106069,0.27694890179395015,0.1883656509695291,0.11126126126126126,0.07710438970826783,0.5523909985935302,0.8615712257453857,-0.30918022715185545
3,0.8179056106947539,0.24294736842105263,0.5629159046555801,0.15747816593886463,"[[15575   509]
 [ 3087   577]]",0.12647796488713722,0.04322698590552574,0.08325097898161149,0.34177483757031824,0.18112421929215822,0.14215024741340532,0.0389739718787529,0.5442493729845933,0.8629474553281831,-0.31869808234358976
4,0.8186651812841806,0.22773344835022644,0.5582187782699778,0.14410480349344978,"[[15639   445]
 [ 3136   528]]",0.16542948038176034,0.029848099769489923,0.1355813806122704,0.18042793642710897,0.2452697967764541,0.07957085382208315,0.16569894295437096,0.5775892541534111,0.8589751167326675,-0.28138586257925635
5,0.8251468503139558,0.3468885946661623,0.6031891860852794,0.25027292576419213,"[[15378   706]
 [ 2747   917]]",0.2386117136659436,0.05670710163702744,0.18190461202891617,0.23765430776972407,0.3559801840056617,0.18391825855175478,0.17206192545390694,0.6142443962400579,0.8594982923095041,-0.24525389606944625
6,0.8125379785294713,0.1673414304993252,0.5380186064645328,0.10152838427947598,"[[15674   410]
 [ 3292   372]]",0.10039440659734672,0.029600801934076302,0.07079360466327042,0.2948451306933529,0.13328631875881522,0.08147818343722173,0.05180813532159349,0.5267120831839369,0.8595436051653988,-0.33283152198146193
7,0.8352238201336845,0.4029357798165138,0.6284485300426038,0.29967248908296945,"[[15396   688]
 [ 2566  1098]]",0.32001439884809213,0.05285798467884502,0.2671564141692471,0.16517376989632337,0.48321678321678324,0.18218442256042972,0.3010323606563535,0.6627069834413247,0.8634649381261049,-0.2007579546847802
8,0.8390216730808183,0.4293663615149883,0.6411068962184341,0.32641921397379914,"[[15373   711]
 [ 2468  1196]]",0.35972523499638465,0.05370392179955247,0.3060213131968322,0.14929150522368054,0.542422044960116,0.19606126914660832,0.3463607758135077,0.6825741142443963,0.8645035920386291,-0.18192947779423285
9,0.8101073526433057,0.13234613604812587,0.527464096788802,0.07805676855895197,"[[15712   372]
 [ 3378   286]]",0.09181494661921709,0.02361553902467824,0.06819940759453885,0.25720800255560405,0.1261582323592302,0.04820875718708536,0.07794947517214484,0.5348754448398576,0.8557680954067777,-0.32089265056692007
10,0.8112720275470934,0.07403726708074534,0.5137425690344035,0.04066593886462882,"[[15872   212]
 [ 3515   149]]",0.03404255319148936,0.01565453686200378,0.01838801632948558,0.4598520203213611,0.0454222853087296,0.037694013303769404,0.007728272004960193,0.5117021276595745,0.8611767485822306,-0.34947462092265613
11,0.8145128620619809,0.18291322774927504,0.5432352827785133,0.11189956331877729,"[[15675   409]
 [ 3254   410]]",0.13248317392844491,0.026292466765140327,0.10619070716330459,0.19845891357751644,0.17663617171006332,0.07088720463664734,0.10574896707341598,0.5419766206163655,0.859970457902511,-0.3179938372861455
12,0.8043346161636622,0.14399645547186532,0.5280298696580942,0.08870087336244542,"[[15559   525]
 [ 3339   325]]",0.08694083694083694,0.035874175306314794,0.05106666163452215,0.41262744377221827,0.11718188353702372,0.07127144742630884,0.04591043611071488,0.5288600288600288,0.8493166823751178,-0.320456653515089
13,0.8325906420903383,0.42,0.6372642494263198,0.32669213973799127,"[[15245   839]
 [ 2467  1197]]",0.31567409572524663,0.06889659632002822,0.24677749940521843,0.21825229644434863,0.48103078024337864,0.23158359064843406,0.24944718959494458,0.6649616368286445,0.8595614602316148,-0.19459982340297033
14,0.8108162851934373,0.17600352889280987,0.5398068098270109,0.10889737991266375,"[[15613   471]
 [ 3265   399]]",0.07243816254416961,0.03930724671947038,0.03313091582469923,0.5426317473956155,0.10457063711911357,0.11171171171171171,-0.0071410745925981345,0.5240282685512367,0.8587894550183237,-0.33476118646708697
15,0.8185639052055904,0.20817679558011049,0.5521501676786391,0.12854803493449782,"[[15694   390]
 [ 3193   471]]",0.1777535441657579,0.021886215214449608,0.15586732895130828,0.1231267444886521,0.25481798715203424,0.05037560760053027,0.20444237955150396,0.5725190839694656,0.8583867741366124,-0.28586769016714675
16,0.8125886165687665,0.18498128165602293,0.543107745471645,0.1146288209606987,"[[15627   457]
 [ 3244   420]]",0.10680321872713973,0.03438344892441519,0.07241976980272455,0.32193270328544904,0.14817572598659717,0.0952175786299009,0.05295814735669627,0.5475493782004389,0.8551780886328906,-0.30762871043245166
17,0.8324387279724529,0.42241228835747946,0.6385408781842923,0.33024017467248906,"[[15229   855]
 [ 2454  1210]]",0.3357348703170029,0.06675701154843271,0.26897785876857017,0.198838480749409,0.4905528341497551,0.22774049217002237,0.2628123419797327,0.6545389048991355,0.8615366485976903,-0.20699774369855484
18,0.8178043346161636,0.2409282700421941,0.5622214745403228,0.1558406113537118,"[[15579   505]
 [ 3093   571]]",0.15058055152394775,0.03890065913370998,0.11167989239023778,0.25833787125904745,0.21510791366906476,0.11961301671064203,0.09549489695842273,0.5620464441219158,0.8592867231638418,-0.29724027904192596
