seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7969414624265748,0.13726333907056798,0.5228589411593502,0.08706331877729258,"[[15419   665]
 [ 3345   319]]",0.08472121650977553,0.04415400918403391,0.04056720732574162,0.5211682622491524,0.09963369963369964,0.07959982601130927,0.02003387362239037,0.5195510499637943,0.8420463911456494,-0.3224953411818551
1,0.809398420093174,0.27082526152654013,0.5705492059156676,0.19077510917030568,"[[15285   799]
 [ 2965   699]]",0.1700035124692659,0.05999644991420626,0.11000706255505964,0.3529130018713744,0.22949689869055823,0.16538635336647087,0.06411054532408736,0.5542676501580611,0.8523755990769777,-0.29810794891891657
2,0.8118290459793397,0.18473014480035102,0.5427468196444647,0.11490174672489083,"[[15611   473]
 [ 3243   421]]",0.08825597749648383,0.03803833412210128,0.050217643374382545,0.43100008861855,0.1128808864265928,0.11621621621621622,-0.00333532978962342,0.5186357243319268,0.8611571225745386,-0.34252139824261174
3,0.8033724934170549,0.30673094090341013,0.5837100514330333,0.23444323144104803,"[[15006  1078]
 [ 2805   859]]",0.24937298459333573,0.07318511529161997,0.17618786930171576,0.2934765183605048,0.33518390006939625,0.16914080071974807,0.16604309934964817,0.5804371193120745,0.840066049419119,-0.25962893010704446
4,0.8053980149888597,0.06745935452560058,0.5090827400144872,0.03793668122270742,"[[15766   318]
 [ 3525   139]]",0.03852951572993991,0.020568591524321767,0.01796092420561814,0.5338398662596906,0.03854239663629993,0.03755029056772463,0.0009921060685752978,0.4959349593495935,0.8571428571428571,-0.3612078977932636
5,0.8223617581527243,0.3704235463029433,0.6135976624902667,0.2816593886462882,"[[15208   876]
 [ 2632  1032]]",0.26825741142443965,0.06866093510776115,0.19959647631667848,0.2559516799300099,0.3970276008492569,0.209240337627721,0.1877872632215359,0.6265365148228489,0.8542574490637145,-0.2277209342408656
6,0.8025116467490379,0.1905354919053549,0.5410311408229068,0.12527292576419213,"[[15389   695]
 [ 3205   459]]",0.1294370742201506,0.046759832537295834,0.08267724168285477,0.3612553267216567,0.18335684062059238,0.0886019590382903,0.09475488158230208,0.5485837217640731,0.8442714782711245,-0.29568775650705137
7,0.8089933157788131,0.2305181558547532,0.5561801158003452,0.15420305676855894,"[[15411   673]
 [ 3099   565]]",0.17098632109431244,0.04496169711255156,0.1260246239817609,0.26295493595509106,0.23706293706293707,0.10116383169203223,0.13589910537090483,0.5583153347732182,0.8500294637595758,-0.2917141289863576
8,0.8146647761798663,0.2966948501152959,0.5814746869329036,0.21069868995633187,"[[15316   768]
 [ 2892   772]]",0.22957339117859726,0.053291720645389236,0.17628167053320803,0.2321336996931443,0.34082668600435095,0.13216630196936544,0.20866038403498552,0.6117136659436009,0.847721116476269,-0.23600745053266814
9,0.8049422726352036,0.19447929736511918,0.5431555634773335,0.126910480349345,"[[15431   653]
 [ 3199   465]]",0.0711743772241993,0.05419766206163656,0.016976715162562737,0.7614771519659935,0.09265858873841767,0.14816452896948254,-0.055505940231064865,0.5220640569395018,0.8518715314677058,-0.329807474528204
10,0.8061575855782864,0.09716981132075472,0.5166092398097759,0.056222707423580785,"[[15714   370]
 [ 3458   206]]",0.0524822695035461,0.025283553875236293,0.027198715628309805,0.48175420221734017,0.06529453513129879,0.05055432372505543,0.014740211406243361,0.5131205673758865,0.8549740075614367,-0.3418534401855502
