seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8125379785294713,0.12191650853889945,0.5259003563714082,0.07014192139737992,"[[15789   295]
 [ 3407   257]]",0.07675597393193338,0.020016484163428706,0.05673948976850468,0.26078079839334944,0.1010989010989011,0.05176163549369291,0.04933726560520819,0.5289645184648806,0.8586482985988461,-0.3296837801339655
1,0.8105124569576666,0.2753679318357862,0.5724976284441182,0.19405021834061134,"[[15295   789]
 [ 2953   711]]",0.1693010186160871,0.06023312230045559,0.1090678963156315,0.3557753095215707,0.22398345968297725,0.1744238590149119,0.04955960066806536,0.5493501931858096,0.8545056505532217,-0.3051554573674121
2,0.8007899534130039,0.2068548387096774,0.5456644985550749,0.14001091703056767,"[[15301   783]
 [ 3151   513]]",0.0808720112517581,0.0630619971604354,0.0178100140913227,0.7797753040186011,0.10318559556786704,0.16396396396396395,-0.06077836839609692,0.5161744022503516,0.8486748698532892,-0.3325004676029376
3,0.816690297751671,0.25206611570247933,0.5656472324879536,0.16648471615720525,"[[15518   566]
 [ 3054   610]]",0.20781082049444644,0.035147726602583,0.17266309389186343,0.16913328439277442,0.29424011103400416,0.08367071524966262,0.21056939578434153,0.5797205302758868,0.8556938137642272,-0.2759732834883404
4,0.8106137330362568,0.050761421319796954,0.5081750124075677,0.027292576419213975,"[[15908   176]
 [ 3564   100]]",0.04524566984800283,0.008747561912642591,0.036498107935360236,0.19333478633488976,0.05185704274702172,0.0116227089852481,0.04023433376177362,0.5026511134676565,0.8621076895797624,-0.3594565761121059
5,0.8289447032610897,0.3965702036441586,0.625858280598908,0.3029475982532751,"[[15260   824]
 [ 2554  1110]]",0.31308749096167754,0.06289011894947591,0.2501973720122016,0.20087074943908817,0.4600141542816702,0.20435362061306087,0.2556605336686093,0.646059291395517,0.8587327758803439,-0.21267348448482692
6,0.811525217743569,0.21937919463087252,0.5533086598306488,0.1427401746724891,"[[15503   581]
 [ 3141   523]]",0.15632843313015418,0.03938911492422902,0.11693931820592515,0.251963856705676,0.21086036671368125,0.09973285841495994,0.11112750829872131,0.5496593761204733,0.854590482929418,-0.30493110680894464
7,0.8176017824589832,0.29400235201881614,0.5809594470731715,0.2046943231441048,"[[15396   688]
 [ 2914   750]]",0.23290136789056876,0.04661166764879199,0.18628970024177677,0.2001347955615829,0.3300699300699301,0.12444046553267682,0.20562946453725325,0.5921526277897768,0.8545079552150855,-0.26235532742530865
8,0.8208426169738707,0.33695652173913043,0.5986500389874556,0.24536026200873362,"[[15311   773]
 [ 2765   899]]",0.2859725234996385,0.05187845954540101,0.23409406395423746,0.18141064361893702,0.4205946337926033,0.13960612691466084,0.28098850687794247,0.6348517715112075,0.8511364974679072,-0.21628472595669967
9,0.8038788738100061,0.10698639612635462,0.5179501123468603,0.06331877729257641,"[[15643   441]
 [ 3432   232]]",0.056227758007117434,0.030405006494273232,0.025822751512844203,0.5407472673981506,0.06628652886671418,0.06147722246793454,0.0048093063987796406,0.5106761565836299,0.8525209587908844,-0.34184480220725455
10,0.7973972047802309,0.11029575272403826,0.5156570200769106,0.06768558951965066,"[[15499   585]
 [ 3416   248]]",0.07943262411347518,0.03597589792060491,0.04345672619287027,0.4529108577504725,0.09510290986515259,0.05055432372505543,0.04454858614009716,0.5159574468085106,0.844281663516068,-0.3283242167075574
11,0.807727364796435,0.1348826611984507,0.5270567783329659,0.08078602620087336,"[[15655   429]
 [ 3368   296]]",0.06624158696422246,0.03178729689807976,0.034454290066142694,0.4798691932795678,0.07741027445460943,0.08292465448060633,-0.005514380025996898,0.508324477506199,0.8576661742983752,-0.3493416967921762
12,0.8101073526433057,0.14266117969821673,0.5302038750707259,0.0851528384279476,"[[15686   398]
 [ 3352   312]]",0.08694083694083694,0.027627238454288407,0.05931359848654853,0.317770560146421,0.11214953271028037,0.0686317641882974,0.04351776852198297,0.5238095238095238,0.8568567389255419,-0.3330472151160181
13,0.826514077374924,0.3471798780487805,0.6033962730055853,0.2486353711790393,"[[15411   673]
 [ 2753   911]]",0.28425283156740955,0.04738110634295456,0.236871725224455,0.1666864885098543,0.42233357193987114,0.1415968239964711,0.28073674794340003,0.6364632809645597,0.857092469578508,-0.2206291886139483
14,0.8189690095199514,0.26546126977604273,0.57083967739238,0.17631004366812228,"[[15527   557]
 [ 3018   646]]",0.15724381625441697,0.0448043503960279,0.11243946585838907,0.28493553173204256,0.23130193905817176,0.14054054054054055,0.09076139851763121,0.5685512367491166,0.8608582574772432,-0.29230702072812664
15,0.808537573425157,0.1294036380382224,0.5259735257257477,0.07669213973799127,"[[15686   398]
 [ 3383   281]]",0.03744093057070156,0.03388833323527681,0.003552597335424748,0.9051146090315196,0.047109207708779445,0.09500662836942113,-0.04789742066064168,0.5012722646310432,0.8582691063128788,-0.35699684168183554
16,0.8016001620417258,0.11196736174070715,0.5181318479185152,0.06741266375545851,"[[15583   501]
 [ 3417   247]]",0.07132406730065838,0.03250264488068649,0.038821422419971885,0.4557037492502404,0.09381980640357408,0.052132701421800945,0.04168710498177314,0.5296269202633505,0.8453038674033149,-0.3156769471399644
17,0.823070690702856,0.3647272727272727,0.6109769710656607,0.27374454148471616,"[[15251   833]
 [ 2661  1003]]",0.27521613832853026,0.06316285646947914,0.21205328185905112,0.22950273502522786,0.3799860041987404,0.2058165548098434,0.174169449388897,0.6012247838616714,0.8593565873202923,-0.25813180345862086
18,0.8037269596921207,0.18434343434343436,0.539564326043729,0.1195414847161572,"[[15434   650]
 [ 3226   438]]",0.12264150943396226,0.04413841807909605,0.07850309135486622,0.35989787049109084,0.1776978417266187,0.0839929639401935,0.09370487778642521,0.5522496371552975,0.844515065913371,-0.2922654287580735
19,0.8118796840186348,0.20193340494092377,0.5479413347393433,0.12827510917030568,"[[15563   521]
 [ 3194   470]]",0.1431095406360424,0.03463766402648067,0.10847187660956173,0.2420360227035563,0.20558739255014327,0.08068783068783068,0.12489956186231259,0.5664310954063604,0.8529376994916656,-0.28650660408530526
