seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8138039295118493,0.27317651709824076,0.5724107483202271,0.18859170305676856,"[[15380   704]
 [ 2973   691]]",0.1564083997103548,0.05669374779229954,0.09971465191805526,0.3624725263942855,0.23003663003663002,0.16398434101783385,0.06605228901879617,0.5767559739319333,0.8523489932885906,-0.27559301935665725
1,0.8140571197083248,0.2743083003952569,0.572882310555175,0.189410480349345,"[[15382   702]
 [ 2970   694]]",0.1650860554970144,0.054789657416720906,0.11029639808029351,0.33188543545830723,0.22605099931082012,0.16538635336647087,0.060664645944349255,0.5556726378644187,0.857582391574463,-0.30190975371004436
2,0.8127911687259469,0.29379178605539635,0.5800083472794032,0.20987991266375547,"[[15282   802]
 [ 2895   769]]",0.1670182841068917,0.06483672503549456,0.10218155907139714,0.3882013600019927,0.23407202216066483,0.19414414414414413,0.0399278780165207,0.5629395218002813,0.854827259820161,-0.29188773801987966
3,0.8082843832286813,0.29180695847362514,0.5784007595494831,0.212882096069869,"[[15182   902]
 [ 2884   780]]",0.19276245073450377,0.06746476381435396,0.1252976869201498,0.3499891371856169,0.26995142262317834,0.17588843904633378,0.09406298357684456,0.5696882837692583,0.8475555817656425,-0.2778672979963842
4,0.8102086287218959,0.30823181985972686,0.5853777425611609,0.2278930131004367,"[[15165   919]
 [ 2829   835]]",0.16578296217744787,0.07595011525503871,0.08983284692240916,0.45812979969403944,0.23265592151366504,0.2248547161376844,0.007801205375980641,0.5645104277129728,0.8512914474850759,-0.28678101977210313
5,0.8067652420498278,0.3173524150268336,0.5887433971105843,0.24208515283842794,"[[15045  1039]
 [ 2777   887]]",0.18944323933477947,0.08255800259097869,0.10688523674380078,0.4357928152035249,0.2597310686482661,0.2310084406930253,0.028722627955240804,0.5650759219088937,0.8461311977387822,-0.28105527582988854
6,0.8119809600972251,0.2755121951219512,0.5728722650408499,0.19268558951965065,"[[15329   755]
 [ 2958   706]]",0.15310147006095376,0.06097057609528864,0.09213089396566512,0.39823638578398124,0.21156558533145275,0.18076580587711488,0.030799779454337872,0.5536034420939405,0.8544725514476089,-0.3008691093536684
7,0.8137026534332591,0.26844303042354345,0.5706625573273069,0.18422489082969432,"[[15394   690]
 [ 2989   675]]",0.1630669546436285,0.05374189746611668,0.10932505717751181,0.3295695169114175,0.22657342657342658,0.15711727842435094,0.06945614814907564,0.5554355651547876,0.8559811431938715,-0.3005455780390839
8,0.8124367024508811,0.29014948256036793,0.5785262266658993,0.20660480349344978,"[[15287   797]
 [ 2907   757]]",0.16449746926970354,0.06471558120362737,0.09978188806607617,0.3934138408994139,0.23132704858593184,0.19168490153172865,0.039642147054203186,0.5676066522053507,0.8523142150512307,-0.28470756284588006
9,0.8124873404901762,0.2934554474336959,0.5798218265134245,0.20987991266375547,"[[15276   808]
 [ 2895   769]]",0.16619217081850535,0.06553312079348211,0.10065905002502323,0.39432134781517075,0.22736992159657876,0.19902697921273774,0.028342942383841024,0.5615658362989324,0.8541150076750502,-0.2925491713761178
