seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8070690702855985,0.12654745529573588,0.5245451282513529,0.07532751091703056,"[[15662   422]
 [ 3388   276]]",0.06734250543084722,0.030142470269633816,0.037200035161213396,0.4475994778748849,0.09084249084249084,0.06611570247933884,0.024726788363151994,0.5282404055032585,0.852407865300836,-0.32416745979757755
1,0.8169941259874418,0.23755274261603376,0.560881077128916,0.15365720524017468,"[[15571   513]
 [ 3101   563]]",0.1598173515981735,0.03674338796520916,0.12307396363296436,0.2299086275537373,0.21571330117160578,0.11296882060551287,0.10274448056609291,0.5504039339655779,0.8619016626235134,-0.31149772865793557
2,0.8119809600972251,0.2246815619127166,0.5551690822961114,0.14683406113537117,"[[15497   587]
 [ 3126   538]]",0.06821378340365682,0.05507572172266919,0.013138061680987627,0.8073987246354185,0.09626038781163435,0.17972972972972973,-0.08346934191809538,0.5218002812939522,0.8608021769995268,-0.3390018957055746
3,0.821399635406117,0.25512143611404436,0.5679060478340242,0.1648471615720524,"[[15617   467]
 [ 3060   604]]",0.21426012182013615,0.027894085038627114,0.18636603678150904,0.1301879453893115,0.29562803608605137,0.08007197480881692,0.21555606127723445,0.5747044070225725,0.8620038921979124,-0.2872994851753399
4,0.7984099655661333,0.13849816057130493,0.5238658342826796,0.08733624454148471,"[[15447   637]
 [ 3344   320]]",0.11134676564156946,0.03794550505349016,0.0734012605880793,0.340786773956583,0.1345480028030834,0.057219490388913725,0.07732851241416969,0.519971721456345,0.8449671966428276,-0.32499547518648264
5,0.8170447640267369,0.35608625913384423,0.606856138189353,0.2726528384279476,"[[15136   948]
 [ 2665   999]]",0.2765726681127983,0.06960310917441997,0.20696955893837832,0.25166300650515766,0.4019815994338287,0.19147045757441136,0.21051114185941736,0.6232827187274042,0.8486044046637616,-0.22532168593635749
6,0.8132975491188981,0.1923329682365827,0.5455451062598216,0.11981441048034934,"[[15622   462]
 [ 3225   439]]",0.1480817497310864,0.02877528156141282,0.11930646816967358,0.19432024279607835,0.20944992947813823,0.06322350845948353,0.14622642101865468,0.5564718537110075,0.8555339347838906,-0.2990620810728831
7,0.8043852542029573,0.2842319807300352,0.574637187245129,0.20933406113537117,"[[15118   966]
 [ 2897   767]]",0.21058315334773217,0.0676487919858574,0.14293436136187476,0.32124503271232796,0.2811188811188811,0.16338406445837064,0.11773481666051047,0.5640748740100792,0.8437242192103712,-0.27964934520029205
8,0.819222199716427,0.2848557692307692,0.5778445570688384,0.19405021834061134,"[[15467   617]
 [ 2953   711]]",0.24945770065075923,0.03756919090802026,0.21188850974273898,0.1506034522486725,0.36838288614938364,0.08884026258205689,0.27954262356732673,0.6193058568329718,0.8517842421387352,-0.23247838530576337
9,0.8096516102896496,0.17692139259908038,0.5396186939962576,0.11026200873362445,"[[15585   499]
 [ 3260   404]]",0.056227758007117434,0.043983941433463215,0.012243816573654219,0.7822460470128585,0.07412687099073414,0.13268465280849182,-0.05855778181775767,0.5185053380782918,0.8579525327665604,-0.33944719468826856
10,0.7811423941664979,0.23801128349788434,0.5506737485732656,0.18422489082969432,"[[14751  1333]
 [ 2989   675]]",0.17553191489361702,0.08937854442344045,0.08615337047017657,0.5091868591396002,0.2207239176721079,0.1614190687361419,0.05930484893596599,0.5453900709219858,0.8204158790170132,-0.2750258080950274
11,0.789750860846668,0.2420591456736035,0.5546939905561306,0.18094978165938866,"[[14933  1151]
 [ 3001   663]]",0.13035777541622387,0.08543574593796159,0.04492202947826228,0.655394322779526,0.1442646023926812,0.20419081587160054,-0.05992621347891933,0.5115125752745306,0.8361595273264402,-0.3246469520519095
12,0.806815880089123,0.12998859749144812,0.5253380790696008,0.07778384279475982,"[[15648   436]
 [ 3379   285]]",0.08044733044733045,0.029335532516493873,0.051111797930836575,0.36465513962206736,0.10567936736161035,0.06071271447426309,0.04496665288734726,0.5238095238095238,0.8530278039585297,-0.3292182801490059
13,0.8161839173587199,0.3435804701627487,0.6011642343851983,0.25927947598253276,"[[15168   916]
 [ 2714   950]]",0.24735111435878698,0.06989594967961907,0.17745516467916791,0.28257786450977457,0.3758052970651396,0.1874724305249228,0.1883328665402168,0.6258677383997077,0.8468050085238963,-0.22093727012418862
14,0.8089933157788131,0.199490662139219,0.5461693874625465,0.12827510917030568,"[[15506   578]
 [ 3194   470]]",0.08763250883392226,0.04728691334673129,0.04034559548719097,0.5396046966582643,0.13088642659279778,0.1265765765765766,0.004309850016221195,0.5356890459363958,0.8547109587421681,-0.3190219128057723
15,0.8145635001012761,0.09401286491835725,0.5200836302642566,0.05185589519650655,"[[15896   188]
 [ 3474   190]]",0.010905125408942203,0.02047420132964641,-0.009569075920704205,1.8774842619285756,0.014989293361884369,0.07467962881131242,-0.05969033544942805,0.495092693565976,0.8662705183267635,-0.3711778247607875
16,0.8138545675511444,0.03314045239347712,0.5062656519973197,0.017194323144104802,"[[16009    75]
 [ 3601    63]]",0.010972933430870519,0.0063477136475843425,0.004625219783286176,0.5784883037498532,0.017870439314966492,0.01680310211115898,0.0010673372038075106,0.5153621068032187,0.8618196779123075,-0.3464575711090888
17,0.8191209236378367,0.25830564784053156,0.5684039116689781,0.1697598253275109,"[[15554   530]
 [ 3042   622]]",0.1451729106628242,0.04413151072354466,0.10104139993927955,0.30399273887980144,0.20293911826452066,0.14854586129753916,0.054393256966981496,0.5489913544668588,0.8633042658496347,-0.31431291138277595
18,0.8037775977314159,0.2103117994701447,0.5478147476838302,0.1408296943231441,"[[15357   727]
 [ 3148   516]]",0.15711175616835993,0.04766949152542373,0.1094422646429362,0.30341135945512193,0.21942446043165467,0.09278803869832894,0.12663642173332573,0.5598693759071117,0.8433380414312618,-0.28346866552415007
19,0.800840591452299,0.1935616157473857,0.5413751657509863,0.12882096069868995,"[[15343   741]
 [ 3192   472]]",0.12791519434628976,0.05030145407258541,0.07761374027370435,0.3932406492414826,0.16905444126074498,0.10405643738977072,0.06499800387097426,0.545583038869258,0.8435394254640028,-0.2979563865947449
