seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7605833502126798,0.41816391828698,0.6459576239480718,0.4637008733624454,"[[13321  2763]
 [ 1965  1699]]",0.35445329471397535,0.20505121865065348,0.14940207606332187,0.5784999651819254,0.48937728937728936,0.44845585036972596,0.0409214390075634,0.6350470673425054,0.7809961144471919,-0.14594904710468648
1,0.7896495847680778,0.38641063515509605,0.6225993935767352,0.3569868995633188,"[[14286  1798]
 [ 2356  1308]]",0.29118370214260625,0.13472575587243357,0.15645794627017268,0.46268302408783885,0.3852515506547209,0.3384545865341166,0.0467969641206043,0.5918510713031261,0.8229690550854979,-0.2311179837823718
2,0.8126898926473567,0.3006239364719229,0.5826859519726675,0.2169759825327511,"[[15254   830]
 [ 2869   795]]",0.19338959212376933,0.06359441552295314,0.1297951766008162,0.32884094135868863,0.27285318559556787,0.18063063063063062,0.09222255496493725,0.5759493670886076,0.852520113582584,-0.2765707464939764
3,0.8019546283167915,0.29645619715776217,0.5791514581199793,0.22489082969432314,"[[15013  1071]
 [ 2840   824]]",0.16768183446793264,0.08415403668101669,0.08352779778691595,0.501867342685294,0.2338653712699514,0.21907332433648224,0.014792046933469166,0.5575062701540666,0.842189066462228,-0.2846827963081614
4,0.8217541016811829,0.3659942363112392,0.6115386035540487,0.27729257641921395,"[[15212   872]
 [ 2648  1016]]",0.26299045599151644,0.0676162893788049,0.19537416661271154,0.2571054874363428,0.38121934127540297,0.21099687080911936,0.1702224704662836,0.6171792152704135,0.8559607541816893,-0.23878153891127574
5,0.8184119910877051,0.2308022308022308,0.559117105175992,0.14683406113537117,"[[15624   460]
 [ 3126   538]]",0.12581344902386118,0.03827582145801437,0.08753762756584682,0.304226787795597,0.1818825194621373,0.12483340737450022,0.05704911208763708,0.5491684743311641,0.8622659286303145,-0.31309745429915037
6,0.8125886165687665,0.30575876946163943,0.584731300139334,0.22243449781659388,"[[15232   852]
 [ 2849   815]]",0.18178558623162425,0.06840025944925998,0.11338532678236427,0.3762688828480988,0.2566995768688293,0.20080142475512022,0.055898152113709104,0.5708139117963428,0.8523497847750457,-0.281535872978703
7,0.8192728377557221,0.15845319500117896,0.5383596109508053,0.09170305676855896,"[[15843   241]
 [ 3328   336]]",0.07055435565154787,0.022451384796700058,0.04810297085484781,0.3182140151287386,0.1062937062937063,0.08236347358997315,0.02393023270373315,0.5241180705543557,0.8675898644667059,-0.3434717939123503
8,0.8079299169536156,0.37645898405392075,0.6166454240238747,0.3125,"[[14810  1274]
 [ 2519  1145]]",0.2440347071583514,0.10269697326581086,0.14133773389254056,0.4208293748936783,0.3546047860768673,0.287089715536105,0.06751507054076228,0.6109906001446131,0.8400070663054999,-0.22901646616088678
9,0.816690297751671,0.14014251781472684,0.5324537648415687,0.08051310043668122,"[[15833   251]
 [ 3369   295]]",0.05444839857651246,0.02320226709174637,0.03124613148476609,0.4261331407046228,0.07911617961511047,0.08137992038920831,-0.0022637407740978416,0.5252669039145907,0.8650371944739639,-0.33977029055937313
10,0.8182600769698197,0.17965714285714285,0.5437443120668891,0.10725982532751091,"[[15766   318]
 [ 3271   393]]",0.07411347517730496,0.02965500945179584,0.04445846572550912,0.4001297926031783,0.11071682044002838,0.10509977827050998,0.005617042169518402,0.5368794326241135,0.8651346880907372,-0.3282552554666237
11,0.8206400648166903,0.16580310880829016,0.5408849718019698,0.09606986899563319,"[[15854   230]
 [ 3312   352]]",0.10662415869642225,0.016602658788774004,0.09002149990764824,0.1557119792714585,0.1534130893736805,0.05974141774409273,0.09367167162958778,0.5444562522139568,0.8667060561299852,-0.3222498039160284
12,0.8167409357909662,0.26933171815061574,0.5716847562849624,0.1820414847161572,"[[15462   622]
 [ 2997   667]]",0.17712842712842713,0.047007540056550425,0.13012088707187672,0.26538676382231724,0.2437095614665708,0.14430268367795865,0.09940687778861215,0.5656565656565656,0.8577403393025448,-0.29208377364597915
13,0.8204375126595098,0.18632400183570444,0.5464509333640309,0.11080786026200873,"[[15796   288]
 [ 3258   406]]",0.07380343441724516,0.028922461936394098,0.04488097248085106,0.3918850411876765,0.1066571224051539,0.1133656815174239,-0.006708559112270002,0.5246620387285349,0.8680265710422668,-0.3433645323137319
14,0.8187664573627709,0.16553975285614364,0.5400508886750672,0.0968886462882096,"[[15814   270]
 [ 3309   355]]",0.054063604240282684,0.027899278874571463,0.02616432536571122,0.5160454850656029,0.08379501385041552,0.10540540540540541,-0.021610391554989894,0.5212014134275619,0.868542380896087,-0.34734096746852516
15,0.8187664573627709,0.29422204693354365,0.5812529389916911,0.20360262008733623,"[[15423   661]
 [ 2918   746]]",0.15412577244638315,0.05783373536506442,0.09629203708131873,0.37523727827663256,0.22055674518201285,0.1931064958020327,0.02745024937998014,0.5612504543802254,0.8604459610519504,-0.299195506671725
16,0.8162851934373101,0.33259749816041206,0.596379107936608,0.24672489082969432,"[[15216   868]
 [ 2760   904]]",0.3496708119970739,0.047960503115081696,0.3017103088819922,0.1371590120466876,0.4482501861504095,0.13011632916846186,0.3181338569819476,0.5994879297732261,0.8511226049136006,-0.2516346751403745
17,0.8047903585173182,0.31197572728895234,0.5861611229907614,0.23853711790393012,"[[15019  1065]
 [ 2790   874]]",0.19992795389048992,0.08154607588970068,0.11838187800078924,0.40787730931497135,0.26662001399580126,0.22058165548098435,0.04603835851481691,0.5597982708933718,0.8448621258543484,-0.28506385496097664
18,0.8189690095199514,0.2755825734549138,0.5744224643764342,0.185589519650655,"[[15493   591]
 [ 2984   680]]",0.1313497822931785,0.05349576271186441,0.0778540195813141,0.4072771326903269,0.18273381294964028,0.18733509234828497,-0.0046012793986446865,0.548621190130624,0.8628177966101694,-0.3141966064795454
19,0.8108669232327325,0.3125345113197129,0.5872571361161761,0.23171397379912664,"[[15164   920]
 [ 2815   849]]",0.15865724381625443,0.07802340702210664,0.08063383679414779,0.4917733671994694,0.22134670487106017,0.23809523809523808,-0.01674853322417791,0.5664310954063604,0.8517555266579974,-0.285324431251637
