seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8254000405104315,0.3724062613760466,0.6145144853601562,0.27920305676855894,"[[15277   807]
 [ 2641  1023]]",0.2559739319333816,0.06611326975156011,0.18986066218182146,0.25828126033070586,0.3912087912087912,0.21270117442366246,0.17850761678512875,0.6364952932657495,0.8561168020722948,-0.2196215088065453
1,0.8226149483491999,0.3627433145352011,0.610064933390095,0.2721069868995633,"[[15248   836]
 [ 2667   997]]",0.2574639971900246,0.06508490621856695,0.19237909097145767,0.2527922619430561,0.3638869745003446,0.21192950745594216,0.1519574670444024,0.6037934668071654,0.8594757706644577,-0.2556823038572923
2,0.8270710958071703,0.37602777270235704,0.6161726060996363,0.2808406113537118,"[[15304   780]
 [ 2635  1029]]",0.26863572433192684,0.06181968764789399,0.20681603668403287,0.23012459642750066,0.39335180055401664,0.20765765765765765,0.185694142896359,0.6230661040787623,0.8613937529578798,-0.2383276488791175
3,0.8232226048207414,0.37605004468275244,0.6162336597491987,0.287117903930131,"[[15205   879]
 [ 2612  1052]]",0.2576137585094948,0.07147490711800436,0.18613885139149045,0.27744988284610594,0.3754337265787647,0.22986954565901935,0.14556418091974538,0.6137585094948047,0.8576988854160523,-0.24394037592124762
4,0.8264634393356289,0.37222934603407215,0.6144296754267171,0.27729257641921395,"[[15305   779]
 [ 2648  1016]]",0.24425592082007777,0.06525208345646906,0.1790038373636087,0.2671463735142561,0.365802382620883,0.2208314707197139,0.1449709119011691,0.6203605514316013,0.8609255866185945,-0.24056503518699324
5,0.8235770710958071,0.375850949480473,0.6161351390462082,0.2862991266375546,"[[15215   869]
 [ 2615  1049]]",0.2646420824295011,0.06983865269108468,0.1948034297384164,0.2638985154966396,0.3871196036801132,0.22301199466903598,0.16410760901107724,0.6200289226319595,0.8567306559886939,-0.2367017333567344
6,0.8249442981567754,0.3720254314259764,0.6143400802989545,0.2794759825327511,"[[15267   817]
 [ 2640  1024]]",0.2534958766583005,0.06686715018574209,0.1866287264725584,0.2637800309307421,0.3730606488011283,0.22039180765805877,0.15266884114306956,0.6174256005736823,0.8590718792381626,-0.2416462786644803
7,0.8223617581527243,0.36724386724386726,0.6121223972615384,0.2778384279475983,"[[15222   862]
 [ 2646  1018]]",0.26169906407487403,0.06794342958161462,0.19375563449325942,0.2596242742472151,0.3776223776223776,0.21396598030438674,0.16365639731799086,0.6123110151187905,0.8567472009428403,-0.2444361858240498
8,0.8270710958071703,0.39137408661557654,0.6234435561555111,0.29967248908296945,"[[15235   849]
 [ 2566  1098]]",0.2707881417208966,0.0705452832410788,0.20024285847981782,0.26051836240964477,0.41116751269035534,0.23238512035010941,0.17878239234024593,0.6406362979031092,0.857437286538688,-0.21680098863557884
9,0.8261089730605631,0.3767695099818512,0.6165303417972673,0.28329694323144106,"[[15276   808]
 [ 2626  1038]]",0.27580071174377224,0.06323060573857599,0.21257010600519627,0.22926193822632068,0.413399857448325,0.20256523662096418,0.21083462082736085,0.6377224199288256,0.8573621442909435,-0.21963972436211787
10,0.8244885558031193,0.37616990640748743,0.6162731969930789,0.28520742358078605,"[[15237   847]
 [ 2619  1045]]",0.2648936170212766,0.06763941398865785,0.19725420303261876,0.2553455789130055,0.3924769339957417,0.21818181818181817,0.1742951158139235,0.6276595744680851,0.8572778827977315,-0.22961830832964647
11,0.8234757950172169,0.37211815561959655,0.614386948053288,0.28193231441048033,"[[15229   855]
 [ 2631  1033]]",0.27169677647892315,0.06623338257016248,0.20546339390876067,0.24377684354050674,0.4032371569317382,0.2050824788230049,0.19815467810873333,0.6308891250442792,0.8555982274741507,-0.22470910242987152
12,0.8216528256025927,0.37107142857142855,0.6139000799840141,0.2835698689956332,"[[15187   897]
 [ 2625  1039]]",0.26226551226551226,0.0712181903864279,0.19104732187908435,0.27154996389433034,0.39108554996405465,0.21777386713594368,0.17331168282811096,0.6284271284271284,0.8532045240339302,-0.22477739560680177
13,0.8299574640469921,0.376068376068376,0.616153159884406,0.2762008733624454,"[[15378   706]
 [ 2652  1012]]",0.267811472415053,0.057903709364528835,0.20990776305052417,0.21621071286591462,0.4101646385110952,0.19364799294221438,0.2165166455688808,0.6404822798684692,0.8604432426077244,-0.21996096273925525
14,0.831172776990075,0.3975424647632815,0.6261723386717549,0.3002183406113537,"[[15314   770]
 [ 2564  1100]]",0.28197879858657243,0.06336446388461993,0.21861433470195252,0.2247135749291659,0.42105263157894735,0.22162162162162163,0.1994310099573257,0.6374558303886926,0.8635772549946802,-0.2261214246059876
15,0.8264634393356289,0.37360628769877535,0.615061931953315,0.2789301310043668,"[[15299   785]
 [ 2642  1022]]",0.26208651399491095,0.06389362828734482,0.19819288570756613,0.24378830987307296,0.3975731620271235,0.2054794520547945,0.192093709972329,0.6335877862595419,0.8576807671942107,-0.22409298093466878
16,0.8251974883532509,0.37122040072859747,0.6139686338317719,0.2781113537117904,"[[15277   807]
 [ 2645  1019]]",0.27029992684711046,0.06388856236040907,0.2064113644867014,0.23636174491658782,0.41250930752047654,0.2003446790176648,0.21216462850281173,0.6437454279444038,0.8543552368637592,-0.21060980891935543
17,0.8245391938424145,0.36712328767123287,0.6120892402767566,0.27429039301310043,"[[15278   806]
 [ 2659  1005]]",0.23919308357348704,0.06758189959934009,0.17161118397414693,0.2825411947104941,0.3470958712386284,0.22774049217002237,0.11935537906860602,0.603386167146974,0.8607117605467829,-0.25732559339980887
18,0.826919181689285,0.38635547576301615,0.6210320218416631,0.29366812227074235,"[[15254   830]
 [ 2588  1076]]",0.28410740203193036,0.06608992467043315,0.2180174773614972,0.23262302987447475,0.4158273381294964,0.21899736147757257,0.19682997665192384,0.6309869375907112,0.8586982109227872,-0.22771127333207597
19,0.8236783471743974,0.3944347826086957,0.6251542800950034,0.3094978165938865,"[[15132   952]
 [ 2530  1134]]",0.2780918727915194,0.07678212554675494,0.20130974724476447,0.2761034501871874,0.414756446991404,0.2447089947089947,0.1700474522824093,0.6378091872791519,0.8547700673838515,-0.2169608801046996
