seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8189690095199514,0.23757730859458306,0.5614612055811791,0.15201965065502182,"[[15616   468]
 [ 3107   557]]",0.14228819695872555,0.03720711173907924,0.1050810852196463,0.2614912026039106,0.2021978021978022,0.12222705524140931,0.07997074695639289,0.5633598841419262,0.8605322029906982,-0.29717231884877204
1,0.8250962122746607,0.34159359512009146,0.6009452014478572,0.2445414847161572,"[[15398   686]
 [ 2768   896]]",0.24622409553916402,0.05212709307141589,0.19409700246774814,0.21170589725295444,0.3452791178497588,0.17849073655671036,0.16678838129304843,0.5960660344221989,0.8636767055203834,-0.2676106710981846
2,0.8045878063601377,0.34225328106357594,0.5997356672230614,0.2740174672489083,"[[14885  1199]
 [ 2660  1004]]",0.17686357243319267,0.10056791292001893,0.07629565951317374,0.5686185772257134,0.24861495844875348,0.2905405405405405,-0.04192558209178704,0.5678621659634318,0.8444155229531471,-0.2765533569897154
3,0.807727364796435,0.2550519913674711,0.5643599134022366,0.17740174672489084,"[[15301   783]
 [ 3014   650]]",0.11787889645288427,0.06510585598867724,0.05277304046420703,0.5523113801349488,0.17279666897987508,0.18038686459739092,-0.007590195617515838,0.5442493729845933,0.8510939435041576,-0.30684457051956426
4,0.8237289852136925,0.28330245007206095,0.5781876317455629,0.18777292576419213,"[[15579   505]
 [ 2976   688]]",0.19158713326263696,0.03847745138601572,0.15310968187662125,0.2008352582491485,0.28100911002102313,0.12829682610639248,0.15271228391463065,0.5874867444326617,0.8632306873928719,-0.2757439429602102
5,0.8199817703058537,0.3286118980169972,0.5950656569386269,0.23744541484716158,"[[15323   761]
 [ 2794   870]]",0.23716558206796817,0.05741373218702155,0.1797518498809466,0.2420829012641793,0.3227176220806794,0.18391825855175478,0.1387993635289246,0.581706435285611,0.85879166175951,-0.2770852264738991
6,0.814968604415637,0.37259615384615385,0.6146439231697344,0.2961244541484716,"[[15009  1075]
 [ 2579  1085]]",0.30512728576550735,0.07718615484403561,0.22794113092147172,0.2529637906698182,0.42595204513399154,0.21415850400712377,0.21179354112686777,0.6195769092864826,0.8471018338345422,-0.22752492454805961
7,0.8223111201134292,0.265130890052356,0.5715215166771829,0.17276200873362446,"[[15606   478]
 [ 3031   633]]",0.15946724262059037,0.03936358279316441,0.12010365982742596,0.2468443182830942,0.22587412587412586,0.1387645478961504,0.08710957797797547,0.5583153347732182,0.8655274012964054,-0.3072120665231872
8,0.816690297751671,0.15774778966961378,0.5370903127032859,0.09252183406113537,"[[15789   295]
 [ 3325   339]]",0.07519884309472162,0.025085384524790956,0.050113458569930665,0.3335873730556336,0.11385061638868746,0.07964989059080962,0.034200725797877835,0.5397686189443239,0.861794841596985,-0.3220262226526611
9,0.8208932550131659,0.253324889170361,0.5671736755396612,0.16375545851528384,"[[15611   473]
 [ 3064   600]]",0.18540925266903915,0.03258944385405597,0.1528198088149832,0.17577032097868955,0.2494654312188168,0.11057054400707651,0.13889488721174031,0.5644128113879003,0.8634431455897981,-0.29903033420189773
10,0.8217034636418877,0.18551931529030763,0.5467012227834437,0.10944323144104803,"[[15826   258]
 [ 3263   401]]",0.09574468085106383,0.0229796786389414,0.07276500221212243,0.24000997689561018,0.1383960255500355,0.09135254988913526,0.04704347566090024,0.5429078014184398,0.8681474480151229,-0.32523964659668314
11,0.8171966781446223,0.28824921135646686,0.5787086070509736,0.19950873362445415,"[[15407   677]
 [ 2933   731]]",0.16259298618490967,0.056070901033973414,0.10652208515093625,0.3448543651828038,0.23574947220267417,0.1765492643780651,0.05920020782460908,0.57137796670209,0.8581979320531757,-0.2868199653510858
12,0.8054992910674499,0.336729407701606,0.5972393229757745,0.26610262008733626,"[[14932  1152]
 [ 2689   975]]",0.22582972582972582,0.08841894439208293,0.1374107814376429,0.39152925535919153,0.30697340043134436,0.2410910690717114,0.06588233135963295,0.5804473304473304,0.8422478793590952,-0.26180054891176474
13,0.8208426169738707,0.2835155933576347,0.5776801975219616,0.19104803493449782,"[[15510   574]
 [ 2964   700]]",0.16514431859700401,0.04832167421080477,0.11682264438619924,0.2926027042366652,0.23693629205440228,0.1627701808557565,0.07416611119864577,0.5663134819145049,0.8617953089177591,-0.2954818270032542
14,0.8178549726554588,0.31446540880503143,0.589018087627293,0.22516375545851527,"[[15326   758]
 [ 2839   825]]",0.18409893992932863,0.06277337746778579,0.12132556246154284,0.3409763113893163,0.2562326869806094,0.20495495495495494,0.05127773202565447,0.5671378091872792,0.8597943019269417,-0.29265649273966254
15,0.8121328742151104,0.36078566505858034,0.608898771352148,0.2857532751091703,"[[14991  1093]
 [ 2617  1047]]",0.24936386768447838,0.08554450785432724,0.16381935983015114,0.34305093455867963,0.3511777301927195,0.24524966858152894,0.10592806161119053,0.599054889131225,0.8466199917632523,-0.24756510263202736
16,0.8160826412801296,0.33357798165137614,0.5967816411981204,0.248089519650655,"[[15207   877]
 [ 2755   909]]",0.1920263350402341,0.07411543434818385,0.11791090069205024,0.3859649476341612,0.27848101265822783,0.23050409306333478,0.04797691959489306,0.590343818580834,0.8523568825672975,-0.2620130639864635
17,0.8228681385456755,0.2181493071077336,0.5565839386886966,0.1331877729257642,"[[15762   322]
 [ 3176   488]]",0.11707492795389049,0.028576478906434128,0.08849844904745637,0.24408709367464965,0.16794961511546536,0.11096196868008948,0.05698764643537588,0.5410662824207493,0.8689606410558567,-0.3278943586351074
18,0.8091958679359935,0.29543754674644723,0.5800140827250819,0.21561135371179038,"[[15190   894]
 [ 2874   790]]",0.20827285921625543,0.06532485875706215,0.1429480004591933,0.3136503671332113,0.27697841726618705,0.17810026385224276,0.09887815341394429,0.5667634252539913,0.8485169491525424,-0.28175352389855113
19,0.8196273040307879,0.33742559523809523,0.5987469646256715,0.24754366812227074,"[[15279   805]
 [ 2757   907]]",0.21060070671378092,0.06596524411869015,0.14463546259509077,0.3132242296239817,0.3008595988538682,0.21472663139329806,0.08613296746057014,0.5929328621908128,0.857548173542972,-0.2646153113521592
