seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8348187158193234,0.4040920716112532,0.6290428443900961,0.3018558951965066,"[[15380   704]
 [ 2558  1106]]",0.4540188269370022,0.032732838808430476,0.4212859881285717,0.07209577415381577,0.6161172161172161,0.11526750761200522,0.5008497085052109,0.6607530774800869,0.8631225715294949,-0.20236949404940796
1,0.8312740530686652,0.45377049180327866,0.656161321186044,0.3777292576419214,"[[15032  1052]
 [ 2280  1384]]",0.5015806111696522,0.059641441334832256,0.44193916983482,0.11890699123268028,0.6595451412818746,0.192950745594216,0.4665943956876586,0.6610467158412364,0.8599491154369564,-0.19890239959571998
2,0.8331476605225846,0.44350616449924,0.6498298303448381,0.35835152838427947,"[[15140   944]
 [ 2351  1313]]",0.5337552742616034,0.04371746332229058,0.4900378109393128,0.08190544511765112,0.6897506925207756,0.1427927927927928,0.5469578997279828,0.6589310829817159,0.8624585896829153,-0.20352750670119946
3,0.8370974275876039,0.4406190227786472,0.6474073002653101,0.34579694323144106,"[[15264   820]
 [ 2397  1267]]",0.5001791472590469,0.04075013268856519,0.4594290145704817,0.08147107473766867,0.6564885496183206,0.14439946018893388,0.5120890894293867,0.6614116804012898,0.8660140355015628,-0.20460235510027291
4,0.8344642495442577,0.43335066736002775,0.643999393468135,0.3411572052401747,"[[15229   855]
 [ 2414  1250]]",0.49699540473665604,0.04131449849281872,0.45568090624383734,0.08312853217367296,0.6517168885774351,0.1430487259722843,0.5086681626051508,0.656062212796041,0.864294580057923,-0.208232367261882
5,0.8329451083654041,0.47021037417697126,0.6656172724202305,0.39956331877729256,"[[14985  1099]
 [ 2200  1464]]",0.5278380332610267,0.06495112472029207,0.46288690854073467,0.12305124039474513,0.6963906581740976,0.2132385606397157,0.48315209753438193,0.6728127259580622,0.8590272052761748,-0.18621447931811264
6,0.8383127405306866,0.425409393557675,0.6391964158690889,0.32259825327510916,"[[15373   711]
 [ 2482  1182]]",0.5181068483327358,0.02641665192523144,0.49169019640750433,0.05098688042869929,0.6861777150916785,0.09305431878895815,0.5931233963027203,0.6712083183936894,0.8657939737012795,-0.1945856553075901
7,0.8316791573830261,0.4679897567221511,0.6646293503864537,0.3990174672489083,"[[14962  1122]
 [ 2202  1462]]",0.5266378689704824,0.06605774896876841,0.46058012000171394,0.1254329642072718,0.6944055944055944,0.20993733213965982,0.48446826226593454,0.6735061195104391,0.8575721862109605,-0.1840660667005214
8,0.8379076362163257,0.45718161777174837,0.6564401520836568,0.36790393013100436,"[[15199   885]
 [ 2316  1348]]",0.48734634851771513,0.05211400306206572,0.4352323454556494,0.10693422290035147,0.6693255982596084,0.18599562363238512,0.48332997462722327,0.6814895155459146,0.8633847603344718,-0.18189524478855712
9,0.8366923232732428,0.4017807456872565,0.6277694057616726,0.29557860262008734,"[[15440   644]
 [ 2581  1083]]",0.501067615658363,0.018833392372180895,0.4822342232861821,0.03758652881095761,0.6600142551674982,0.06943830163644406,0.5905759535310542,0.6587188612099644,0.8662179714251977,-0.20749911021523337
10,0.8328438322868138,0.4175048526557261,0.6359444181692403,0.3228711790393013,"[[15264   820]
 [ 2481  1183]]",0.4879432624113475,0.03703922495274102,0.45090403745860647,0.07590887672000704,0.6430092264017033,0.12283813747228381,0.5201710889294195,0.6549645390070922,0.8624763705103969,-0.20751183150330477
11,0.8313246911079603,0.4538448926053451,0.6561924079803738,0.3777292576419214,"[[15033  1051]
 [ 2280  1384]]",0.5051363797378675,0.059615952732644015,0.4455204270052235,0.11801951932977142,0.6783954961294862,0.18724921979491752,0.49114627633456875,0.6744597945448105,0.8574889217134417,-0.18302912716863118
12,0.8332995746404699,0.4049168474331164,0.6295855057889314,0.3056768558951965,"[[15336   748]
 [ 2544  1120]]",0.4675324675324675,0.033694627709707825,0.4338378398227597,0.07206906482354174,0.621135873472322,0.11262648482182139,0.5085093886505007,0.6540404040404041,0.8625706880301602,-0.20853028398975615
13,0.8347174397407332,0.4725274725274725,0.6664945580462397,0.3990174672489083,"[[15022  1062]
 [ 2202  1462]]",0.5334307636097917,0.06254776321203927,0.47088300039775244,0.1172556355557202,0.721546170365068,0.20026466696074108,0.5212815034043269,0.6927292656192912,0.8575627535124332,-0.164833487893142
14,0.8387684828843427,0.44159943879340585,0.6475901557760622,0.34361353711790393,"[[15305   779]
 [ 2405  1259]]",0.5314487632508834,0.03156401465894314,0.49988474859194026,0.05939239460426135,0.6897506925207756,0.11846846846846847,0.5712822240523071,0.662190812720848,0.8683059463293533,-0.2061151336085053
15,0.8325906420903383,0.45856534556174255,0.658655595242879,0.38209606986899564,"[[15042  1042]
 [ 2264  1400]]",0.5270810614322065,0.05836324057186562,0.46871782086034086,0.11072915504358781,0.7037830121341898,0.18294299602297834,0.5208400161112114,0.6804798255179935,0.8572100958992763,-0.17673027038128286
16,0.8314766052258457,0.43516632722335374,0.6455373074112004,0.34989082969432317,"[[15138   946]
 [ 2382  1282]]",0.5281638624725676,0.046079699071353,0.4820841634012146,0.08724508120573346,0.7066269545793,0.14347264110297286,0.5631543134763272,0.674835405998537,0.8566474667920536,-0.18181206079351664
17,0.8383633785699818,0.4756898817345598,0.6672575420092549,0.3951965065502183,"[[15108   976]
 [ 2216  1448]]",0.5187319884726225,0.05797784586377563,0.46075414260884684,0.1117684028596119,0.6850944716585025,0.2098434004474273,0.4752510712110751,0.6718299711815562,0.8656021682771624,-0.19377219709560622
18,0.83547701033016,0.42789223454833597,0.6409329662829099,0.3316048034934498,"[[15284   800]
 [ 2449  1215]]",0.5268505079825835,0.03313323917137476,0.4937172688112087,0.06288926112693446,0.7014388489208633,0.10554089709762533,0.5958979518232379,0.6763425253991292,0.8612876647834274,-0.18494513938429824
19,0.8392242252379988,0.40996097379669205,0.6314312672334871,0.3010371179039301,"[[15470   614]
 [ 2561  1103]]",0.5106007067137809,0.01607755053788864,0.49452315617589226,0.03148752112264696,0.6926934097421203,0.059964726631393295,0.632728683110727,0.6795053003533569,0.8659416006620168,-0.18643630030865987
