seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8173992303018027,0.20256523662096418,0.5500652822680926,0.125,"[[15684   400]
 [ 3206   458]]",0.1328747284576394,0.02890615801248087,0.10396857044515853,0.2175444371402511,0.18827838827838828,0.08742931709438886,0.10084907118399941,0.559015206372194,0.859413634758036,-0.30039842838584196
1,0.8212983593275268,0.34756886670364207,0.6032502397348419,0.25655021834061137,"[[15279   805]
 [ 2724   940]]",0.25886898489638216,0.059641441334832256,0.1992275435615499,0.23039237921338865,0.3769813921433494,0.17758698599186626,0.19939440615148316,0.6157358623112048,0.8559256848707177,-0.24018982255951293
2,0.8173992303018027,0.23859797297297297,0.5613405236590868,0.15420305676855894,"[[15577   507]
 [ 3099   565]]",0.08931082981715893,0.048390913393279694,0.04091991642387924,0.5418258176790844,0.13157894736842105,0.16891891891891891,-0.03733997155049787,0.5365682137834037,0.8646474207288216,-0.3280792069454179
3,0.8203868746202148,0.3221861265048729,0.5924691969235747,0.2300764192139738,"[[15358   726]
 [ 2821   843]]",0.25618058043711933,0.050362682078197794,0.20581789835892153,0.1965905533989511,0.3608605135322693,0.1452991452991453,0.21556136823312397,0.6001433178072375,0.8566373768944978,-0.2564940590872603
4,0.8171966781446223,0.10377358490566038,0.5237022892369644,0.057041484716157206,"[[15929   155]
 [ 3455   209]]",0.05585012371862849,0.012175660500029552,0.04367446321859894,0.21800597186445317,0.08409250175192712,0.039785426911041574,0.044307074840885544,0.5245669848002827,0.8661268396477333,-0.34155985484745055
5,0.8351731820943893,0.4262295081967213,0.6401141889903335,0.32996724890829693,"[[15284   800]
 [ 2455  1209]]",0.3579175704989154,0.060004710870333294,0.29791285962858216,0.16764952552256757,0.5251238499646143,0.20746334962239005,0.3176605003422242,0.6677512653651483,0.862442586267813,-0.19469132090266472
6,0.8252987644318412,0.24075704225352113,0.5642932939947373,0.14929039301310043,"[[15751   333]
 [ 3117   547]]",0.17784152025815705,0.022642844507341234,0.1551986757508158,0.12732034945761028,0.27291960507757407,0.07123775601068566,0.2016818490668884,0.5912513445679455,0.8637891385105254,-0.27253779394257993
7,0.8259570589426778,0.3184612333928218,0.5916737007891973,0.2191593886462882,"[[15508   576]
 [ 2861   803]]",0.27429805615550756,0.03635827931644078,0.23793977683906678,0.1325502623898589,0.39090909090909093,0.10922112802148612,0.2816879628876048,0.6133909287257019,0.8607542722451385,-0.24736334351943656
8,0.8264128012963338,0.3246650906225374,0.5941663797812575,0.22489082969432314,"[[15496   588]
 [ 2840   824]]",0.25488069414316705,0.0416323165704864,0.21324837757268067,0.16334040799144023,0.39013778100072516,0.12516411378555797,0.2649736672151672,0.6355748373101953,0.8574961724178543,-0.221921335107659
9,0.8143609479440956,0.15568862275449102,0.5355549440763503,0.09224890829694324,"[[15744   340]
 [ 3326   338]]",0.06832740213523132,0.028692879914984058,0.03963452222024726,0.4199322529224229,0.0955096222380613,0.09022556390977443,0.005284058328286864,0.5277580071174377,0.861908135553194,-0.3341501284357563
10,0.8128924448045372,0.1020656136087485,0.5211652878067005,0.05731441048034935,"[[15843   241]
 [ 3454   210]]",0.05673758865248227,0.01719045368620038,0.039547134966281886,0.3029817462192817,0.0858765081618169,0.039467849223946784,0.04640865893787011,0.5294326241134751,0.8601134215500945,-0.3306807974366194
11,0.8104618189183714,0.19764201500535908,0.5461225197082131,0.12581877729257643,"[[15544   540]
 [ 3203   461]]",0.07013815090329437,0.04744460856720827,0.022693542336086094,0.6764451009354998,0.0964109781843772,0.1444493981275078,-0.048038419943130586,0.5235565001771165,0.8583161004431314,-0.3347596002660149
12,0.8167915738302612,0.21756055363321797,0.5544341646856188,0.13728165938864628,"[[15627   457]
 [ 3161   503]]",0.1471861471861472,0.032516493873704054,0.11466965331244314,0.22092088484781283,0.2092020129403307,0.09326880774307084,0.11593320519725986,0.560966810966811,0.8585650329877474,-0.29759822202093644
13,0.8319829856187968,0.38623751387347394,0.6207686664661185,0.2849344978165939,"[[15386   698]
 [ 2620  1044]]",0.2948483741322616,0.054964434777496914,0.2398839393547647,0.18641593306816487,0.44667143879742305,0.18526687251874724,0.2614045662786758,0.6507124588966021,0.861148668508612,-0.21043620961200993
14,0.8204375126595098,0.2742529676627098,0.5742702205343344,0.18286026200873362,"[[15532   552]
 [ 2994   670]]",0.16996466431095406,0.04379950348740986,0.1261651608235442,0.25769770243112244,0.24792243767313019,0.14054054054054055,0.10738189713258964,0.572791519434629,0.8618631043858612,-0.2890715849512322
15,0.8144622240226859,0.07985936715218482,0.5167547979548419,0.043395196506550215,"[[15925   159]
 [ 3505   159]]",0.01272264631043257,0.016649997058304406,-0.003927350747871837,1.3086897687827264,0.017844396859386154,0.059213433495360145,-0.041369036635973994,0.4961832061068702,0.8659763487674296,-0.36979314266055935
16,0.8193741138343124,0.11422895455674198,0.5272519192362368,0.06277292576419213,"[[15951   133]
 [ 3434   230]]",0.07681053401609364,0.008992594334077819,0.06781793968201583,0.11707501385413693,0.11913626209977662,0.03015941404566997,0.08897684805410666,0.5490124359912216,0.8628188550605383,-0.3138064190693167
17,0.8240328134494632,0.38938675101036724,0.6226321093733881,0.30240174672489084,"[[15165   919]
 [ 2556  1108]]",0.28674351585014407,0.07253122790478435,0.21421228794535974,0.25294810133628315,0.41497550734779565,0.23042505592841164,0.184550451419384,0.6257204610951008,0.8564694791421165,-0.23074901804701564
18,0.8198804942272635,0.22420937840785174,0.557489596105164,0.14028384279475983,"[[15677   407]
 [ 3150   514]]",0.16037735849056603,0.028189736346516007,0.13218762214405003,0.17577129721945275,0.23525179856115108,0.0822339489885664,0.15301784957258469,0.5725689404934688,0.8599929378531074,-0.28742399735963853
19,0.8230200526635608,0.25080385852090037,0.566898679585017,0.15966157205240175,"[[15668   416]
 [ 3079   585]]",0.17102473498233214,0.0305591677503251,0.14046556723200704,0.17868273705252075,0.25644699140401145,0.10008818342151675,0.15635880798249469,0.5886925795053004,0.8622177562359618,-0.27352517673066135
