seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8283370467895483,0.4169246646026832,0.6362336000191136,0.3307860262008734,"[[15146   938]
 [ 2452  1212]]",0.3595220854453295,0.06811491816790298,0.2914071672774265,0.1894596213290514,0.5274725274725275,0.21400608960417572,0.31346643786835177,0.667632150615496,0.8544683857294242,-0.18683623511392822
1,0.8309702248328945,0.42229145032883353,0.6386931220263921,0.3329694323144105,"[[15190   894]
 [ 2444  1220]]",0.3586231120477696,0.06467072954263062,0.293952382505139,0.1803306239058466,0.5203308063404548,0.21012200632625394,0.31020880001420087,0.6621004566210046,0.8594166025678954,-0.19731614594689084
2,0.8263115252177435,0.4186440677966102,0.6374137782645479,0.33706331877729256,"[[15083  1001]
 [ 2429  1235]]",0.36357243319268634,0.07110743019403691,0.2924650029986494,0.19557981767102608,0.5193905817174516,0.21846846846846846,0.3009221132489831,0.6561181434599156,0.8549455750118315,-0.19882743155191596
3,0.826058335021268,0.41769791490083064,0.6369422160296001,0.33624454148471616,"[[15081  1003]
 [ 2432  1232]]",0.3525618058043712,0.07377484224803915,0.27878696355633203,0.2092536430023143,0.5031228313671062,0.22807017543859648,0.27505265592850975,0.6506628448584737,0.8549271687208823,-0.20426432386240856
4,0.8279825805144825,0.4262793447052863,0.6412847968471203,0.34443231441048033,"[[15089   995]
 [ 2402  1262]]",0.3598444680098975,0.07323127844435251,0.286613189565545,0.2035081401955533,0.5206727400140154,0.2320071524362986,0.2886655875777168,0.6610109579356663,0.8559016490336309,-0.19489069109796453
5,0.829501721693336,0.41187772925764193,0.6334711853924103,0.32177947598253276,"[[15202   882]
 [ 2485  1179]]",0.35502530730296455,0.06353786362030385,0.2914874436826607,0.17896713928081512,0.5138004246284501,0.20124389160373168,0.3125565330247184,0.6590744757772957,0.8572606289011895,-0.19818615312389376
6,0.8311221389507798,0.42942686056458507,0.6424745454812019,0.34252183406113534,"[[15158   926]
 [ 2409  1255]]",0.3789888849049839,0.06627749277669674,0.31271139212828714,0.1748797798999122,0.5465444287729196,0.21371326803205698,0.33283116074086266,0.6683399067766225,0.8578925644200719,-0.18955265764344942
7,0.8282357707109581,0.4119278779472954,0.6336424003240629,0.324235807860262,"[[15168   916]
 [ 2476  1188]]",0.3596112311015119,0.06511490866234532,0.29449632243916657,0.18107028655054583,0.5174825174825175,0.20053715308863027,0.3169453643938872,0.6583873290136789,0.856040070713023,-0.1976527416993441
8,0.8285902369860239,0.4238297872340425,0.6398664448870504,0.33979257641921395,"[[15118   966]
 [ 2419  1245]]",0.383586406362979,0.06771876104110235,0.31586764532187667,0.17654108674805757,0.5576504713560552,0.20831509846827134,0.3493353728877838,0.6738973246565437,0.8537863620303852,-0.17988903737384143
9,0.8272230099250557,0.4163530619226821,0.6360765709826902,0.33215065502183405,"[[15119   965]
 [ 2447  1217]]",0.39181494661921706,0.06382099421419293,0.32799395240502416,0.16288555289907553,0.5573770491803278,0.19239274657231314,0.3649843026080147,0.6654804270462633,0.8540559688274885,-0.18857554178122515
10,0.8266153534535143,0.41569965870307163,0.6358089055384993,0.3324235807860262,"[[15106   978]
 [ 2446  1218]]",0.38049645390070924,0.0663397920604915,0.31415666184021773,0.1743506184628015,0.5259048970901349,0.21152993348115298,0.31437496360898187,0.6453900709219859,0.8568052930056711,-0.21141522208368524
11,0.830311930322058,0.4247210300429184,0.6400803871921321,0.33760917030567683,"[[15160   924]
 [ 2427  1237]]",0.3620262132483174,0.06729689807976366,0.2947293151685537,0.18588957268020823,0.5123152709359606,0.22692822113241196,0.2853870498035487,0.6503719447396387,0.8603249630723782,-0.2099530183327395
