seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8359327526838161,0.43435754189944137,0.6442686539771005,0.3395196506550218,"[[15264   820]
 [ 2420  1244]]",0.5191889934829833,0.037089367714588484,0.4820996257683948,0.07143712247398425,0.6974358974358974,0.12701174423662462,0.5704241531992728,0.6759594496741491,0.8619451312845873,-0.18598568161043816
1,0.8300081020862872,0.46037614531425824,0.6604422035405824,0.39082969432314413,"[[14959  1125]
 [ 2232  1432]]",0.4724271162627327,0.07171173303354832,0.4007153832291844,0.1517942780271465,0.6340454858718125,0.23136014460009038,0.4026853412717222,0.6642079381805409,0.857937400153837,-0.1937294619732961
2,0.8341604213084869,0.4591246903385632,0.6585655249894385,0.37936681222707425,"[[15083  1001]
 [ 2274  1390]]",0.5193389592123769,0.054070042593469,0.46526891661890796,0.10411320320638175,0.6945983379501385,0.17432432432432432,0.5202740136258142,0.6782700421940928,0.8603880738286797,-0.18211803163458684
3,0.8346668017014381,0.43890702869908915,0.6469688950151443,0.34852620087336245,"[[15206   878]
 [ 2387  1277]]",0.48620566105338586,0.047060211122250395,0.43914544993113547,0.09679075109963217,0.6439972241498959,0.15699505173189385,0.48700217241800203,0.6624865639555715,0.863006428023825,-0.2005198640682535
4,0.8307676726757139,0.44225634178905204,0.6496332640645345,0.36162663755458513,"[[15081  1003]
 [ 2339  1325]]",0.5252739483916579,0.04976653466516934,0.4755074137264885,0.09474396135111982,0.6839523475823406,0.15601251676352257,0.527939830818818,0.6603039943442913,0.8592706424729594,-0.19896664812866804
5,0.8381608264128013,0.481000324780773,0.6706106057282238,0.40420305676855894,"[[15071  1013]
 [ 2183  1481]]",0.512292118582791,0.0634200918619715,0.4488720267208195,0.12379673542005165,0.6985138004246284,0.21945801865837405,0.47905578176625435,0.690527838033261,0.8622070427511482,-0.17167920471788722
6,0.8353250962122747,0.4549111632584646,0.6558031103627353,0.3703602620087336,"[[15139   945]
 [ 2307  1357]]",0.529580494801004,0.04864673624624093,0.48093375855476306,0.09185900297275962,0.7045133991537377,0.15939447907390916,0.5451189200798285,0.6783793474363571,0.8611356801698213,-0.18275633273346426
7,0.8375531699412598,0.46390374331550804,0.6604375880340005,0.37882096069869,"[[15152   932]
 [ 2276  1388]]",0.4928005759539237,0.05604007071302298,0.4367605052409007,0.11371754305389177,0.66993006993007,0.19247985675917637,0.47745021317089364,0.6821454283657308,0.8629935179728934,-0.1808480896071626
8,0.8318310715009115,0.4574415945107009,0.6581892933279323,0.38209606986899564,"[[15027  1057]
 [ 2264  1400]]",0.5292841648590022,0.05847367801201272,0.4708104868469895,0.11047690804728631,0.7070340826686005,0.18599562363238512,0.5210384590362154,0.6771511207519885,0.8570250853845248,-0.17987396463253635
9,0.8341604213084869,0.4425531914893617,0.6490816770904716,0.3548034934497817,"[[15173   911]
 [ 2364  1300]]",0.4814946619217082,0.05065533120793482,0.4308393307137734,0.10520434641115804,0.6614397719173201,0.16452896948252985,0.49691080243479024,0.6797153024911032,0.859782737040973,-0.18006743454986973
10,0.8258557828640875,0.43944580277098616,0.6490414950331719,0.36790393013100436,"[[14961  1123]
 [ 2316  1348]]",0.5354609929078015,0.05676984877126654,0.4786911441365349,0.10602051227481565,0.6912704045422285,0.16585365853658537,0.5254167460056431,0.6556737588652483,0.8542060491493384,-0.19853229028409014
11,0.8302106542434677,0.4566520823205315,0.6581429006992764,0.3845524017467249,"[[14986  1098]
 [ 2255  1409]]",0.5086787105915692,0.06327917282127031,0.4453995377702989,0.12439909810198196,0.6713581984517946,0.20285332144449397,0.4685048770073006,0.6638328019837053,0.8579615952732644,-0.19412879328955912
12,0.8283370467895483,0.43216080402010054,0.6444529348648851,0.35207423580786024,"[[15068  1016]
 [ 2374  1290]]",0.5331890331890332,0.04877474081055608,0.4844142923784771,0.0914773893957114,0.6901509705248023,0.14518257809062912,0.5449683924341733,0.6576479076479076,0.8562087653157399,-0.19856085766783227
13,0.8368948754304233,0.4641490600565629,0.6607710923220776,0.3807314410480349,"[[15132   952]
 [ 2269  1395]]",0.5137011326269638,0.055317147727940746,0.4583839848990231,0.10768352299528722,0.6979241231209735,0.18526687251874724,0.5126572506022262,0.6883449031786628,0.8607959555581682,-0.17245105237950542
14,0.8308183107150091,0.43151267653564745,0.6436579138561851,0.3460698689956332,"[[15139   945]
 [ 2396  1268]]",0.49823321554770317,0.04746423927178153,0.4507689762759216,0.09526510435400123,0.6502770083102493,0.1481981981981982,0.502078810112051,0.6551236749116608,0.8602080624187256,-0.2050843875070648
15,0.8339072311120114,0.4438792811122415,0.6498746279087193,0.35725982532751094,"[[15159   925]
 [ 2355  1309]]",0.48854961832061067,0.05236218156145202,0.43618743675915866,0.1071788403835971,0.6638115631691649,0.16747680070702606,0.4963347624621388,0.678298800436205,0.859092781079014,-0.18079398064280894
16,0.8310208628721896,0.41342942520653897,0.6340876609590046,0.32096069868995636,"[[15235   849]
 [ 2488  1176]]",0.4546452084857352,0.04596214881861996,0.40868305966711527,0.10109454132751967,0.6254653760238272,0.14476518741921585,0.4807001886046114,0.6686174103877103,0.8571176678029858,-0.18850025741527554
17,0.8378063601377355,0.47706122448979593,0.6682854764125894,0.39874454148471616,"[[15084  1000]
 [ 2203  1461]]",0.5273775216138329,0.058743813339618194,0.4686337082742147,0.11138854223413941,0.708187543736879,0.20089485458612977,0.5072926891507492,0.6869596541786743,0.8624793777987273,-0.17551972362005297
18,0.8342616973870771,0.43598138893675686,0.6454556876073105,0.3452510917030568,"[[15210   874]
 [ 2399  1265]]",0.4818577648766328,0.04772834274952919,0.4341294221271036,0.09905068721212534,0.6446043165467625,0.16226912928759896,0.4823351872591636,0.6640058055152395,0.8618761770244822,-0.1978703715092427
19,0.8308183107150091,0.44008714596949894,0.6483998378056688,0.35835152838427947,"[[15094   990]
 [ 2351  1313]]",0.5342756183745583,0.046754935571580565,0.4875206828029777,0.08751089131453241,0.6977077363896849,0.14947089947089948,0.5482368369187853,0.6607773851590106,0.859262324151791,-0.1984849389927804
