seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8319323475795017,0.4586527483281683,0.6588837234431896,0.3837336244541485,"[[15023  1061]
 [ 2258  1406]]",0.5184648805213613,0.0609325326739668,0.4575323478473945,0.11752489891445272,0.7054945054945055,0.1926924749891257,0.5128020305053799,0.6846488052136134,0.8558813140233134,-0.17123250880969998
1,0.8332995746404699,0.45351925630810097,0.6555080233794414,0.3728165938864629,"[[15090   994]
 [ 2298  1366]]",0.48366701791359323,0.05816223892077392,0.4255047789928193,0.12025264648325588,0.6450723638869745,0.19430637144148216,0.45076599244549237,0.6642079381805409,0.8617833264303887,-0.19757538824984777
2,0.8331982985618797,0.45804540967423496,0.6581856280727058,0.3799126637554585,"[[15062  1022]
 [ 2272  1392]]",0.4827707454289733,0.061583057264552765,0.42118768816442054,0.12756170055381505,0.6544321329639889,0.20135135135135135,0.4530807816126376,0.6740506329113924,0.8599739706578324,-0.18592333774644
3,0.8310715009114847,0.45896853713915026,0.6593036327294803,0.38618995633187775,"[[14997  1087]
 [ 2249  1415]]",0.4948047294876388,0.06610839181458984,0.428696337673049,0.1336050119873427,0.6453851492019431,0.2181736392262708,0.4272115099756723,0.6553206735936941,0.8599988205460871,-0.20467814695239306
4,0.831628519343731,0.46362316502661727,0.6619638613979663,0.3921943231441048,"[[14986  1098]
 [ 2227  1437]]",0.49522799575821846,0.06702523789822093,0.4282027578599975,0.13534218273666454,0.6720392431674842,0.2136790344210997,0.4583602087463845,0.678331565924355,0.8572610674389739,-0.17892950151461895
5,0.8332995746404699,0.4605047525401508,0.659617690802327,0.38346069868995636,"[[15051  1033]
 [ 2259  1405]]",0.5097613882863341,0.06053468378282888,0.4492267045035052,0.11875101797397493,0.6709129511677282,0.20302087960906265,0.4678920715586655,0.6648590021691974,0.8607348957719939,-0.19587589360279656
6,0.8348187158193234,0.4742101869761445,0.667505116424796,0.40147379912663755,"[[15015  1069]
 [ 2193  1471]]",0.5292219433488705,0.06273954832242468,0.46648239502644584,0.11855054218918865,0.7059238363892807,0.20926090828138913,0.4966629281078916,0.680172104697024,0.8602511940562533,-0.18007908935922923
7,0.8313753291472554,0.451761606848864,0.6549589817215079,0.37445414847161573,"[[15046  1038]
 [ 2292  1372]]",0.5179985601151907,0.05721862109605186,0.4607799390191389,0.11046096553497713,0.6832167832167833,0.17681289167412712,0.5064038915426561,0.6706263498920086,0.8576900412492634,-0.18706369135725476
8,0.8289953413003849,0.4450287592440427,0.6516011328082155,0.3695414847161572,"[[15017  1067]
 [ 2310  1354]]",0.5036153289949385,0.06053468378282888,0.44308064521210966,0.12020024073460493,0.6838288614938361,0.1798687089715536,0.5039601525222825,0.6796818510484454,0.8533152749970557,-0.17363342394861037
9,0.8304132064006482,0.45905346470683245,0.6595317609297912,0.38782751091703055,"[[14978  1106]
 [ 2243  1421]]",0.5266903914590747,0.06181367339709529,0.4648767180619794,0.1173624474634039,0.7099073414112615,0.18796992481203006,0.5219374165992314,0.6829181494661922,0.8548825126933522,-0.17196436322716002
10,0.8285395989467288,0.44853420195439736,0.6537450016778723,0.3758187772925764,"[[14985  1099]
 [ 2287  1377]]",0.5124113475177305,0.06090500945179584,0.4515063380659347,0.11885960322080572,0.6664300922640171,0.1942350332594235,0.4721950590045936,0.6539007092198581,0.8576323251417769,-0.2037316159219188
11,0.8321348997366822,0.46419912720219814,0.6621693532534978,0.39192139737991266,"[[14997  1087]
 [ 2228  1436]]",0.5171803046404534,0.06280649926144756,0.45437380537900585,0.12144023795552499,0.6706544686840253,0.21533660276415514,0.4553178659198702,0.6546227417640808,0.8617429837518464,-0.20712024198776569
12,0.8264128012963338,0.44584545748464277,0.6526501084915547,0.3763646288209607,"[[14941  1143]
 [ 2285  1379]]",0.5209235209235209,0.0635014137606032,0.4574221071629177,0.12190160591716903,0.685118619698059,0.18741750989881215,0.49770110979924687,0.6648629148629148,0.8527921771913289,-0.18792926232841412
13,0.8334514887583553,0.46788545542792426,0.6640313707837348,0.39465065502183405,"[[15013  1071]
 [ 2218  1446]]",0.5308732188527585,0.06254776321203927,0.46832545564071926,0.11782052850058601,0.7165354330708661,0.19629466254962505,0.5202407705212411,0.690171720862258,0.8565046146611016,-0.16633289379884364
