seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
1,0.8144115859833907,0.3368916229419215,0.5980740509160967,0.2540938864628821,"[[15152   932]
 [ 2733   931]]",0.23990165086055498,0.06981835394355364,0.17008329691700136,0.29102906834157716,0.3142660234321158,0.21464075915047448,0.09962526428164131,0.5707762557077626,0.855452340098219,-0.28467608439045644
2,0.8111707514685031,0.04261874197689346,0.5067255736531681,0.0226528384279476,"[[15936   148]
 [ 3581    83]]",0.017229254571026722,0.010766682442025556,0.006462572129001165,0.6249070380636874,0.01038781163434903,0.03063063063063063,-0.0202428189962816,0.48558368495077353,0.8659488878371983,-0.3803652028864247
3,0.8138545675511444,0.016059957173447537,0.5027882411010318,0.008187772925764192,"[[16042    42]
 [ 3634    30]]",0.01361519168756718,0.002005071651825205,0.011610120035741975,0.1472672363222144,0.015961138098542677,0.003148897885739991,0.012812240212802686,0.48656395557147974,0.8677242436751784,-0.3811602881036987
4,0.8138545675511444,0.09901960784313725,0.5209129281968357,0.055131004366812224,"[[15870   214]
 [ 3462   202]]",0.041003888299752565,0.017731544417518764,0.0232723438822338,0.43243568238931535,0.06306937631394534,0.05006705409029951,0.013002322223645828,0.5182043124779074,0.8632897925409303,-0.34508548006302286
5,0.8218047397204781,0.21187010078387455,0.554350474691277,0.12909388646288208,"[[15756   328]
 [ 3191   473]]",0.11677512653651483,0.028147450241432104,0.08862767629508272,0.24103977513251146,0.1740976645435244,0.1008440693025322,0.0732535952409922,0.5502530730296457,0.8660346248969497,-0.31578155186730406
7,0.8246911079602998,0.2899917965545529,0.5807804265053882,0.1929585152838428,"[[15579   505]
 [ 2957   707]]",0.2224622030237581,0.03500294637595757,0.18745925664780053,0.15734334147639178,0.34475524475524477,0.09579230080572963,0.24896294394951513,0.6177105831533477,0.858573954036535,-0.24086337088318732
8,0.8064614138140571,0.2346816179415298,0.5568386739269491,0.15993449781659388,"[[15340   744]
 [ 3078   586]]",0.14714389009399856,0.0543516664703804,0.09279222362361816,0.36937766451369086,0.2131979695431472,0.12778993435448577,0.08540803518866144,0.5668835864063629,0.8454834530679542,-0.2785998666615913
9,0.8127405306866519,0.014917421417155035,0.5018935794502443,0.007641921397379912,"[[16022    62]
 [ 3636    28]]",0.005338078291814947,0.004427913567127169,0.0009101647246877774,0.829495808241823,0.007840342124019958,0.007518796992481203,0.00032154513153875505,0.503202846975089,0.8640925729129767,-0.3608897259378877
10,0.7801296333805955,0.2306874557051736,0.5475229865802789,0.17767467248908297,"[[14755  1329]
 [ 3013   651]]",0.19326241134751773,0.08477079395085066,0.10849161739666707,0.4386305301677043,0.2264017033356991,0.14722838137472283,0.07917332196097626,0.5333333333333333,0.8212429111531191,-0.28790957781978577
11,0.8136520153939639,0.2330137557315548,0.558407844352086,0.15256550218340612,"[[15509   575]
 [ 3105   559]]",0.16011335458731846,0.040295420974889216,0.11981793361242923,0.25166808277015984,0.2322308233638283,0.10209540793580027,0.13013541542802803,0.5703152674459795,0.8542392909896602,-0.28392402354368074
12,0.8145635001012761,0.00326619488296135,0.5006944301152574,0.0016375545851528383,"[[16080     4]
 [ 3658     6]]",0.002886002886002886,0.000117813383600377,0.002768189502402509,0.04082233741753063,0.004313443565780014,0.0,0.004313443565780014,0.49963924963924966,0.8659872761545712,-0.3663480265153215
13,0.8198298561879684,0.31655781790242027,0.5901250965183876,0.22489082969432314,"[[15366   718]
 [ 2840   824]]",0.18743149433686518,0.060490271001116924,0.12694122333574825,0.3227326934309104,0.2755905511811024,0.19364799294221438,0.08194255823888799,0.5834855681402996,0.8578566809711363,-0.2743711128308367
14,0.8150698804942272,0.14951094550535632,0.53419876570494,0.08760917030567686,"[[15775   309]
 [ 3343   321]]",0.031448763250883395,0.031977775150727035,-0.0005290118998436399,1.0168213896242415,0.04916897506925208,0.11261261261261261,-0.06344363754336053,0.5084805653710247,0.8663553611538007,-0.35787479578277603
15,0.7969414624265748,0.2364813404417365,0.554682519664773,0.16948689956331878,"[[15117   967]
 [ 3043   621]]",0.14976372228280624,0.06918868035535683,0.08057504192744941,0.4619855816931715,0.20199857244825126,0.14935925762262484,0.05263931482562642,0.5467102871683024,0.8374419015120316,-0.2907316143437292
16,0.8139558436297346,0.010237068965517241,0.501691277724262,0.005185589519650655,"[[16055    29]
 [ 3645    19]]",0.0036576444769568397,0.0022334548019278242,0.0014241896750290155,0.6106265428470672,0.0037230081906180195,0.006031882809133994,-0.0023088746185159744,0.5087783467446965,0.862995180439638,-0.3542168336949415
17,0.8205387887381,0.3964577656675749,0.6263881814795468,0.31768558951965065,"[[15040  1044]
 [ 2500  1164]]",0.27953890489913547,0.08437426349281169,0.19516464140632378,0.3018337054845944,0.4072778166550035,0.26040268456375837,0.14687513209124514,0.625,0.8525218006127739,-0.22752180061277394
18,0.782458983188171,0.09021601016518423,0.5027982526778083,0.05813318777292576,"[[15239   845]
 [ 3451   213]]",0.07075471698113207,0.050788606403013185,0.01996611057811889,0.717812303829253,0.07122302158273382,0.05013192612137203,0.021091095461361786,0.4967343976777939,0.8288017890772128,-0.3320673913994189
20,0.8086894875430424,0.37012337445815274,0.6134235628670006,0.3029475982532751,"[[14860  1224]
 [ 2554  1110]]",0.2539797395079595,0.09609043805934997,0.15788930144860952,0.37833898973795344,0.36715328467153285,0.2646033129904098,0.10254997168112306,0.6143270622286541,0.8403203014601979,-0.2259932392315438
21,0.8154243467692931,0.09575787645745473,0.5209282340311617,0.05267467248908297,"[[15910   174]
 [ 3471   193]]",0.019572953736654804,0.018420120439249024,0.0011528332974057795,0.9411006988052684,0.026056338028169014,0.06951871657754011,-0.04346237854937109,0.501423487544484,0.8675168260715551,-0.36609333852707115
22,0.806005671460401,0.2767604304323202,0.5720491776796274,0.20005458515283842,"[[15184   900]
 [ 2931   733]]",0.1589189189189189,0.07022918753314088,0.08868973138577803,0.44191835692622666,0.20874471086036672,0.19456812110418523,0.014176589756181496,0.5434234234234234,0.8489365462793849,-0.30551312285596144
