seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
1,0.8236277091351023,0.3774798927613941,0.6169038584549021,0.28820960698689957,"[[15209   875]
 [ 2608  1056]]",0.3059360730593607,0.0627181823560736,0.24321789070328712,0.20500420799970326,0.4203997243280496,0.20153637596023496,0.21886334836781465,0.6129258868984896,0.8591207620850837,-0.2461948751865941
2,0.8170447640267369,0.08693454637351529,0.519710113606622,0.04694323144104803,"[[15963   121]
 [ 3492   172]]",0.009845288326300985,0.015676762896355893,-0.0058314745700549075,1.592311202758434,0.014542936288088643,0.06801801801801802,-0.053475081729929375,0.4971870604781997,0.8708589682915286,-0.37367190781332893
3,0.8143609479440956,0.003262642740619902,0.5005700829379383,0.0016375545851528383,"[[16076     8]
 [ 3658     6]]",0.0014331780723754925,0.000589726956419178,0.0008434511159563146,0.41148198384148144,0.0013879250520471894,0.001799370220422852,-0.00041144516837566267,0.4836975994267288,0.8687857521967329,-0.38508815277000413
4,0.8122847883329958,0.10263858629871703,0.5210029984502758,0.05786026200873363,"[[15829   255]
 [ 3452   212]]",0.053022269353128315,0.018736331934511494,0.034285937418616824,0.35336722028488676,0.07848633496846531,0.044702726866338846,0.03378360810212647,0.5217391304347826,0.8608664814705361,-0.33912735103575353
5,0.8276787522787118,0.29529923379581696,0.5832468038974424,0.19459606986899564,"[[15632   452]
 [ 2951   713]]",0.2292118582791034,0.03126840183723943,0.19794345644186395,0.13641703388297202,0.32554847841472045,0.11239449133718347,0.21315398707753697,0.5925524222704266,0.8659757390177836,-0.273423316747357
7,0.8298055499291067,0.34851715448730375,0.6041524015838247,0.24536026200873362,"[[15488   596]
 [ 2765   899]]",0.2998560115190785,0.039010017678255744,0.26084599384082274,0.13009583326553956,0.4433566433566434,0.11862130707251567,0.3247353362841277,0.6418286537077034,0.8605774896876841,-0.21874883597998074
8,0.8279319424751873,0.32391563867886985,0.5940452227334876,0.22216157205240175,"[[15536   548]
 [ 2850   814]]",0.25704989154013014,0.03833470733718054,0.2187151842029496,0.14913333402903148,0.38506163886874545,0.12385120350109409,0.2612104353676514,0.6283441793203182,0.860440466376163,-0.23209628705584484
9,0.8145128620619809,0.0005457025920873124,0.5001364628820961,0.0002729257641921397,"[[16084     0]
 [ 3663     1]]",0.00035587188612099647,0.0,0.00035587188612099647,0.0,0.0007127583749109052,0.0,0.0007127583749109052,0.501067615658363,0.8665131656630063,-0.3654455500046433
10,0.8148166902977517,0.02035896062148406,0.5042218988954278,0.01037117903930131,"[[16053    31]
 [ 3626    38]]",0.01524822695035461,0.0015359168241965973,0.013712310126158013,0.10072756847056755,0.018452803406671398,0.005321507760532151,0.013131295646139247,0.5035460992907801,0.8666706049149339,-0.36312450562415377
11,0.8186651812841806,0.2784606085029216,0.575395080575885,0.18859170305676856,"[[15476   608]
 [ 2973   691]]",0.22741764080765142,0.03881831610044313,0.1885993247072083,0.17069175444166818,0.32371569317382126,0.10298707088720464,0.2207286222866166,0.5951115834218916,0.8559527326440177,-0.2608411492221261
12,0.8148166902977517,0.005439216752787598,0.5012713684379714,0.0027292576419213972,"[[16081     3]
 [ 3654    10]]",0.0036075036075036075,0.0001767200754005655,0.003430783532103042,0.04898680490103676,0.005751258087706686,0.0008798944126704796,0.004871363675036207,0.5003607503607503,0.8661639962299718,-0.3658032458692214
13,0.8309702248328945,0.3218203982121089,0.5935921564624151,0.21615720524017468,"[[15618   466]
 [ 2872   792]]",0.24588966021191086,0.03438951266827347,0.21150014754363738,0.13985749802832761,0.36435218324982105,0.12483458314953683,0.23951760010028422,0.6156375593715747,0.8656163658809006,-0.2499788065093259
14,0.815778813044359,0.10789602746444335,0.5239909959611603,0.060043668122270744,"[[15890   194]
 [ 3444   220]]",0.03392226148409894,0.018796548055325688,0.015125713428773249,0.5541065728809552,0.05263157894736842,0.06486486486486487,-0.01223328591749645,0.5095406360424029,0.8670055562123182,-0.3574649201699154
15,0.8164371075551955,0.24115553694787525,0.5619090115322504,0.1572052401746725,"[[15547   537]
 [ 3088   576]]",0.1559432933478735,0.04024239571689121,0.11570089763098228,0.2580578802264982,0.22127052105638828,0.1175430844012373,0.10372743665515098,0.5601599418393312,0.857916102841678,-0.2977561610023468
16,0.8143103099048005,0.006502302898943376,0.5011712526702062,0.0032751091703056767,"[[16069    15]
 [ 3652    12]]",0.0032918800292611556,0.0010579522745973904,0.002233927754663765,0.3213823909721406,0.0037230081906180195,0.003015941404566997,0.0007070667860510226,0.5091441111923921,0.8633478311978371,-0.354203720005445
17,0.8384140166092768,0.43028030708802,0.6416822394763735,0.3288755458515284,"[[15352   732]
 [ 2459  1205]]",0.3922910662824208,0.049964647654961114,0.34232641862745966,0.1273662643619578,0.5605318404478656,0.18076062639821028,0.37977121404965536,0.670028818443804,0.8659556917275513,-0.19592687328374725
