seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8065626898926473,0.11451089476124246,0.5211783537628325,0.06741266375545851,"[[15681   403]
 [ 3417   247]]",0.08001448225923244,0.025256093253267397,0.05475838900596504,0.31564402518336904,0.1010989010989011,0.047411918225315354,0.05368698287358575,0.5257060101375814,0.8522312492640999,-0.32652523912651843
1,0.8182094389305246,0.2322497861420017,0.5595196384375044,0.14819868995633187,"[[15615   469]
 [ 3121   543]]",0.13874253600280997,0.03650671557895983,0.10223582042385015,0.2631256183627813,0.19503790489317713,0.1174875734297334,0.07755033146344373,0.5504039339655779,0.8633216969410094,-0.3129177629754315
2,0.8185132671662954,0.1363855421686747,0.5323083763842448,0.07723799126637555,"[[15881   203]
 [ 3381   283]]",0.04852320675105485,0.020586843350686227,0.027936363400368622,0.42426798905327273,0.06994459833795014,0.08198198198198198,-0.01203738364403184,0.5147679324894515,0.8696166587789872,-0.3548487262895357
3,0.816639659712376,0.2194438456563915,0.5549731608292273,0.13891921397379914,"[[15618   466]
 [ 3155   509]]",0.1587244715155858,0.03137347408150026,0.12735099743408554,0.19765996876177708,0.22068008327550312,0.08591992802519119,0.13476015525031193,0.5528484414188463,0.860057793241729,-0.3072093518228828
4,0.814917966376342,0.0419397116644823,0.508709868170272,0.021834061135371178,"[[16013    71]
 [ 3584    80]]",0.016260162601626018,0.006206040546131568,0.01005412205549445,0.3816714935870914,0.025227750525578137,0.019669199821189094,0.0055585507043890425,0.5047720042417816,0.8667769962763757,-0.36200499203459413
5,0.8218553777597731,0.38603839441535776,0.6210846250416753,0.3018558951965066,"[[15124   960]
 [ 2558  1106]]",0.2859725234996385,0.07507949593687434,0.21089302756276412,0.2625409428083368,0.4196744515215853,0.22789871168369613,0.19177573983788915,0.6319595083152567,0.8527853020845602,-0.22082579376930345
6,0.8133481871581932,0.17168539325842697,0.5395697560514722,0.10425764192139737,"[[15680   404]
 [ 3282   382]]",0.11437791323054858,0.027537001002417596,0.08684091222813098,0.24075453227505542,0.15726375176304655,0.07079252003561888,0.08647123172742767,0.5371100752958049,0.85877705053364,-0.32166697523783505
7,0.8114745797042738,0.24984888172476324,0.5634990535496505,0.16921397379912664,"[[15405   679]
 [ 3044   620]]",0.1785457163426926,0.04731879787860931,0.13122691846408327,0.265023428441082,0.24545454545454545,0.12041181736794987,0.12504272808659558,0.5593952483801296,0.8527401296405421,-0.2933448812604126
8,0.8228681385456755,0.3202487368830159,0.5919903041781738,0.22489082969432314,"[[15426   658]
 [ 2840   824]]",0.2313810556760665,0.04958191025792015,0.18179914541814635,0.21428681839594865,0.3553299492385787,0.1461706783369803,0.2091592709015984,0.6243673174258858,0.8551996231303733,-0.23083230570448754
9,0.8164877455944906,0.04531085353003161,0.5103058153210926,0.023471615720524017,"[[16038    46]
 [ 3578    86]]",0.0071174377224199285,0.006612350926909907,0.0005050867955100216,0.929035305230842,0.010691375623663579,0.03140203449800973,-0.020710658874346154,0.504270462633452,0.8682843310898571,-0.36401386845640515
10,0.8115758557828641,0.06577956314335927,0.5120323202205886,0.035753275109170306,"[[15896   188]
 [ 3533   131]]",0.02198581560283688,0.015181947069943288,0.0068038685328935915,0.6905337215683882,0.034066713981547196,0.03680709534368071,-0.0027403813621335107,0.5124113475177305,0.8614130434782609,-0.3490016959605303
11,0.8155762608871785,0.06327160493827161,0.51364516827051,0.03356986899563319,"[[15983   101]
 [ 3541   123]]",0.017357421183138506,0.0103397341211226,0.007017687062015906,0.5956952943659,0.023926812104152005,0.03967900133749443,-0.01575218923334242,0.5033652143110167,0.8676514032496307,-0.3642861889386141
12,0.8124367024508811,0.10401548137397193,0.521412387096564,0.05867903930131004,"[[15829   255]
 [ 3449   215]]",0.06132756132756133,0.01767200754005655,0.043655553787504776,0.28815767588845154,0.08195542774982027,0.044434667839859214,0.03752075990996106,0.5191197691197691,0.860332233741753,-0.34121246462198396
13,0.8229187765849706,0.3117496555796103,0.5886493561639818,0.21615720524017468,"[[15459   625]
 [ 2872   792]]",0.2206795761782974,0.047792604785139026,0.17288697139315837,0.21657013128630054,0.33858267716535434,0.1407146007940009,0.19786807637135345,0.6145414687614176,0.856445829169361,-0.2419043604079434
14,0.820083046384444,0.227776570310802,0.5586677041601461,0.14301310043668122,"[[15671   413]
 [ 3140   524]]",0.1420494699646643,0.031623123300626554,0.11042634666403775,0.22262049487754515,0.20152354570637118,0.10495495495495495,0.09656859075141623,0.553356890459364,0.8647003191866651,-0.31134342872730114
