seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.815778813044359,0.2077526132404181,0.5510726505170996,0.13018558951965065,"[[15633   451]
 [ 3187   477]]",0.14627081824764662,0.03084893441657836,0.11542188383106826,0.21090286351135998,0.20659340659340658,0.08481948673336233,0.12177391986004425,0.5637219406227372,0.856764394206994,-0.29304245358425685
1,0.8289447032610897,0.36095346197502837,0.6094196109073652,0.2603711790393013,"[[15416   668]
 [ 2710   954]]",0.2571127502634352,0.052659605940476896,0.20445314432295833,0.2048113362193138,0.3783597518952447,0.18300948938093087,0.1953502625143138,0.6188970846505093,0.864327554582569,-0.24543046993205975
2,0.819677942070083,0.21787832198550408,0.5554684793480515,0.13537117903930132,"[[15691   393]
 [ 3168   496]]",0.09423347398030943,0.03673686701372456,0.057496606966584866,0.38984943950385315,0.13642659279778394,0.1346846846846847,0.0017419081130992387,0.5365682137834037,0.8673095125414103,-0.3307412987580066
3,0.8251468503139558,0.30898539123474084,0.5879096533591657,0.21069868995633187,"[[15523   561]
 [ 2892   772]]",0.2418487997133644,0.03880403373238191,0.20304476598098248,0.1604474935512265,0.3553088133240805,0.11695906432748537,0.2383497489965951,0.6087423862414905,0.8607654655894321,-0.25202307934794166
4,0.8121328742151104,0.09113179813816757,0.5181699597853626,0.05076419213973799,"[[15852   232]
 [ 3478   186]]",0.04736656062212796,0.01678586204858443,0.030580698573543532,0.35438211742869663,0.0700770847932726,0.03844434510505141,0.03163273968822119,0.5189112760692824,0.861162007210828,-0.3422507311415456
5,0.8379582742556209,0.4360239689813183,0.6447744931359272,0.33760917030567683,"[[15311   773]
 [ 2427  1237]]",0.3647866955892986,0.05894476504534213,0.3058419305439565,0.16158693767632937,0.5421089879688605,0.209240337627721,0.33286865034113955,0.67823571945047,0.8639736191261336,-0.18573789967566356
6,0.8208932550131659,0.24824654622741765,0.5654876581354006,0.15938864628820962,"[[15627   457]
 [ 3080   584]]",0.17138759411975618,0.033197712129252904,0.13818988199050328,0.19369962160771204,0.24894217207334274,0.10284951024042743,0.1460926618329153,0.5733237719612765,0.8616074060970577,-0.2882836341357812
7,0.8266659914928094,0.32737276478679506,0.5952701985428032,0.2273471615720524,"[[15492   592]
 [ 2831   833]]",0.25557955363570917,0.04213317619328226,0.2134463774424269,0.16485346966892692,0.3734265734265734,0.13384064458370637,0.23958592884286706,0.6141108711303096,0.8614614024749558,-0.24735053134464624
8,0.829451083654041,0.3570064910271096,0.607728333183103,0.25518558951965065,"[[15445   639]
 [ 2729   935]]",0.2841648590021692,0.04640207278294665,0.23776278621922256,0.16329279048044584,0.4271211022480058,0.1514223194748359,0.27569878277316995,0.6431670281995662,0.859792721705335,-0.21662569350576888
9,0.816234555398015,0.14228314819191681,0.5328062402191985,0.08215065502183407,"[[15818   266]
 [ 3363   301]]",0.06298932384341636,0.023025150549061284,0.03996417329435508,0.3655405256658882,0.08838203848895225,0.07828394515701018,0.010098093331942073,0.5259786476868328,0.8643877671507852,-0.33840911946395247
