seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8318817095402066,0.4193774046869535,0.6370397864812355,0.32723799126637554,"[[15229   855]
 [ 2465  1199]]",0.33019551049963797,0.0672318379842223,0.26296367251541564,0.203612211088182,0.5018315018315018,0.22357546759460636,0.2782560342368955,0.6716147719044171,0.8579418344519015,-0.18632706254748443
1,0.8340085071906016,0.4234963067182554,0.6388723122819173,0.32860262008733626,"[[15266   818]
 [ 2460  1204]]",0.32068844397611523,0.06561741908762796,0.25507102488848726,0.20461423016700633,0.4906960716747071,0.22232263895164933,0.26837343272305775,0.6698278890059712,0.8616649902372641,-0.19183710123129283
2,0.8339578691513064,0.4252410166520596,0.6397896102774843,0.3310589519650655,"[[15256   828]
 [ 2451  1213]]",0.32208157524613223,0.06655229531471842,0.25552927993141383,0.20663179899023926,0.48822714681440443,0.22882882882882882,0.2593983179855756,0.6659634317862166,0.862221959299574,-0.19625852751335737
3,0.8317297954223213,0.4090343233149565,0.6317830977976975,0.3138646288209607,"[[15275   809]
 [ 2514  1150]]",0.3174489430311716,0.0632777024237778,0.2541712406073938,0.19933190458776956,0.4712005551700208,0.21187584345479082,0.25932471171522997,0.6528126119670369,0.8611782744589255,-0.2083656624918886
4,0.8357302005266356,0.4235963041933191,0.6386647502359338,0.32532751091703055,"[[15312   772]
 [ 2472  1192]]",0.30965005302226933,0.06430640108753473,0.24534365193473462,0.20767443912857964,0.4758234057463209,0.2293249888243183,0.24649841692200264,0.6659597030752916,0.8641172646137478,-0.1981575615384562
5,0.833755316994126,0.4235294117647059,0.638927630485801,0.32914847161572053,"[[15259   825]
 [ 2458  1206]]",0.3232104121475054,0.06695324461194206,0.2562571675355633,0.20715064272553887,0.4869072894550602,0.23011994669035984,0.25678734276470033,0.663412870571222,0.8615004122011541,-0.19808754162993214
6,0.8370974275876039,0.429913166755272,0.64171699152593,0.3310589519650655,"[[15318   766]
 [ 2451  1213]]",0.32771602724991034,0.0627985140633292,0.26491751318658113,0.19162478744269712,0.5063469675599436,0.22039180765805877,0.2859551599018848,0.6787378988884905,0.8631405153605755,-0.184402616472085
7,0.8291472554182702,0.4074464348436951,0.6312514321645423,0.3165938864628821,"[[15214   870]
 [ 2504  1160]]",0.3228941684665227,0.06676487919858574,0.25612928926793693,0.20677016099628895,0.48321678321678324,0.20993733213965982,0.2732794510771234,0.6598272138228942,0.8568650559811432,-0.19703784215824893
8,0.8365404091553575,0.43645251396648044,0.6452739520356556,0.3411572052401747,"[[15270   814]
 [ 2414  1250]]",0.3138105567606652,0.07042751148274644,0.24338304527791876,0.22442683958672424,0.495286439448876,0.24814004376367615,0.24714639568519986,0.6814895155459146,0.861794841596985,-0.1803053260510704
9,0.8304638444399433,0.41221910112359544,0.6335349540458444,0.32041484716157204,"[[15226   858]
 [ 2490  1174]]",0.3323843416370107,0.06482465462274177,0.2675596870142689,0.1950292071626385,0.5060584461867427,0.205218929677134,0.30083951650960866,0.6736654804270462,0.8564765615775181,-0.18281108115047184
10,0.8308183107150091,0.42107087159937623,0.6380729812045712,0.3316048034934498,"[[15192   892]
 [ 2449  1215]]",0.3170212765957447,0.07165642722117202,0.24536484937457267,0.22603034089899898,0.47267565649396737,0.2434589800443459,0.22921667644962146,0.6556737588652483,0.8599952741020794,-0.20432151523683117
11,0.8349199918979137,0.42646023926812104,0.6402748832819835,0.3307860262008734,"[[15276   808]
 [ 2452  1212]]",0.3177470775770457,0.06635155096011817,0.2513955266169275,0.20881876071395053,0.4827586206896552,0.2345073562193491,0.2482512644703061,0.6648955012398158,0.8632791728212703,-0.19838367158145453
12,0.829501721693336,0.41433292746564626,0.634735698445606,0.3250545851528384,"[[15190   894]
 [ 2473  1191]]",0.33116883116883117,0.06874410933081998,0.2624247218380112,0.20758025170482897,0.49173256649892166,0.22305323361196655,0.2686793328869551,0.6605339105339105,0.8570923656927427,-0.1965584551588322
13,0.8351731820943893,0.42683571051241415,0.6404303172536324,0.3307860262008734,"[[15281   803]
 [ 2452  1212]]",0.31823164048227987,0.06725060255129034,0.2509810379309895,0.21132594624900305,0.49749463135289906,0.22805469783855314,0.2694399335143459,0.6792108147606869,0.8602668861325025,-0.18105607137181556
14,0.8350719060157991,0.4306939346268135,0.6424756654202989,0.33624454148471616,"[[15259   825]
 [ 2432  1232]]",0.3254416961130742,0.06714741695235843,0.2582942791607158,0.2063270249459005,0.5013850415512465,0.22882882882882882,0.2725562127224177,0.6759717314487632,0.861685778460811,-0.18571404701204774
15,0.8356795624873405,0.4257653512652629,0.6397928004070333,0.32832969432314413,"[[15300   784]
 [ 2461  1203]]",0.326790258087968,0.06401129611107842,0.2627789619768896,0.19587883826649247,0.49678800856531047,0.22403888643393724,0.27274912213137326,0.6699382042893494,0.8625051479672884,-0.19256694367793903
16,0.8306663965971237,0.413950227830354,0.6343969338375276,0.322325327510917,"[[15223   861]
 [ 2483  1181]]",0.29956108266276515,0.07188197954625603,0.22767910311650913,0.23995767042669597,0.4720774385703649,0.23567427832830676,0.23640316024205812,0.6730065837600585,0.8560009404020219,-0.1829943566419634
17,0.8328438322868138,0.423204612965228,0.6388949486266967,0.3305131004366812,"[[15236   848]
 [ 2453  1211]]",0.3112391930835735,0.0704100872024511,0.2408291058811224,0.22622500240046786,0.45906228131560534,0.2483221476510067,0.21074013366459862,0.646613832853026,0.8633042658496347,-0.21669043299660873
18,0.8292991695361556,0.4142484795829713,0.6347167273560532,0.32532751091703055,"[[15185   899]
 [ 2472  1192]]",0.30805515239477504,0.07309322033898305,0.234961932055792,0.2372731628436246,0.46906474820143884,0.23746701846965698,0.23159772973178186,0.6607402031930334,0.856638418079096,-0.19589821488606263
19,0.8343123354263723,0.42656852436032244,0.6404287221888578,0.33215065502183405,"[[15259   825]
 [ 2447  1217]]",0.3201413427561837,0.06714741695235843,0.2529939258038253,0.20974303529268695,0.49641833810888253,0.2310405643738977,0.26537777373498483,0.6763250883392227,0.8607400401938764,-0.18441495185465373
