seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
1,0.8136013773546689,0.2639472105578884,0.5690197424221527,0.18013100436681223,"[[15407   677]
 [ 3004   660]]",0.1095890410958904,0.06064729897639193,0.04894174211949848,0.5534066031595763,0.1509303928325293,0.19927699954812472,-0.04834660671559543,0.5345978222690552,0.8605999644991421,-0.32600214223008694
2,0.8142090338262102,0.1311863604072934,0.5290337423396165,0.07560043668122271,"[[15802   282]
 [ 3387   277]]",0.013009845288326301,0.030880265026029342,-0.017870419737703043,2.373607398216958,0.019390581717451522,0.11216216216216217,-0.09277158044471065,0.4989451476793249,0.867250354945575,-0.3683052072662501
4,0.8147154142191614,0.1197979312003849,0.5263940798254579,0.0679585152838428,"[[15840   244]
 [ 3415   249]]",0.06786850477200425,0.01779064956557716,0.05007785520642709,0.2621341021928009,0.09320252277505256,0.05185516316495306,0.0413473596100995,0.5217391304347826,0.8637035285773391,-0.3419643981425565
5,0.823931537370873,0.3197026022304833,0.5919054942447348,0.22298034934497818,"[[15454   630]
 [ 2847   817]]",0.19812002892263195,0.05293840537039218,0.14518162355223976,0.26720370301916935,0.2816702052370842,0.18613949355841847,0.09553071167866573,0.5788141720896601,0.8638558473678012,-0.28504167527814106
7,0.8228175005063804,0.304512025442258,0.5858474042933985,0.20906113537117904,"[[15483   601]
 [ 2898   766]]",0.23650107991360692,0.041838538597525045,0.19466254131608188,0.1769063321520922,0.36153846153846153,0.11145926589077887,0.25007919564768266,0.6209503239740821,0.8558632881555687,-0.23491296418148655
8,0.8076260887178448,0.26218683239463975,0.5669321420077346,0.18422489082969432,"[[15274   810]
 [ 2989   675]]",0.16702819956616052,0.060240254386997996,0.10678794517916253,0.36065918535592306,0.2436548223350254,0.14835886214442012,0.09529596019060527,0.5773680404916848,0.8451301377929572,-0.26776209730127243
10,0.8029673891026939,0.13514114247610579,0.524977628368098,0.08296943231441048,"[[15553   531]
 [ 3360   304]]",0.07198581560283689,0.03733459357277883,0.034651222030058056,0.5186381964297354,0.09865152590489709,0.07317073170731707,0.025480794197580023,0.5269503546099291,0.8489484877126654,-0.3219981331027363
11,0.8176524204982784,0.2790790790790791,0.5754056012158872,0.1902292576419214,"[[15450   634]
 [ 2967   697]]",0.2334396032589444,0.039704579025110785,0.1937350242338336,0.17008501758404818,0.33497536945812806,0.09852875613018279,0.23644661332794525,0.6004250797024442,0.8538847858197932,-0.253459706117349
12,0.8147154142191614,0.04389861510321401,0.5090070253440181,0.02292576419213974,"[[16005    79]
 [ 3580    84]]",0.007575757575757576,0.008364750235626767,-0.000788992659869191,1.1041470311027333,0.012221423436376708,0.029476462824461064,-0.017255039388084356,0.5028860028860029,0.86563383600377,-0.36274783311776704
13,0.8156268989264736,0.20345657405381753,0.5497148770809147,0.126910480349345,"[[15642   442]
 [ 3199   465]]",0.09645597369382536,0.037799071189230496,0.05865690250459486,0.391879006988348,0.14387974230493916,0.1164534627260697,0.027426279578869464,0.5400073072707344,0.8599729586737993,-0.3199656514030649
