seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
1,0.8196273040307879,0.22294938917975568,0.5570180338702163,0.1394650655021834,"[[15675   409]
 [ 3153   511]]",0.101159114857745,0.037394237027394826,0.06376487783035018,0.3696576139478926,0.1419710544452102,0.13782196113872572,0.004149093306484469,0.5338953284158764,0.8677593041831845,-0.3338639757673081
2,0.816234555398015,0.12237001209189843,0.5277481880064161,0.06905021834061136,"[[15866   218]
 [ 3411   253]]",0.015822784810126583,0.025201135825840038,-0.009378351015713455,1.5927117841930902,0.025623268698060944,0.0972972972972973,-0.07167402859923636,0.5024613220815752,0.8690250828206342,-0.36656376073905894
4,0.8138039295118493,0.0981113563895021,0.5206710892269732,0.05458515283842795,"[[15871   213]
 [ 3464   200]]",0.0335807705903146,0.018795437082569894,0.014785333507744705,0.5597083316483182,0.049754730203223546,0.05766651765757711,-0.007911787454353565,0.5121951219512195,0.8642354749098646,-0.3520403529586451
5,0.8231719667814462,0.30076091309571484,0.5844843705372125,0.20496724890829696,"[[15505   579]
 [ 2913   751]]",0.19125090383224874,0.04716758921210694,0.1440833146201418,0.24662675191056294,0.2774239207360226,0.15948467347845402,0.1179392472575686,0.5813449023861171,0.8625603580261453,-0.28121545564002814
7,0.820943893052461,0.29869099563665213,0.5833273037622352,0.20551310043668122,"[[15459   625]
 [ 2911   753]]",0.23110151187904968,0.043370654095462584,0.18773085778358709,0.1876692789364409,0.34335664335664334,0.11727842435094002,0.22607821900570332,0.6076313894888409,0.8558632881555687,-0.2482318986667278
8,0.8161839173587199,0.24906909391808027,0.5644933558425254,0.16430131004366813,"[[15516   568]
 [ 3062   602]]",0.1688358640636298,0.041396773053821695,0.1274390910098081,0.2451894523915863,0.2480058013052937,0.1137855579868709,0.1342202433184228,0.5798987707881417,0.8546696502178778,-0.2747708794297361
10,0.8119303220579299,0.17393238434163702,0.5396477106001354,0.10671397379912664,"[[15643   441]
 [ 3273   391]]",0.07730496453900709,0.03627126654064272,0.04103369799836437,0.46919711763583705,0.10645848119233499,0.10687361419068736,-0.0004151329983523716,0.5294326241134751,0.8589910207939508,-0.3295583966804757
11,0.8151711565728175,0.25449346405228757,0.5660845177990224,0.17003275109170304,"[[15475   609]
 [ 3041   623]]",0.19907899397803755,0.0395864106351551,0.15949258334288247,0.1988477530659125,0.29064039408866993,0.09362460989745876,0.19701578419121119,0.5901523202267092,0.8527031019202364,-0.2625507816935272
12,0.8086894875430424,0.07583170254403131,0.5127893990501831,0.04230349344978166,"[[15815   269]
 [ 3509   155]]",0.012987012987012988,0.02285579641847314,-0.009868783431460151,1.7598963242224317,0.01509705248023005,0.05895292564892213,-0.04385587316869208,0.5003607503607503,0.8590362865221489,-0.3586755361613986
13,0.8167915738302612,0.17359524897213338,0.5414729058903639,0.1037117903930131,"[[15750   334]
 [ 3284   380]]",0.07672634271099744,0.02962788783728176,0.04709845487371568,0.3861501381459056,0.11739441660701504,0.0952801058667843,0.022114310740230736,0.5327000365363537,0.8625007348186468,-0.3298006982822931
14,0.8163358314766053,0.05522271424850222,0.5123200766934294,0.028930131004366814,"[[16015    69]
 [ 3558   106]]",0.009187279151943463,0.008807187610828703,0.0003800915411147597,0.9586284976402012,0.01592797783933518,0.03738738738738739,-0.021459409548052207,0.49681978798586574,0.8697836623714387,-0.37296387438557294
