seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.820083046384444,0.2031845705315093,0.5511860019287387,0.1236353711790393,"[[15742   342]
 [ 3211   453]]",0.09666908037653874,0.031084422465559872,0.06558465791097887,0.3215549619845557,0.14285714285714285,0.11222270552414093,0.030634437333001918,0.5503258508327299,0.8639467797009301,-0.31362092886820025
1,0.7776483694551347,0.3967577964006045,0.629562971256797,0.3941048034934498,"[[13913  2171]
 [ 2220  1444]]",0.3449244819107833,0.15578959824862434,0.18913488366215894,0.45166291875135794,0.47484493452791177,0.3411658382286489,0.1336790962992629,0.629434492448191,0.8026152298680551,-0.17318073741986406
2,0.8315272432651408,0.4216930297236225,0.6382974441496554,0.3310589519650655,"[[15208   876]
 [ 2451  1213]]",0.3080168776371308,0.07175816374822527,0.23625871388890554,0.23296828504560807,0.4626038781163435,0.24549549549549549,0.21710838262084803,0.6540084388185654,0.8613937529578798,-0.20738531413931438
3,0.8264634393356289,0.3863921217547001,0.6210683689559942,0.2944868995633188,"[[15242   842]
 [ 2585  1079]]",0.2644213543532784,0.06976469894438875,0.19465665540888966,0.2638391256826409,0.3823733518390007,0.23751686909581646,0.14485648274318422,0.6141168040128986,0.8614141652414932,-0.24729736122859458
4,0.8259064209033826,0.39853044086773964,0.6270489794843448,0.31086244541484714,"[[15171   913]
 [ 2525  1139]]",0.25556733828207845,0.07855074176960813,0.17701659651247031,0.3073582966337779,0.38332165381920114,0.26464014304872596,0.11868151077047517,0.6267232237539767,0.859211537324901,-0.23248831357092425
5,0.826514077374924,0.3704520396912899,0.6136177535189165,0.27510917030567683,"[[15314   770]
 [ 2656  1008]]",0.24511930585683298,0.06477446708279355,0.18034483877403942,0.26425689668290114,0.36447275300778487,0.2190137716570413,0.14545898135074356,0.616413593637021,0.8607348957719939,-0.24432130213497294
6,0.8274762001215313,0.28679087293280303,0.5801719262626669,0.18695414847161573,"[[15656   428]
 [ 2979   685]]",0.1767658659017569,0.03655875936081137,0.14020710654094554,0.20682024311826147,0.27080394922425954,0.1340160284951024,0.13678792072915713,0.5901756902115454,0.866501562592134,-0.2763258723805886
7,0.8000303828235771,0.4410474168435952,0.6553162083559131,0.4252183406113537,"[[14241  1843]
 [ 2106  1558]]",0.4478041756659467,0.12710665880966412,0.32069751685628256,0.2838442911360506,0.583916083916084,0.3236347358997314,0.26028134801635255,0.6385889128869691,0.8264584560989983,-0.1878695432120292
8,0.8199311322665587,0.22188183807439824,0.5567830502851298,0.13837336244541484,"[[15685   399]
 [ 3157   507]]",0.1012292118582791,0.036862560358026146,0.06436665150025295,0.36414943553678686,0.15010877447425672,0.13129102844638948,0.018817746027867233,0.5498915401301518,0.8639147332469673,-0.3140231931168155
9,0.8012456957666599,0.3741030138733854,0.6154924976298016,0.3201419213973799,"[[14650  1434]
 [ 2491  1173]]",0.22384341637010677,0.1167788404770339,0.10706457589307287,0.5216987944999447,0.308624376336422,0.32728881026094647,-0.018664433924524493,0.5850533807829181,0.8371118195772819,-0.25205843879436374
10,0.8248936601174802,0.3480392156862745,0.6036660086402283,0.251910480349345,"[[15367   717]
 [ 2741   923]]",0.2524822695035461,0.054820415879017016,0.19766185362452907,0.21712580446464608,0.37189496096522356,0.17694013303769401,0.19495482792752955,0.6195035460992908,0.8591091682419659,-0.2396056221426751
11,0.8251468503139558,0.36792970895112576,0.6124622818087139,0.27429039301310043,"[[15290   794]
 [ 2659  1005]]",0.2543393552957846,0.06387001477104874,0.19046934052473585,0.25112124192015406,0.3821252638986629,0.2059741417744093,0.17615112212425363,0.6269925611052072,0.8581979320531757,-0.23120537094796856
