seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8226149483491999,0.29672756474603496,0.5828779027463894,0.20169213973799127,"[[15506   578]
 [ 2925   739]]",0.1730629978276611,0.0493936182738726,0.12366937955378851,0.2854083131222513,0.2564102564102564,0.1692040017398869,0.08720625467036949,0.5861694424330196,0.8610620511009066,-0.274892608667887
1,0.8206907028559854,0.2905229412943298,0.5802213393331298,0.19787117903930132,"[[15482   602]
 [ 2939   725]]",0.18299964875307342,0.047689485829240874,0.13531016292383255,0.26059878340853887,0.2639558924879393,0.15454134658834162,0.1094145458995977,0.5763962065331928,0.861842494526951,-0.28544628799375826
2,0.8375025319019648,0.4404533565823888,0.647234490268883,0.34470524017467247,"[[15276   808]
 [ 2401  1263]]",0.36040787623066106,0.061878845243729295,0.2985290309869318,0.17169115694943035,0.5380886426592798,0.21891891891891893,0.3191697237403609,0.6782700421940928,0.8642924751538098,-0.186022432959717
3,0.8310208628721896,0.3814643188137164,0.6185973760573583,0.2808406113537118,"[[15382   702]
 [ 2635  1029]]",0.26549623790756,0.05838296868549862,0.20711326922206139,0.21990130310556902,0.39000693962526023,0.21007647323436798,0.17993046639089225,0.6209243998566822,0.8656012266320694,-0.24467682677538716
4,0.8345148875835527,0.4064656738103887,0.6302262127650794,0.30540393013100436,"[[15361   723]
 [ 2545  1119]]",0.2870272180982679,0.060878302500147766,0.22614891559812017,0.2120994061242833,0.43798177995795373,0.2208314707197139,0.21715030923823983,0.6504065040650406,0.8652993675749158,-0.21489286350987513
5,0.8285902369860239,0.39282511210762333,0.6240600317221053,0.298853711790393,"[[15268   816]
 [ 2569  1095]]",0.2646420824295011,0.06942645153692145,0.19521563089257965,0.2623409357255802,0.39631988676574664,0.23767214571301643,0.15864774105273022,0.6294287780187997,0.8610293251678247,-0.231600547149025
6,0.8313246911079603,0.3258449706537138,0.5951796531636854,0.2197052401746725,"[[15612   472]
 [ 2859   805]]",0.20007171029042667,0.04239636771036028,0.15767534258006638,0.21190585939819861,0.2997179125528914,0.16918967052537845,0.13052824202751293,0.5962710648978128,0.8699805413055015,-0.2737094764076887
7,0.8229187765849706,0.2111436950146627,0.5545075037277003,0.1277292576419214,"[[15783   301]
 [ 3196   468]]",0.12311015118790497,0.02516205067766647,0.0979481005102385,0.2043864818203434,0.17622377622377622,0.09668755595344673,0.07953622027032949,0.5435565154787617,0.8686505598114319,-0.3250940443326702
8,0.8232226048207414,0.25959703075291624,0.5698681811320262,0.16703056768558952,"[[15645   439]
 [ 3052   612]]",0.1428054953000723,0.038629136733011424,0.10417635856706088,0.27050175241394836,0.20812182741116753,0.1422319474835886,0.06588987992757891,0.5661605206073753,0.8650924508302908,-0.29893193022291553
9,0.8209945310917561,0.3099746242436073,0.5876788101549834,0.21670305676855894,"[[15419   665]
 [ 2870   794]]",0.19359430604982206,0.05402054551895147,0.1395737605308706,0.27903995019899563,0.2758374910905203,0.18000884564352057,0.09582864544699973,0.5825622775800712,0.860550242059275,-0.2779879644792038
10,0.8347680777800284,0.4111171268724057,0.6324891684920543,0.31086244541484714,"[[15346   738]
 [ 2525  1139]]",0.33368794326241136,0.055293005671077505,0.2783949375913338,0.1657027375052482,0.48474095102909864,0.20221729490022172,0.2825236561288769,0.6510638297872341,0.8653709829867675,-0.21430715319953342
11,0.8342616973870771,0.3871934094738813,0.6211138113332949,0.28220524017467247,"[[15441   643]
 [ 2630  1034]]",0.2908253630889125,0.05057607090103397,0.24024929218787852,0.1739052961676235,0.43771991555242784,0.18368256798930005,0.2540373475631278,0.6464753808005668,0.8655834564254062,-0.21910807562483947
12,0.8202349605023294,0.2807941653160454,0.5765695233756404,0.18913755458515283,"[[15505   579]
 [ 2971   693]]",0.17063492063492064,0.047066446748350615,0.12356847388657002,0.27583126931591523,0.24011502516175415,0.15794104707435108,0.08217397808740307,0.5685425685425686,0.8613336475023563,-0.29279107895978773
13,0.8340085071906016,0.4083032490974729,0.6311798578749772,0.30867903930131,"[[15339   745]
 [ 2533  1131]]",0.2926561929119474,0.0631944036211863,0.2294617892907611,0.21593393596902233,0.4652827487473157,0.2121746801940891,0.25310806855322654,0.6719035440263061,0.8600905296572806,-0.18818698563097447
14,0.8319829856187968,0.38372956909361067,0.6196095295006891,0.28193231441048033,"[[15397   687]
 [ 2631  1033]]",0.27208480565371024,0.05615320959924341,0.21593159605446682,0.20638127683877772,0.4099722991689751,0.19864864864864865,0.21132365052032645,0.6360424028268551,0.8647594278283485,-0.22871702500149338
15,0.8387684828843427,0.4350603264726757,0.6441127448797741,0.3346069868995633,"[[15338   746]
 [ 2438  1226]]",0.3569611050527081,0.058245572748132024,0.2987155323045761,0.1631706421895226,0.5446109921484654,0.20459566946531155,0.3400153226831539,0.6884769174845511,0.8630934870859563,-0.17461656960140526
16,0.8292991695361556,0.3116193587910966,0.58951038570431,0.2082423580786026,"[[15614   470]
 [ 2901   763]]",0.20958302852962693,0.03879158340190431,0.17079144512772262,0.18508933511484535,0.3104988830975428,0.14907367514002584,0.16142520795751697,0.60424286759327,0.8654637357470318,-0.2612208681537619
17,0.8344642495442577,0.3904531046056312,0.622608047651576,0.2857532751091703,"[[15432   652]
 [ 2617  1047]]",0.2788184438040346,0.054501531934951684,0.2243169118690829,0.1954731946400851,0.417074877536739,0.2017897091722595,0.2152851683644795,0.635806916426513,0.8669573415036531,-0.23115042507714012
18,0.8356795624873405,0.3974001857010213,0.6257777807341153,0.2920305676855895,"[[15433   651]
 [ 2594  1070]]",0.2997097242380261,0.05267184557438795,0.24703787866363816,0.1757428648946891,0.4525179856115108,0.19393139841688653,0.25858658719462424,0.6523947750362845,0.8654072504708098,-0.21301247543452528
19,0.831628519343731,0.40187084007915097,0.62824351331275,0.3048580786026201,"[[15306   778]
 [ 2547  1117]]",0.3017667844522968,0.061532095992434095,0.24023468845986273,0.20390612606392094,0.4498567335243553,0.2156084656084656,0.23424826791588968,0.6487632508833923,0.8622177562359618,-0.2134545053525695
