seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8180575248126393,0.3110258868648131,0.5876671695758839,0.22134279475982532,"[[15344   740]
 [ 2853   811]]",0.1944243301955105,0.05969622041681385,0.13472810977869665,0.3070408953281934,0.26886446886446885,0.19312744671596346,0.07573702214850539,0.5771180304127443,0.857235370304957,-0.28011733989221266
1,0.8184119910877051,0.29437229437229434,0.5812460836069152,0.20414847161572053,"[[15414   670]
 [ 2916   748]]",0.13909378292939936,0.06046979468670493,0.07862398824269443,0.43474117543699226,0.20261888352860097,0.20515137821961138,-0.002532494691010412,0.557780119423955,0.8623158392994498,-0.30453571987549477
2,0.8168422118695564,0.2881322574296398,0.5785963755784316,0.19978165938864628,"[[15399   685]
 [ 2932   732]]",0.15822784810126583,0.05720539517274018,0.10102245292852566,0.36153809749171795,0.22437673130193905,0.1837837837837838,0.04059294751815526,0.5618846694796061,0.8597373402744912,-0.2978526707948851
3,0.8177536965768686,0.2905578553124384,0.5796828183151989,0.20114628820960698,"[[15412   672]
 [ 2927   737]]",0.20136151916875672,0.04994987320870437,0.15141164596005235,0.24806066926244466,0.2768910478834143,0.15204678362573099,0.1248442642576833,0.5682551056968829,0.8588193666332488,-0.2905642609363659
4,0.8161332793194247,0.2724904828691645,0.572681603893967,0.185589519650655,"[[15437   647]
 [ 2984   680]]",0.12089077412513255,0.058218570837519946,0.06267220328761261,0.48157993245422204,0.1800981079187106,0.1890925346446133,-0.008994426725902727,0.5563803464121597,0.8595661682132514,-0.30318582180109166
5,0.8189690095199514,0.32508967340003775,0.5934955362621347,0.23498908296943233,"[[15312   772]
 [ 2803   861]]",0.21908893709327548,0.060475797903662705,0.15861313918961278,0.27603309736226245,0.3021939136588818,0.1928031985784096,0.10939071508047221,0.5788141720896601,0.858085031209516,-0.27927085911985583
6,0.8159813652015394,0.2849271940181031,0.5772248913726951,0.19759825327510916,"[[15390   694]
 [ 2940   724]]",0.13087128002868412,0.06209092517247479,0.06878035485620933,0.4744427131672115,0.18899858956276447,0.20302760463045413,-0.014029015067689665,0.5528863391896737,0.8592487764608763,-0.3063624372712026
7,0.809398420093174,0.29828486204325133,0.5811921907800641,0.2183406113537118,"[[15184   900]
 [ 2864   800]]",0.1652267818574514,0.07312905126694166,0.09209773059050974,0.4425980488443659,0.2202797202797203,0.2170993733213966,0.0031803469583236987,0.546796256299496,0.8523865645256334,-0.3055903082261374
8,0.8124873404901762,0.3079798168566623,0.5856175113405712,0.22489082969432314,"[[15221   863]
 [ 2840   824]]",0.17208966015907448,0.07131079967023908,0.1007788604888354,0.41438166363000273,0.25090645395213923,0.20919037199124726,0.041716081960891965,0.5795372378886479,0.8504298669179131,-0.27089262902926525
9,0.8176017824589832,0.073559670781893,0.5169961617990267,0.03902838427947598,"[[16003    81]
 [ 3521   143]]",0.03131672597864769,0.008029283268390601,0.023287442710257088,0.2563896134565635,0.04490377761938703,0.03538257408226449,0.00952120353712254,0.5142348754448398,0.867930098004487,-0.35369522255964714
10,0.819677942070083,0.34958904109589045,0.6040468558083164,0.26118995633187775,"[[15230   854]
 [ 2707   957]]",0.2347517730496454,0.0678757088846881,0.16687606416495732,0.2891382160948949,0.32789212207239177,0.21951219512195122,0.10837992695044055,0.5932624113475178,0.8573960302457467,-0.26413361889822895
11,0.8257545067854972,0.3013197969543147,0.5851214122581339,0.20251091703056767,"[[15565   519]
 [ 2922   742]]",0.23025150549061282,0.03610044313146234,0.19415106235915047,0.1567870014771049,0.32582688247712877,0.12438698172090949,0.20143990075621926,0.5944031172511512,0.8643426883308715,-0.2699395710797202
12,0.811525217743569,0.3761314113308749,0.6164289364026634,0.30622270742358076,"[[14904  1180]
 [ 2542  1122]]",0.33874458874458874,0.08028982092365693,0.2584547678209318,0.2370217077746294,0.46153846153846156,0.2111746590409151,0.2503638024975465,0.6226551226551227,0.8423656927426956,-0.2197105700875729
13,0.8146141381405712,0.3337579617834395,0.5967231328646876,0.25027292576419213,"[[15170   914]
 [ 2747   917]]",0.18998903909389842,0.07706777967197695,0.11292125942192147,0.4056432941580787,0.26700071581961343,0.2399647110719012,0.027036004747712228,0.5721592985020095,0.8536241255658104,-0.2814648270638008
14,0.8186651812841806,0.3562825813410031,0.6070079069057753,0.2704694323144105,"[[15176   908]
 [ 2673   991]]",0.2646643109540636,0.06797493793592624,0.19668937301813738,0.2568345452051686,0.37950138504155123,0.19954954954954954,0.1799518354920017,0.6123674911660777,0.8531741340583994,-0.24080664289232168
15,0.8199311322665587,0.1764705882352941,0.5435056632265758,0.10398471615720524,"[[15811   273]
 [ 3283   381]]",0.09051254089422028,0.023827734306054008,0.06668480658816628,0.2632534019114642,0.1299072091363312,0.08793636765355722,0.04197084148277397,0.5325336241366776,0.866447020062364,-0.33391339592568636
16,0.8173992303018027,0.17369385884509622,0.5417405713345548,0.10343886462882096,"[[15763   321]
 [ 3285   379]]",0.07681053401609364,0.028799811919595627,0.04801072209649801,0.3749461228008307,0.11392405063291139,0.0973718224903059,0.016552228142605485,0.5438917337234821,0.8613494769013753,-0.3174577431778932
17,0.7984099655661333,0.375725262662694,0.6163860393414922,0.3269650655021834,"[[14569  1515]
 [ 2466  1198]]",0.2265850144092219,0.12279047843506953,0.10379453597415238,0.5419179143652672,0.31280615815255425,0.3360178970917226,-0.023211738939168336,0.5806916426512968,0.8340207400424228,-0.25332909739112597
18,0.8194753899129026,0.2885651566553582,0.5792645040936829,0.19732532751091703,"[[15460   624]
 [ 2941   723]]",0.19811320754716982,0.047139830508474576,0.15097337703869523,0.23794390637610974,0.2762589928057554,0.14907651715039577,0.12718247565535962,0.5761973875181422,0.858933615819209,-0.2827362283010668
19,0.811525217743569,0.36506311838962807,0.6109493798388156,0.2920305676855895,"[[14956  1128]
 [ 2594  1070]]",0.2862190812720848,0.0820427946565788,0.204176286615506,0.28664334429397287,0.3968481375358166,0.2275132275132275,0.1693349100225891,0.6120141342756183,0.8448989242227214,-0.23288478994710304
