seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8268179056106948,0.30825242718446605,0.5878817566943851,0.20796943231441048,"[[15566   518]
 [ 2902   762]]",0.20275162925416365,0.042387848816672555,0.1603637804374911,0.20906292577080285,0.29816849816849816,0.1544149630274032,0.14375353514109496,0.5977552498189718,0.864064523725421,-0.2663092739064492
1,0.8245898318817095,0.28518365662401984,0.5790322355124679,0.18859170305676856,"[[15593   491]
 [ 2973   691]]",0.16859852476290832,0.04153600378675818,0.12706252097615015,0.24636042246020948,0.23914541695382494,0.15544509715318572,0.08370031980063922,0.5655075518089216,0.8682326489556831,-0.30272509714676143
2,0.8257545067854972,0.3498960891743812,0.6045106124071332,0.2527292576419214,"[[15381   703]
 [ 2738   926]]",0.23734177215189872,0.05643634642688121,0.1809054257250175,0.23778513961192618,0.34210526315789475,0.1945945945945946,0.14751066856330014,0.6023206751054853,0.8633459536204449,-0.2610252785149596
3,0.8278306663965971,0.29577464788732394,0.583445440368198,0.19486899563318777,"[[15634   450]
 [ 2950   714]]",0.2106771766391974,0.03396827268974465,0.17670890394945277,0.16123375693380498,0.3025676613462873,0.1250562303193882,0.17751143102689912,0.5854532425653888,0.8677242436751784,-0.28227100110978964
4,0.8243366416852339,0.3121158040848701,0.5889929059663839,0.21479257641921398,"[[15492   592]
 [ 2877   787]]",0.20395899611170024,0.047402328742833504,0.15655666736886673,0.23241107108054765,0.29292221443587946,0.16495306213679034,0.12796915229908912,0.5871332626369742,0.863999054317631,-0.27686579168065684
5,0.8276787522787118,0.29030239833159543,0.5814554104054153,0.18995633187772926,"[[15649   435]
 [ 2968   696]]",0.16992046276211134,0.038923566128842305,0.13099689663326902,0.2290693274731443,0.251238499646143,0.1514882274544647,0.09975027219167829,0.5759219088937093,0.8686844894594277,-0.29276258056571836
6,0.8268685436499899,0.34564593301435403,0.6027708718637633,0.24645196506550218,"[[15426   658]
 [ 2761   903]]",0.22588741484403013,0.054897104782121585,0.17099031006190854,0.24302861148783667,0.3307475317348378,0.19323241317898487,0.1375151185558529,0.6020078881319469,0.8638481042514299,-0.26184021611948294
7,0.8237796232529876,0.3003618817852835,0.5844359077181045,0.2038755458515284,"[[15521   563]
 [ 2917   747]]",0.2019438444924406,0.044136711844431346,0.15780713264800925,0.21855933244889533,0.28321678321678323,0.153088630259624,0.13012815295715924,0.5748740100791937,0.8645256334708309,-0.2896516233916372
8,0.8271217338464655,0.3383720930232558,0.599765023202423,0.23826419213973798,"[[15461   623]
 [ 2791   873]]",0.2454808387563268,0.04810976327876575,0.19737107547756105,0.19598174555090733,0.36258158085569253,0.16323851203501094,0.1993430688206816,0.6174981923355025,0.8612648686844895,-0.24376667634898697
9,0.8254000405104315,0.29431027425296763,0.5824801546792006,0.19623362445414846,"[[15581   503]
 [ 2945   719]]",0.19644128113879003,0.03955602786633605,0.15688525327245398,0.20136311287029765,0.2851033499643621,0.14108801415302963,0.14401533581133247,0.5889679715302492,0.864623922541032,-0.2756559510107829
10,0.8239821754101682,0.2903225806451613,0.5807667157358366,0.19405021834061134,"[[15561   523]
 [ 2953   711]]",0.1946808510638298,0.04046550094517958,0.1542153501186502,0.2078555786255126,0.2654364797728886,0.14944567627494457,0.11599080349794402,0.5709219858156028,0.8661389413988658,-0.295216955583263
11,0.8243366416852339,0.3416208009109888,0.6009004038839759,0.24563318777292575,"[[15379   705]
 [ 2764   900]]",0.22210414452709884,0.057784342688330874,0.16431980183876796,0.2601677821517672,0.32441942294159043,0.19572001783325904,0.1286994051083314,0.6011335458731846,0.8615657311669128,-0.26043218529372825
12,0.823070690702856,0.30674603174603177,0.5867404708794116,0.21097161572052403,"[[15481   603]
 [ 2891   773]]",0.21176046176046176,0.046477379830348726,0.16528308193011304,0.2194809146332652,0.295470884255931,0.1592608886933568,0.13620999556257418,0.5829725829725829,0.8622761545711592,-0.27930357159857633
13,0.8256025926676119,0.2974296205630355,0.5836582627341826,0.19896288209606988,"[[15575   509]
 [ 2935   729]]",0.17975886006576544,0.04385397683851625,0.1359048832272492,0.24396002968906297,0.2677165354330709,0.15659461843846492,0.11112191699460597,0.5831202046035806,0.8646170125213097,-0.28149680791772913
