seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
1,0.8168422118695564,0.23996637949148983,0.5616308254480571,0.1558406113537118,"[[15560   524]
 [ 3093   571]]",0.09237794169301018,0.04922785633986155,0.04315008535314863,0.532896224333026,0.13094417643004824,0.17216448260280162,-0.04122030617275338,0.5314365999297506,0.8649192355481924,-0.3334826356184418
2,0.8144115859833907,0.06814136791253496,0.5140893089663546,0.03657205240174673,"[[15949   135]
 [ 3530   134]]",0.007032348804500703,0.014730241362991009,-0.007697892558490306,2.0946403218173213,0.009695290858725761,0.05405405405405406,-0.0443587631953283,0.49507735583684953,0.8681377188831045,-0.373060363046255
4,0.8046384443994329,0.09563994374120956,0.5154658838043503,0.055676855895196505,"[[15686   398]
 [ 3460   204]]",0.0512548603746907,0.02701105266268692,0.02424380771200378,0.5269949516051124,0.0672740014015417,0.048278945015645953,0.01899505638589575,0.5121951219512195,0.853537443111295,-0.34134232116007546
5,0.8132975491188981,0.31658943466172385,0.5892761826828365,0.23307860262008734,"[[15207   877]
 [ 2810   854]]",0.20896601590744757,0.06789541867860087,0.14107059722884668,0.3249112942301211,0.283793347487615,0.20124389160373168,0.0825494558838833,0.5701373825018077,0.8529030738428924,-0.28276569134108476
7,0.8160320032408345,0.30892143808255657,0.5865290738904594,0.22161572052401746,"[[15303   781]
 [ 2852   812]]",0.2591792656587473,0.05144372421921037,0.20773554143953696,0.19848703594578665,0.36433566433566433,0.13025962399283797,0.23407604034282636,0.6011519078473722,0.8512080141426046,-0.25005610629523245
8,0.8154243467692931,0.24393279402613563,0.5625517886988507,0.16048034934497818,"[[15515   569]
 [ 3076   588]]",0.1561822125813449,0.04269226239547756,0.11348995018586734,0.2733490689488216,0.23422770123277736,0.11597374179431072,0.11825395943846664,0.5788141720896601,0.8539630196678837,-0.27514884757822355
9,0.8143609479440956,0.0038043478260869562,0.5006754590257046,0.001910480349344978,"[[16075     9]
 [ 3657     7]]",0.0007117437722419929,0.0008265438658637384,-0.00011480009362174542,1.1612941315385523,0.0014255167498218105,0.0022114108801415304,-0.00078589413031972,0.501423487544484,0.8662770102727595,-0.36485352272827554
10,0.8125886165687665,0.05224071702944942,0.5095981495619614,0.027838427947598252,"[[15945   139]
 [ 3562   102]]",0.026595744680851064,0.009806238185255198,0.016789506495595866,0.3687145557655955,0.0383250532292406,0.021286031042128603,0.017039022187111993,0.5120567375886524,0.8626535916824196,-0.3505968540937672
11,0.816639659712376,0.24326018808777428,0.5626656152361674,0.15884279475982532,"[[15545   539]
 [ 3082   582]]",0.18420120439249027,0.0355096011816839,0.14869160321080638,0.19277616179979545,0.2716396903589022,0.08738296923762817,0.184256721121274,0.5859015232022671,0.8551255539143279,-0.2692240307120608
12,0.7319222199716428,0.3177835051546392,0.5792572414583262,0.3365174672489083,"[[13221  2863]
 [ 2431  1233]]",0.3051948051948052,0.19144674835061262,0.11374805684419256,0.6272936009786031,0.38102084831056793,0.30928288605367354,0.07173796225689438,0.5753968253968254,0.7574811498586239,-0.18208432446179856
13,0.8163864695159003,0.15161441272812354,0.5353231506208128,0.08842794759825327,"[[15798   286]
 [ 3340   324]]",0.0803799780781878,0.02292634177884898,0.05745363629933881,0.2852245338577712,0.11954187544738726,0.06925452139391267,0.05028735405347459,0.5312385823894775,0.8622655928516842,-0.33102701046220673
14,0.8155256228478833,0.06229086229086229,0.5134033293006476,0.03302401746724891,"[[15984   100]
 [ 3543   121]]",0.010954063604240283,0.011230641919848681,-0.00027657831560839834,1.025248923650702,0.018698060941828253,0.04234234234234234,-0.023644281400514087,0.4978798586572438,0.8686605981794538,-0.37078073952221
15,0.8062588616568767,0.11598890942698704,0.5214133373479191,0.06850436681222707,"[[15671   413]
 [ 3413   251]]",0.045438022537259176,0.03171147849620521,0.013726544041053966,0.6979062187444843,0.059957173447537475,0.07379584622182943,-0.013838672774291953,0.5063613231552163,0.8547979055127375,-0.3484365823575212
16,0.8074235365606643,0.09171244327680918,0.5159111444392919,0.05240174672489083,"[[15753   331]
 [ 3472   192]]",0.03328456474030724,0.02539085459033737,0.007893710149969872,0.7628417192305755,0.04318689501116903,0.05773373545885394,-0.014546840447684915,0.5179224579370885,0.8539438109791936,-0.3360213530421051
17,0.8240328134494632,0.4062873739962412,0.6311675724824584,0.32450873362445415,"[[15084  1000]
 [ 2475  1189]]",0.3061959654178674,0.07889465001178411,0.2273013154060833,0.25766064521495613,0.43177046885934217,0.25592841163310964,0.17584205722623253,0.6235590778097982,0.8568230025925053,-0.23326392478270708
18,0.8144115859833907,0.004887320119467825,0.500917297995567,0.0024563318777292577,"[[16074    10]
 [ 3655     9]]",0.006894049346879536,0.0,0.006894049346879536,0.0,0.006474820143884892,0.0,0.006474820143884892,0.49528301886792453,0.8661723163841808,-0.37088929751625627
20,0.8233238808993316,0.3373219373219374,0.5990141549441849,0.2423580786026201,"[[15371   713]
 [ 2776   888]]",0.2337192474674385,0.05622939236928874,0.17748985509814974,0.2405852020258732,0.32992700729927005,0.1900610287707062,0.13986597852856386,0.597684515195369,0.8600447479981159,-0.2623602328027469
21,0.8169434879481466,0.03881946290880085,0.5092157073290987,0.019923580786026202,"[[16060    24]
 [ 3591    73]]",0.006405693950177936,0.004664068957373952,0.0017416249928039838,0.7281129872344893,0.01056338028169014,0.025846702317290554,-0.015283322035600413,0.498932384341637,0.8697012634313378,-0.3707688790897008
22,0.8193741138343124,0.14275414563806776,0.534312117116579,0.0810589519650655,"[[15884   200]
 [ 3367   297]]",0.05009009009009009,0.021092323101396335,0.028997766988693757,0.4210877453696031,0.07827926657263752,0.08281389136242208,-0.004534624789784558,0.518918918918919,0.8684970246862664,-0.3495781057673475
23,0.8210451691310513,0.32788132369722334,0.5948754709174217,0.23526200873362446,"[[15352   732]
 [ 2802   862]]",0.2631578947368421,0.05137549964730778,0.2117823950895343,0.19522689865976958,0.388328530259366,0.14191564147627417,0.2464128887830918,0.6235380116959064,0.8528097813308253,-0.2292717696349189
