seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8144115859833907,0.0,0.4999689132056702,0.0,"[[16083     1]
 [ 3664     0]]",0.0003620564808110065,0.0,0.0003620564808110065,0.0,0.0,0.0,0.0,0.5054308472121651,0.8646532438478747,-0.35922239663570954
1,0.8190702855985417,0.24921201933179238,0.5653169183294254,0.16184497816593887,"[[15582   502]
 [ 3071   593]]",0.13031260976466455,0.04283770191112952,0.08747490785353504,0.32873028932880255,0.17711922811853895,0.1518300948938093,0.025289133224729643,0.5405690200210748,0.8659842612863144,-0.3254152412652397
2,0.8050435487137938,0.2278379462494986,0.5540714741059221,0.15502183406113537,"[[15330   754]
 [ 3096   568]]",0.12236286919831224,0.057619498343587316,0.06474337085472492,0.47089038301483427,0.14750692520775624,0.15990990990990991,-0.012402984702153674,0.519690576652602,0.8530525319451018,-0.3333619552924998
4,0.8116771318614543,0.11049988041138485,0.5226321025858782,0.06304585152838428,"[[15798   286]
 [ 3433   231]]",0.0784729586426299,0.017436018677226786,0.06103693996540312,0.22219142719763324,0.10161177295024527,0.03844434510505141,0.06316742784519386,0.5196182396606575,0.8605118505821857,-0.34089361092152826
5,0.8305651205185335,0.36436170212765956,0.6109412687647493,0.261735807860262,"[[15443   641]
 [ 2705   959]]",0.2693420101229212,0.050347426687080435,0.21899458343584077,0.186927492908006,0.39631988676574664,0.17725455353176367,0.21906533323398297,0.6247288503253796,0.864091390884466,-0.23936254055908635
6,0.8143103099048005,0.0021768707482993197,0.5003282439680758,0.001091703056768559,"[[16077     7]
 [ 3660     4]]",0.0014342058085335247,0.00041276018633174124,0.0010214456222017833,0.28779703991980654,0.0021156558533145277,0.0004452359750667854,0.0016704198782477424,0.4922911437791323,0.867268117223893,-0.37497697344476066
7,0.8244885558031193,0.3095617529880478,0.5880324054717102,0.21206331877729256,"[[15505   579]
 [ 2887   777]]",0.2591792656587473,0.037477902180318205,0.22170136347842911,0.14460223924572774,0.37902097902097903,0.10519247985675918,0.27382849916421986,0.6162706983441325,0.858573954036535,-0.24230325569240252
8,0.8214502734454122,0.2681610626816106,0.5723629303145386,0.17631004366812228,"[[15576   508]
 [ 3018   646]]",0.18944323933477947,0.03709810387469085,0.15234513546008863,0.19582701396449406,0.28426395939086296,0.1111597374179431,0.17310422197291986,0.5954446854663774,0.8582616888470145,-0.26281700338063707
10,0.8104111808790764,0.20644340822382365,0.5488312111958071,0.13291484716157206,"[[15517   567]
 [ 3177   487]]",0.14716312056737588,0.03774810964083176,0.10941501092654413,0.25650522695697725,0.17814052519517387,0.10465631929046564,0.07348420590470824,0.5312056737588653,0.8569234404536862,-0.3257177666948209
11,0.8184626291270002,0.3190883190883191,0.5909717704757447,0.2292576419213974,"[[15323   761]
 [ 2824   840]]",0.27701027275947576,0.04838995568685377,0.22862031707262198,0.1746865024347675,0.4060520760028149,0.11725367810967455,0.2887983978931403,0.628409493446688,0.8501624815361891,-0.22175298808950117
12,0.8126392546080615,0.023231256599788804,0.5035174232658455,0.012008733624454149,"[[16004    80]
 [ 3620    44]]",0.012265512265512266,0.005301602262016965,0.006963910003495301,0.43223651383267725,0.013659237958303379,0.010998680158380994,0.0026605577999223844,0.49963924963924966,0.863748821866164,-0.3641095722269143
13,0.8225136722706097,0.22301041897583684,0.5579469724448828,0.13728165938864628,"[[15740   344]
 [ 3161   503]]",0.11728169528681037,0.030921168655575804,0.08636052663123457,0.26364871841218374,0.180386542591267,0.11071901191001324,0.06966753068125375,0.556448666423091,0.8653224384221974,-0.3088737719991064
14,0.8169941259874418,0.06324520476931052,0.514410222423977,0.03329694323144105,"[[16012    72]
 [ 3542   122]]",0.013074204946996466,0.009280056744296016,0.003794148202700451,0.709798934766425,0.022853185595567867,0.04009009009009009,-0.017236904494522223,0.5,0.8700200969381724,-0.3700200969381724
15,0.806815880089123,0.218077474892396,0.5513659727478771,0.14519650655021835,"[[15401   683]
 [ 3132   532]]",0.07960741548527808,0.05859857621933282,0.02100883926594526,0.7360944437414821,0.11206281227694503,0.1657092355280601,-0.05364642325111507,0.5252635405307161,0.8523857151261988,-0.32712217459548265
16,0.8125886165687665,0.0975371860521824,0.5199250061630588,0.05458515283842795,"[[15847   237]
 [ 3464   200]]",0.044989027066569126,0.01845538967908781,0.026533637387481317,0.41021979985874857,0.058823529411764705,0.052132701421800945,0.00669082798996376,0.5215801024140454,0.8593511226049136,-0.33777102019086824
17,0.83547701033016,0.3921421889616463,0.6233351596259377,0.28602620087336245,"[[15451   633]
 [ 2616  1048]]",0.28746397694524495,0.052026867782229556,0.23543710916301538,0.18098569544294393,0.417074877536739,0.20223713646532437,0.21483774107141462,0.6271613832853026,0.8695498468065048,-0.24238846352120225
19,0.8145635001012761,0.00326619488296135,0.5006944301152574,0.0016375545851528383,"[[16080     4]
 [ 3658     6]]",0.0035335689045936395,0.0,0.0035335689045936395,0.0,0.004297994269340974,0.0,0.004297994269340974,0.5074204946996467,0.8659416006620168,-0.3585211059623701
20,0.821348997366822,0.302491103202847,0.5848405111700689,0.2087882096069869,"[[15455   629]
 [ 2899   765]]",0.2015195369030391,0.049281676872350445,0.15223786003068865,0.24455036781898856,0.291970802919708,0.15911072362685266,0.13286007929285534,0.5922575976845152,0.8586316533207725,-0.26637405563625727
21,0.8169434879481466,0.07757080887981628,0.5175404182626364,0.04148471615720524,"[[15981   103]
 [ 3512   152]]",0.014234875444839857,0.012693352225764553,0.0015415232190753043,0.8917079938599599,0.01971830985915493,0.05525846702317291,-0.035540157164017976,0.500355871886121,0.869465108041091,-0.36910923615497004
22,0.821348997366822,0.20790300853165694,0.553016932664646,0.1263646288209607,"[[15757   327]
 [ 3201   463]]",0.11027027027027027,0.028515878159429683,0.08175439211084058,0.25859987546541624,0.15867418899858957,0.10596616206589493,0.052708026932694635,0.5409009009009009,0.8672008484062923,-0.3262999475053914
