seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8041827020457768,0.12885785086731247,0.523826941852219,0.07805676855895197,"[[15595   489]
 [ 3378   286]]",0.06299782766111513,0.035382079359472504,0.027615748301642623,0.5616396735107073,0.08131868131868132,0.07612005219660722,0.005198629122074097,0.5231716147719044,0.8498763687742847,-0.3267047540023803
1,0.8217034636418877,0.2827459767773477,0.57757641649897,0.189410480349345,"[[15533   551]
 [ 2970   694]]",0.18229715489989462,0.042956038104254184,0.13934111679564043,0.2356374575776718,0.253618194348725,0.1473113420695888,0.10630685227913622,0.5665612925886898,0.864682563161943,-0.2981212705732532
2,0.8132975491188981,0.1873484681507604,0.5440698410310933,0.11599344978165939,"[[15636   448]
 [ 3239   425]]",0.07454289732770746,0.03910317084713677,0.035439726480570685,0.5245727258927215,0.09833795013850416,0.12747747747747748,-0.02913952733897332,0.5175808720112518,0.8630501656412684,-0.34546929363001655
3,0.8072209844034839,0.27361190612478536,0.571109243339281,0.1956877729257642,"[[15224   860]
 [ 2947   717]]",0.20816911501254032,0.05873680485935012,0.1494323101531902,0.2821590746341587,0.29493407356002777,0.1313540260908682,0.16358004746915958,0.5800788247939807,0.8446069469835467,-0.264528122189566
4,0.8092465059752887,0.06964682637688319,0.5116560885590823,0.0384825327510917,"[[15840   244]
 [ 3523   141]]",0.05903145987981619,0.012884922276730304,0.04614653760308588,0.21827212647227565,0.06587245970567625,0.02101028162717926,0.04486217807849699,0.503004595263344,0.8604527454341273,-0.35744815017078335
5,0.8217541016811829,0.3689494442452491,0.6129084926950106,0.2808406113537118,"[[15199   885]
 [ 2635  1029]]",0.2447577729573391,0.07284183252855965,0.17191594042877945,0.29760784161594683,0.35668789808917195,0.23322967569968903,0.12345822238948292,0.6088214027476501,0.856436226592863,-0.24761482384521294
6,0.8024610087097428,0.21080315597815089,0.5475333714700877,0.1421943231441048,"[[15326   758]
 [ 3143   521]]",0.17246324847615632,0.0470546612418185,0.12540858723433781,0.2728387738117085,0.23342736248236953,0.08459483526268922,0.14883252721968032,0.5564718537110075,0.8429152662303202,-0.2864434125193127
7,0.8083856593072716,0.21721141911460487,0.5515920307577359,0.14328602620087336,"[[15439   645]
 [ 3139   525]]",0.15226781857451405,0.044018856806128465,0.10824896176838558,0.2890883787409571,0.2062937062937063,0.10295434198746643,0.10333936430623987,0.5453563714902808,0.8514437242192103,-0.3060873527289295
8,0.8208426169738707,0.23552290406222992,0.561346903918185,0.14874454148471616,"[[15665   419]
 [ 3119   545]]",0.15907447577729572,0.030856200683076197,0.1282182750942195,0.19397329793042903,0.24655547498187091,0.08971553610503283,0.1568399388768381,0.5882140274765003,0.8587327758803439,-0.2705187484038436
9,0.8084869353858618,0.08823529411764705,0.5156155823303205,0.04994541484716157,"[[15783   301]
 [ 3481   183]]",0.03879003558718861,0.022139567835635848,0.016650467751552763,0.5707539964966672,0.05203136136849608,0.048651039363113664,0.003380322005382415,0.5138790035587188,0.8573621442909435,-0.34348314073222463
10,0.8142090338262102,0.1241346383385056,0.5272423488475895,0.07096069868995633,"[[15819   265]
 [ 3404   260]]",0.11312056737588652,0.012169187145557656,0.10095138023032886,0.10757714028361313,0.14762242725337119,0.023059866962305987,0.1245625602910652,0.5347517730496454,0.8607632325141777,-0.32601145946453236
11,0.8135507393153737,0.0872583044124938,0.5179866291489332,0.048034934497816595,"[[15890   194]
 [ 3488   176]]",0.020191285866099893,0.018493353028064992,0.0016979328380349011,0.9159076420741662,0.029556650246305417,0.05974141774409273,-0.030184767497787313,0.5061990789939781,0.8648153618906942,-0.3586162828967161
