seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8215009114847073,0.35070915454043106,0.6046390999653565,0.259825327510917,"[[15271   813]
 [ 2712   952]]",0.23678493845039827,0.06540680560461556,0.1713781328457827,0.276228741712459,0.34725274725274724,0.20791648542844715,0.1393362618243001,0.612237509051412,0.8555280819498411,-0.24329057289842904
1,0.8295523597326312,0.36538461538461536,0.6113732937558168,0.2644650655021834,"[[15413   671]
 [ 2695   969]]",0.23779416930101863,0.05697887698952725,0.18081529231149138,0.23961427295300453,0.3556168159889731,0.20469950293718933,0.15091731305178377,0.615033368458026,0.8656884208035027,-0.2506550523454767
2,0.8441361150496253,0.47777400746521886,0.6665863930521964,0.38427947598253276,"[[15262   822]
 [ 2256  1408]]",0.48347398030942335,0.05057974443918599,0.43289423587023734,0.10461730413457815,0.6821329639889196,0.19054054054054054,0.4915924234483791,0.7014767932489452,0.8681377188831045,-0.16666092563415935
3,0.8307676726757139,0.4032142857142857,0.6289795508623396,0.30813318777292575,"[[15277   807]
 [ 2535  1129]]",0.3206735936940165,0.06139057616323642,0.2592830175307801,0.19144256767775736,0.4621790423317141,0.20827710301394511,0.25390193931776894,0.6402723038337513,0.8621218375891962,-0.22184953375544492
4,0.835021267976504,0.4221355090457609,0.6380187829397844,0.3247816593886463,"[[15300   784]
 [ 2474  1190]]",0.30187345351714384,0.06619776582540339,0.23567568769174047,0.21928978866518292,0.46320953048353186,0.2364774251229325,0.22673210536059937,0.6610109579356663,0.8641172646137478,-0.2031063066780815
5,0.8309195867935993,0.40064620355411956,0.6277029221043668,0.30458515283842796,"[[15293   791]
 [ 2548  1116]]",0.30874909616775126,0.062006830761983274,0.246742265405768,0.2008324284398662,0.45364472753007784,0.21101732563305198,0.24262740189702586,0.6438900939985539,0.8613826404428218,-0.21749254644426785
6,0.8288434271824995,0.3656156156156157,0.6114649590740318,0.26582969432314413,"[[15394   690]
 [ 2690   974]]",0.21369666547149516,0.06297541128604281,0.15072125418545235,0.2946953390549889,0.3251057827926657,0.2284060552092609,0.09669972758340481,0.6084618142703478,0.8650863848104251,-0.25662457054007726
7,0.8236783471743974,0.3334609494640123,0.5974403690124662,0.23771834061135372,"[[15395   689]
 [ 2793   871]]",0.21814254859611232,0.05621685327047731,0.161925695325635,0.25770696103199003,0.31888111888111886,0.18576544315129812,0.13311567572982075,0.5953923686105111,0.8610489098408957,-0.2656565412303845
8,0.832084261697387,0.34075546719681904,0.6011255116424796,0.23389737991266377,"[[15575   509]
 [ 2807   857]]",0.21402747650036152,0.045577670474620184,0.16844980602574133,0.21295242657567473,0.3328498912255257,0.17417943107221007,0.15867046015331565,0.6193058568329718,0.8667412554469438,-0.247435398613972
9,0.8258051448247924,0.34550989345509897,0.6026449296216696,0.24781659388646288,"[[15400   684]
 [ 2756   908]]",0.21423487544483985,0.05844845908607864,0.15578641635876123,0.27282420271076574,0.32002851033499646,0.20300751879699247,0.117020991538004,0.6060498220640569,0.8622623686385642,-0.2562125465745073
