seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8229187765849706,0.27882037533512066,0.5764257299830909,0.18449781659388648,"[[15575   509]
 [ 2988   676]]",0.16944243301955106,0.042211232779936415,0.12723120023961465,0.24911842935509482,0.24102564102564103,0.1509351892127012,0.09009045181293984,0.5745836350470673,0.863299187566231,-0.2887155525191637
1,0.8205894267773952,0.21249166481440324,0.554131272066194,0.1304585152838428,"[[15727   357]
 [ 3186   478]]",0.09905163329820864,0.032719957398970476,0.06633167589923816,0.3303323358683296,0.14541695382494832,0.12065070040668775,0.024766253418260567,0.5395152792413066,0.8679368084728715,-0.32842152923156487
2,0.8160320032408345,0.18377892608402607,0.54406251052064,0.11162663755458516,"[[15706   378]
 [ 3255   409]]",0.07735583684950774,0.03354235683861808,0.04381348001088966,0.43361119476831733,0.11011080332409973,0.11261261261261261,-0.002501809288512888,0.5267229254571026,0.8647065783246569,-0.3379836528675543
3,0.8173992303018027,0.17179604960955444,0.5412136908957232,0.10207423580786026,"[[15768   316]
 [ 3290   374]]",0.0773916159082766,0.027953057734269034,0.049438558174007566,0.361189741371967,0.11450381679389313,0.09401709401709402,0.02048672277679911,0.5245431744894303,0.8656012266320694,-0.34105805214263907
4,0.8109175612720275,0.375794048813106,0.6162666470462387,0.3067685589519651,"[[14890  1194]
 [ 2540  1124]]",0.22481442205726404,0.09941485903422188,0.12539956302304217,0.44220854749656247,0.3132445690259285,0.302637460885114,0.010607108140814503,0.5867797808412867,0.8483952952302145,-0.26161551438892783
5,0.8242860036459388,0.32385035074045204,0.5935983670337714,0.22680131004366813,"[[15447   637]
 [ 2833   831]]",0.21800433839479394,0.050936285478742196,0.16706805291605176,0.23364803587761346,0.31139419674451524,0.17370057752110174,0.1376936192234135,0.589298626174982,0.8625603580261453,-0.2732617318511633
6,0.8131456350010128,0.28321678321678323,0.5760109113290595,0.19896288209606988,"[[15329   755]
 [ 2935   729]]",0.17138759411975618,0.05931953534996167,0.1120680587697945,0.3461133558390023,0.24259520451339917,0.1714158504007124,0.07117935411268678,0.5668698458228756,0.8536470310749454,-0.28677718525206986
7,0.8148166902977517,0.29659549913444894,0.5814625712281265,0.21042576419213974,"[[15320   764]
 [ 2893   771]]",0.16486681065514758,0.06346493812610489,0.10140187252904269,0.38494672077362313,0.23216783216783216,0.19650850492390332,0.03565932724392884,0.5593952483801296,0.8566293459045374,-0.2972340975244079
8,0.8070184322463034,0.3021424647500458,0.5823655136407224,0.22516375545851527,"[[15112   972]
 [ 2839   825]]",0.16919739696312364,0.07825933341184783,0.0909380635512758,0.4625327269597673,0.25308194343727336,0.20831509846827134,0.04476684496900202,0.5845986984815619,0.8432457896596396,-0.2586470911780777
9,0.8173485922625076,0.2582767838782644,0.5679481303940339,0.17139737991266377,"[[15513   571]
 [ 3036   628]]",0.15765124555160143,0.044633368756641874,0.11301787679495956,0.2831145964021753,0.22594440484675696,0.1375497567448032,0.08839464810195377,0.5686832740213523,0.8586019600897391,-0.2899186860683868
10,0.811120113429208,0.2962264150943396,0.5806685004707817,0.2142467248908297,"[[15233   851]
 [ 2879   785]]",0.18652482269503545,0.0655718336483932,0.12095298904664226,0.3515448115750358,0.24911284599006386,0.19246119733924613,0.05665164865081773,0.5627659574468085,0.8524929111531191,-0.28972695370631063
11,0.8096516102896496,0.37672027856076934,0.61675399024119,0.31004366812227074,"[[14853  1231]
 [ 2528  1136]]",0.29543039319872477,0.09057607090103398,0.2048543222976908,0.3065902256038596,0.4004222378606615,0.25278644672313866,0.14763579113752284,0.6043216436415161,0.8438995568685377,-0.2395779132270216
12,0.8137026534332591,0.250865404194665,0.5644453681490951,0.16812227074235808,"[[15453   631]
 [ 3048   616]]",0.12373737373737374,0.053251649387370405,0.07048572435000333,0.4303602685183404,0.1732566498921639,0.16498020237571492,0.008276447516448987,0.5483405483405484,0.8570334590009425,-0.30869291066039417
13,0.8190196475592465,0.298114689709348,0.5827782621043018,0.20715065502183405,"[[15415   669]
 [ 2905   759]]",0.1709901351845086,0.05643407207101287,0.11455606311349573,0.3300428531161586,0.24767358625626343,0.18217909131010146,0.06549449494616197,0.5714285714285714,0.8588560343307272,-0.2874274629021558
14,0.820488150698805,0.23975981128029167,0.5626045615866048,0.15256550218340612,"[[15644   440]
 [ 3105   559]]",0.15441696113074205,0.033219056626078734,0.1211979045046633,0.21512569851671126,0.2146814404432133,0.11216216216216217,0.10251927828105113,0.554416961130742,0.8649958623950822,-0.3105789012643402
15,0.8026129228276281,0.380680012710518,0.6189662432708629,0.3269650655021834,"[[14652  1432]
 [ 2466  1198]]",0.2846237731733915,0.10866623521797965,0.17595753795541186,0.3817890333137446,0.396859386152748,0.2836942112240389,0.11316517492870914,0.6103235187204653,0.8337353650644231,-0.22341184634395783
16,0.8108162851934373,0.29349470499243574,0.5795335949149064,0.21179039301310043,"[[15236   848]
 [ 2888   776]]",0.2260424286759327,0.059127777124720816,0.16691465155121188,0.26157822436729244,0.31645569620253167,0.15122791900043084,0.16522777720210083,0.5936356986100951,0.8457152932878805,-0.2520795946777854
17,0.8226655863884951,0.20155038759689922,0.5516122914741277,0.12063318777292577,"[[15804   280]
 [ 3222   442]]",0.11527377521613832,0.023686071176054677,0.09158770404008365,0.20547666745227433,0.16724982505248426,0.09082774049217002,0.07642208456031424,0.5421469740634006,0.868548197030403,-0.32640122296700236
18,0.8181588008912295,0.2510948905109489,0.5657057408213865,0.16430131004366813,"[[15555   529]
 [ 3062   602]]",0.13352685050798258,0.04490348399246704,0.08862336651551553,0.3362880485957586,0.19136690647482013,0.14775725593667546,0.04360965053814467,0.5551523947750363,0.8608168549905838,-0.3056644602155475
19,0.817956248734049,0.3314115677887298,0.5960350830085284,0.2431768558951965,"[[15262   822]
 [ 2773   891]]",0.22720848056537102,0.06324624660125311,0.1639622339641179,0.2783621739992944,0.32879656160458454,0.19047619047619047,0.13832037112839407,0.603886925795053,0.8537652204752335,-0.24987829468018052
