seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8203868746202148,0.35096065873741994,0.6046928231044658,0.261735807860262,"[[15242   842]
 [ 2705   959]]",0.2266473569876901,0.06917461438831979,0.1574727425993703,0.30520812290820964,0.33406593406593404,0.21879077859939103,0.11527515546654302,0.6093410572049239,0.8547038737784057,-0.2453628165734818
1,0.8243366416852339,0.3172603818146034,0.5909950516339436,0.21997816593886463,"[[15473   611]
 [ 2858   806]]",0.18580962416578856,0.05254126974735223,0.13326835441843632,0.2827693666743134,0.2708476912474156,0.18662449164030728,0.0842231996071083,0.5806111696522656,0.8653925803206911,-0.28478141066842555
2,0.8199311322665587,0.30329153605015674,0.5849184657187321,0.21124454148471616,"[[15418   666]
 [ 2890   774]]",0.17721518987341772,0.05537150970184572,0.121843680171572,0.3124535190318437,0.25346260387811637,0.1837837837837838,0.06967882009433257,0.5724331926863573,0.8615712257453857,-0.2891380330590284
3,0.8211464452096415,0.3079937304075235,0.5869290618358421,0.21451965065502182,"[[15430   654]
 [ 2878   786]]",0.1830884987459692,0.05478563425134163,0.12830286449462758,0.2992303428483258,0.2609299097848716,0.18443544759334232,0.0764944621915293,0.5700465782873522,0.8624756737630477,-0.2924290954756955
4,0.8250455742353656,0.2964772958664223,0.5832109319087889,0.19868995633187772,"[[15565   519]
 [ 2936   728]]",0.14987628137150938,0.04864353685205981,0.10123274451944957,0.3245579381001821,0.2214435879467414,0.18417523468931604,0.03726835325742536,0.5691056910569106,0.8678408889414267,-0.2987351978845162
5,0.8168422118695564,0.3462859208386047,0.6024113714136156,0.2614628820960699,"[[15173   911]
 [ 2706   958]]",0.2143890093998554,0.07513838181604052,0.13925062758381487,0.35047683659893436,0.3064401981599434,0.23322967569968903,0.07321052246025436,0.5878524945770065,0.8541396773053822,-0.2662871827283757
6,0.8252987644318412,0.29563086974275216,0.5829448615293725,0.19759825327510916,"[[15574   510]
 [ 2940   724]]",0.17712441735389028,0.0436346482693555,0.13348976908453478,0.24635027130209006,0.25881523272214385,0.1589492430988424,0.09986598962330145,0.577626389386877,0.8660298366648977,-0.2884034472780207
7,0.8173992303018027,0.33517699115044247,0.5975898978506942,0.248089519650655,"[[15233   851]
 [ 2755   909]]",0.20914326853851692,0.06947554507955216,0.13966772345896478,0.3321911604664301,0.2923076923076923,0.2197851387645479,0.07252255354314444,0.5770338372930166,0.8567472009428403,-0.2797133636498237
8,0.8198298561879684,0.32202743902439024,0.5923379943614799,0.23062227074235808,"[[15345   739]
 [ 2819   845]]",0.1789587852494577,0.06412672241196561,0.1148320628374921,0.3583323519020139,0.25815808556925307,0.21400437636761488,0.04415370920163819,0.5798987707881417,0.8589094335178424,-0.27901066272970076
9,0.823931537370873,0.2965810236698361,0.5830539028723655,0.20005458515283842,"[[15538   546]
 [ 2931   733]]",0.1693950177935943,0.04740819459204156,0.12198682320155274,0.27986770336898487,0.25445473984319317,0.16629809818664307,0.0881566416565501,0.5854092526690391,0.8635021844373598,-0.27809293176832073
10,0.8202855985416244,0.3207655502392345,0.5918801428960838,0.2287117903930131,"[[15361   723]
 [ 2826   838]]",0.199645390070922,0.058955576559546315,0.1406898135113757,0.2953014669590064,0.2789212207239177,0.1973392461197339,0.08158197460418376,0.5794326241134752,0.8604087901701323,-0.2809761660566571
11,0.8241340895280534,0.35337925898342953,0.6059394850072055,0.2590065502183406,"[[15326   758]
 [ 2715   949]]",0.24335812964930925,0.06026587887740029,0.18309225077190897,0.24764275992853133,0.3497536945812808,0.20151582701738743,0.14823786756389337,0.6053843428976267,0.8606203840472674,-0.2552360411496407
12,0.8186651812841806,0.272598009343896,0.5732875588205589,0.18313318777292575,"[[15496   588]
 [ 2993   671]]",0.1699134199134199,0.04641847313854854,0.12349494677487136,0.27318897566890993,0.2358015815959741,0.15090189177298724,0.08489968982298687,0.564935064935065,0.8600966069745523,-0.2951615420394873
13,0.8225643103099048,0.33636363636363636,0.5985478530292384,0.2423580786026201,"[[15356   728]
 [ 2776   888]]",0.2020460358056266,0.06248897772029863,0.13955705808532798,0.3092808897295793,0.2927702219040802,0.2112924569916189,0.08147776491246131,0.5864084764340519,0.8605608135912057,-0.2741523371571538
