seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.814968604415637,0.03639240506329113,0.5075818179991725,0.01883187772925764,"[[16025    59]
 [ 3595    69]]",0.03801593048515568,0.0013540562816437066,0.036661874203511975,0.03561812809428493,0.046153846153846156,0.0026098303610265334,0.04354401579281962,0.5133960897900073,0.8640056517131756,-0.3506095619231683
1,0.8314766052258457,0.40656205420827385,0.6305739029483856,0.3111353711790393,"[[15280   804]
 [ 2524  1140]]",0.2946961714085002,0.06538074670137861,0.22931542470712157,0.22185814762672812,0.4445210199862164,0.2236782647989155,0.2208427551873009,0.6487530734106076,0.8622566712028874,-0.2135035977922798
2,0.8221592059955438,0.2050701674966048,0.5524605604962592,0.1236353711790393,"[[15783   301]
 [ 3211   453]]",0.08544303797468354,0.030229531471840983,0.055213506502842555,0.353797479448213,0.13434903047091412,0.11666666666666667,0.017682363804247453,0.5432489451476793,0.8690842404164695,-0.3258352952687902
3,0.8173485922625076,0.07536529095103821,0.5172622321784431,0.040120087336244545,"[[15994    90]
 [ 3517   147]]",0.05195270512361161,0.005425487999056437,0.046527217124555174,0.10443128969218286,0.07494795281054822,0.017543859649122806,0.05740409316142542,0.5091365102113937,0.8680780798490298,-0.3589415696376361
4,0.826514077374924,0.25032822757111595,0.5676737792528092,0.15611353711790393,"[[15750   334]
 [ 3092   572]]",0.1792152704135737,0.023582954075299957,0.15563231633827376,0.13159009285803466,0.2725998598458304,0.08180599016540009,0.19079386968043033,0.5913750441852245,0.8658313139074414,-0.27445626972221693
5,0.8326919181689285,0.4129353233830846,0.6336382599431587,0.3171397379912664,"[[15282   802]
 [ 2502  1162]]",0.3163412870571222,0.06412672241196561,0.2522145646451566,0.20271373050456784,0.4769992922859165,0.21679253665037762,0.26020675563553886,0.6601590744757773,0.86079378165116,-0.2006347071753828
6,0.8189690095199514,0.10602650662665668,0.5251064553018053,0.05786026200873363,"[[15961   123]
 [ 3452   212]]",0.0742201505916099,0.007547614835780411,0.06667253575582949,0.10169225979222979,0.11283497884344147,0.02315227070347284,0.08968270813996863,0.5320903549659376,0.8661477681467068,-0.3340574131807692
7,0.8361353048409965,0.4044902465955097,0.6291134684283061,0.2999454148471616,"[[15413   671]
 [ 2565  1099]]",0.34989200863930886,0.04702416028285209,0.30286784835645675,0.13439621117876863,0.5244755244755245,0.15622202327663384,0.36825350119889066,0.6753059755219583,0.8624631703005303,-0.18715719477857207
8,0.8406420903382621,0.4429102496016994,0.6478973584641332,0.3414301310043668,"[[15350   734]
 [ 2413  1251]]",0.41323210412147504,0.04958191025792015,0.3636501938635549,0.11998562009921884,0.608411892675852,0.18030634573304158,0.42810554694281044,0.6948662328271873,0.8643858202802968,-0.16951958745310947
9,0.816639659712376,0.06313065976714101,0.5141926148636687,0.03329694323144105,"[[16005    79]
 [ 3542   122]]",0.036298932384341634,0.005844845908607864,0.03045408647573377,0.16101977454105978,0.0541696364932288,0.020344980097302078,0.03382465639592672,0.5185053380782918,0.8660998937300743,-0.34759455565178254
10,0.8230200526635608,0.26374552348851904,0.5712190991834355,0.17085152838427947,"[[15627   457]
 [ 3038   626]]",0.20035460992907803,0.030600189035916825,0.1697544208931612,0.1527301470465229,0.28743789921930446,0.09800443458980045,0.189433464629504,0.5872340425531914,0.8622991493383743,-0.2750651067851828
11,0.8269698197285801,0.3327475102519039,0.5974588649763415,0.23253275109170304,"[[15479   605]
 [ 2812   852]]",0.30818278427205104,0.03468242245199409,0.27350036182005694,0.11253848112871186,0.4426460239268121,0.09942041908158716,0.34322560484522496,0.6340772228126107,0.8591432791728213,-0.2250660563602106
