seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.816639659712376,0.1449822904368359,0.5336871911004345,0.0837882096069869,"[[15820   264]
 [ 3357   307]]",0.06335988414192614,0.023313316849169905,0.04004656729275624,0.367950749356613,0.08791208791208792,0.08133971291866028,0.006572374993427638,0.5293265749456916,0.8633580595784764,-0.33403148463278487
1,0.8215515495240024,0.23224400871459697,0.5605176059856062,0.14546943231441048,"[[15691   393]
 [ 3131   533]]",0.12574639971900245,0.03360747884740548,0.09213892087159697,0.2672639449121883,0.17849758787043418,0.12381382738364212,0.05468376048679206,0.5465402177730945,0.8678776403763091,-0.32133742260321463
2,0.832084261697387,0.42649602213766863,0.6407469206426087,0.3365174672489083,"[[15199   885]
 [ 2431  1233]]",0.3136427566807314,0.07252721249408424,0.24111554418664716,0.23124147122553315,0.47645429362880887,0.24549549549549549,0.23095879813331338,0.6624472573839663,0.8606247042120209,-0.1981774468280546
3,0.8194247518736074,0.3602439899533549,0.6088440979616836,0.2740174672489083,"[[15178   906]
 [ 2660  1004]]",0.2404156216409889,0.07306716990033614,0.16734845174065277,0.3039202253231567,0.34906315058986814,0.2253711201079622,0.12369203048190594,0.6037262629881763,0.8549271687208823,-0.2512009057327059
4,0.8159307271622442,0.37446222681122016,0.615550700525299,0.29694323144104806,"[[15025  1059]
 [ 2576  1088]]",0.2573347472605161,0.08387020509486376,0.17346454216565232,0.32591869534803514,0.3749124036440084,0.24720607957085383,0.12770632407315458,0.6164722516790385,0.8492818724510904,-0.23280962077205192
5,0.8187664573627709,0.38893631551989066,0.6226657414838473,0.31086244541484714,"[[15030  1054]
 [ 2525  1139]]",0.28308026030368766,0.08302908962430809,0.20005117067937955,0.2933058261824217,0.4118895966029724,0.24744557974233675,0.16444401686063567,0.6268980477223427,0.8500176657637498,-0.22311961804140712
6,0.8241340895280534,0.33198692056164647,0.5968771414593037,0.2355349344978166,"[[15412   672]
 [ 2801   863]]",0.2262459662961635,0.05330502977769916,0.17294093651846434,0.2356065420760744,0.3300423131170663,0.17586821015138024,0.15417410296568604,0.6009322337755468,0.8608408514652987,-0.2599086176897518
7,0.8206400648166903,0.2543157894736842,0.5674397459190776,0.1648471615720524,"[[15602   482]
 [ 3060   604]]",0.17998560115190784,0.03453152622274602,0.14545407492916182,0.19185715969357692,0.2517482517482518,0.10922112802148612,0.14252712372676565,0.564434845212383,0.8625810253388332,-0.2981461801264502
8,0.8205894267773952,0.2570769553365485,0.5683570439146446,0.16730349344978165,"[[15592   492]
 [ 3051   613]]",0.11677512653651483,0.046048757507949595,0.07072636902856523,0.3943370379782928,0.1660623640319072,0.16805251641137856,-0.001990152379471366,0.5502530730296457,0.8646213637969615,-0.31436829076731587
9,0.781598136520154,0.3973732010618975,0.6296694672836602,0.3881004366812227,"[[14013  2071]
 [ 2242  1422]]",0.34555160142348756,0.1488959735505963,0.19665562787289126,0.4308936000794805,0.4483250178189594,0.3507297655904467,0.09759525222851267,0.602846975088968,0.8112528043452591,-0.20840582925629114
10,0.8238808993315779,0.37647902474005024,0.6164270358999532,0.2865720524017467,"[[15220   864]
 [ 2614  1050]]",0.25141843971631206,0.07118383742911154,0.1802346022872005,0.28312894435838437,0.3647977288857346,0.2376940133037694,0.12710371558196518,0.6134751773049646,0.8589319470699432,-0.24545676976497866
11,0.8216021875632975,0.3384037558685446,0.5993270930779347,0.24590611353711792,"[[15324   760]
 [ 2763   901]]",0.2316684378320935,0.059497784342688334,0.1721706534894052,0.25682300489206294,0.34553131597466574,0.18279090503789566,0.16274041093677008,0.6128232376904003,0.8564254062038404,-0.2436021685134402
12,0.8126392546080615,0.31124348473566643,0.5869752847767561,0.22816593886462883,"[[15212   872]
 [ 2828   836]]",0.2417027417027417,0.06114514608859566,0.18055759561414603,0.2529766342650555,0.3321351545650611,0.16454025516937967,0.16759489939568142,0.5898268398268398,0.8490221489161168,-0.259195309089277
13,0.8284889609074336,0.405685207931216,0.6304257994871901,0.3155021834061135,"[[15205   879]
 [ 2508  1156]]",0.27365728900255754,0.07559814237846099,0.19805914662409654,0.27625115579418924,0.4266284896206156,0.24702249669166298,0.17960599292895263,0.6514431859700401,0.8569748985950267,-0.2055317126249866
14,0.8224630342313146,0.3641639463184621,0.6107093056214697,0.2740174672489083,"[[15238   846]
 [ 2660  1004]]",0.2639575971731449,0.06519683177680577,0.1987607653963391,0.2469973680433204,0.3871191135734072,0.20045045045045046,0.18666866312295677,0.6208480565371025,0.8561886747842534,-0.2353406182471509
15,0.8288940652217947,0.41204106490342784,0.6336250242992847,0.3231441048034934,"[[15185   899]
 [ 2480  1184]]",0.2980734278444202,0.07430723068776843,0.22376619715665177,0.24929169710006213,0.4582441113490364,0.23950508174988952,0.2187390295991469,0.6593965830607051,0.8563275872212743,-0.1969310041605692
16,0.8107656471541422,0.3558007240131012,0.6064787865887497,0.2816593886462882,"[[14979  1105]
 [ 2632  1032]]",0.20592538405267008,0.09251204890090514,0.11341333515176494,0.4492503404885873,0.3015636634400596,0.27014218009478674,0.03142148334527284,0.5991221653255303,0.8447748912660162,-0.24565272594048593
17,0.819222199716427,0.3961434370771313,0.6263175574413369,0.31959606986899564,"[[15007  1077]
 [ 2493  1171]]",0.2726945244956772,0.08785057742163563,0.1848439470740416,0.322157467532973,0.3918824352694192,0.2733780760626398,0.11850435920677937,0.6159942363112392,0.8524628800377092,-0.23646864372647003
18,0.8241340895280534,0.3736699729486023,0.6151072046428739,0.2827510917030568,"[[15239   845]
 [ 2628  1036]]",0.2525399129172714,0.06973870056497175,0.18280121235229965,0.27614922235210076,0.37841726618705035,0.22427440633245382,0.15414285985459653,0.6248185776487664,0.8564618644067796,-0.23164328675801327
19,0.8209945310917561,0.3640942615578342,0.610650797288037,0.2762008733624454,"[[15201   883]
 [ 2652  1012]]",0.24240282685512368,0.07146234779524767,0.17094047905987603,0.2948082277850596,0.37106017191977075,0.21781305114638447,0.1532471207733863,0.6303886925795052,0.8528785908499823,-0.22248989827047705
