seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8190196475592465,0.15147198480531815,0.5364127834871293,0.08706331877729258,"[[15855   229]
 [ 3345   319]]",0.12635771180304128,0.01171553043683033,0.11464218136621096,0.09271717784104691,0.17435897435897435,0.0352327098738582,0.13912626448511614,0.5517740767559739,0.8624749793947957,-0.3107009026388218
1,0.8360340287624063,0.3650980392156863,0.6113481120949078,0.2540938864628821,"[[15579   505]
 [ 2733   931]]",0.33895328415876363,0.02786817348085912,0.3110851106779045,0.08221833150259679,0.4789800137835975,0.10664256665160415,0.37233744713199335,0.6396206533192834,0.8691201704041182,-0.22949951708483474
2,0.8226149483491999,0.2036826551488975,0.5522134612063957,0.1222707423580786,"[[15797   287]
 [ 3216   448]]",0.09774964838255977,0.0270350212967345,0.07071462708582527,0.27657410276227673,0.1371191135734072,0.11261261261261261,0.024506500960794583,0.5337552742616034,0.8712139138665405,-0.33745863960493705
3,0.825653230706907,0.30176434800243357,0.5852699908450069,0.20305676855895197,"[[15561   523]
 [ 2920   744]]",0.27445360085990683,0.029545320516600814,0.24490828034330603,0.10765142240448156,0.3816793893129771,0.08726945569050833,0.2944099336224688,0.6033679684700824,0.86223978298048,-0.25887181451039754
4,0.8205894267773952,0.1254011355220933,0.5305270284065424,0.06932314410480349,"[[15951   133]
 [ 3410   254]]",0.10144927536231885,0.005910514805839589,0.09553876055647925,0.0582607888004188,0.14576033637000702,0.02056325435851587,0.12519708201149116,0.5411806291975964,0.8673089426089012,-0.3261283134113049
5,0.840135709945311,0.43024724778920775,0.6413693013426237,0.32532751091703055,"[[15399   685]
 [ 2472  1192]]",0.3908170643528561,0.04687315981627606,0.3439439045365801,0.11993631827180348,0.5704175513092711,0.17147934251443803,0.39893820879483305,0.6811279826464208,0.8660346248969497,-0.18490664225052889
6,0.8267672675713996,0.31401644275115304,0.5900635677431476,0.21370087336244542,"[[15544   540]
 [ 2881   783]]",0.3079956973825744,0.027360103779703993,0.2806355936028704,0.08883274673061052,0.4245416078984485,0.08058771148708815,0.34395389641136037,0.615274291860882,0.8615484403561531,-0.24627414849527107
7,0.8329451083654041,0.35979041335144574,0.6090303132897268,0.2530021834061135,"[[15522   562]
 [ 2737   927]]",0.37652987760979123,0.02610489098408957,0.35042498662570165,0.06933019804378664,0.5230769230769231,0.0801253357206804,0.44295158735624274,0.6472282217422606,0.8633470830878021,-0.21611886134554148
8,0.8310715009114847,0.3479280688037529,0.6039811866521722,0.24290393013100436,"[[15522   562]
 [ 2774   890]]",0.3618944323933478,0.026557531503945353,0.33533690088940243,0.07338474739252032,0.5192168237853517,0.07614879649890591,0.4430680272864458,0.6572668112798264,0.8593805205511719,-0.20211370927134542
9,0.8176017824589832,0.15525328330206378,0.5368068662990914,0.09033842794759825,"[[15815   269]
 [ 3333   331]]",0.09537366548042704,0.019600897390482937,0.0757727680899441,0.2055168718927502,0.1261582323592302,0.06811145510835913,0.05804677725087108,0.5313167259786477,0.8650962333215255,-0.33377950734287787
10,0.8147660522584566,0.05331262939958592,0.5110402578059076,0.028111353711790393,"[[15987    97]
 [ 3561   103]]",0.03226950354609929,0.0064390359168241965,0.025830467629275093,0.19953935478510149,0.046132008516678494,0.016851441241685146,0.029280567274993348,0.5141843971631206,0.8648393194706995,-0.3506549223075789
11,0.8163358314766053,0.16563146997929606,0.5390856029860698,0.0982532751091703,"[[15761   323]
 [ 3304   360]]",0.09174636911087496,0.025051698670605613,0.06669467044026935,0.273053843039072,0.1203377902885292,0.08426214890771289,0.036075641380816315,0.5260361317747078,0.8647562776957164,-0.33872014592100863
12,0.8212983593275268,0.25090214391848864,0.5664739851044027,0.16129912663755458,"[[15628   456]
 [ 3073   591]]",0.21897546897546896,0.025918944392082942,0.193056524583386,0.11836460272628323,0.29618979151689434,0.07875054993400792,0.2174392415828864,0.5764790764790765,0.8612747408105561,-0.2847956643314796
13,0.8386672068057525,0.42428623057462955,0.638571014727267,0.32041484716157204,"[[15388   696]
 [ 2490  1174]]",0.4366094263792474,0.039680206924930926,0.3969292194543165,0.09088261619542756,0.6313528990694345,0.12880458756065286,0.5025483115087817,0.6974789915966386,0.8613838104755747,-0.16390481887893604
14,0.8313753291472554,0.32591093117408904,0.5952107399580151,0.2197052401746725,"[[15613   471]
 [ 2859   805]]",0.29081272084805654,0.026776214682586594,0.2640365061654699,0.09207373943100858,0.4092797783933518,0.0963963963963964,0.31288338199695537,0.6166077738515902,0.8673010994207353,-0.25069332556914514
15,0.8147154142191614,0.061072619964074926,0.5126951884158387,0.03247816593886463,"[[15970   114]
 [ 3545   119]]",0.015630679752817157,0.011178443254692005,0.004452236498125152,0.7151604045036676,0.02212705210563883,0.038886433937251434,-0.016759381831612605,0.4976372228280625,0.8660351826792964,-0.36839795985123386
16,0.8223111201134292,0.15056886952311788,0.5375904164164338,0.08487991266375546,"[[15928   156]
 [ 3353   311]]",0.1276517922457937,0.006935464911249559,0.12071632733454414,0.05433112053683752,0.1928518242740134,0.02240413614821198,0.1704476881258014,0.570592538405267,0.8627600799341718,-0.2921675415289048
17,0.8424144217135913,0.4446823697359029,0.6484585158268437,0.3400655021834061,"[[15390   694]
 [ 2418  1246]]",0.4935158501440922,0.0335847277869432,0.459931122357149,0.06805197396828783,0.6696990902729181,0.12930648769574943,0.5403926025771686,0.6811959654178674,0.8687838793306623,-0.18758791391279483
18,0.8207413408952805,0.2413201885983712,0.5631814999093188,0.15365720524017468,"[[15645   439]
 [ 3101   563]]",0.2195210449927431,0.023363935969868174,0.19615710902287492,0.10643141740984577,0.3079136690647482,0.059366754617414245,0.24854691444733396,0.5867198838896952,0.8586982109227872,-0.271978327033092
19,0.8242353656066437,0.2758189025662425,0.5756533453191705,0.18040393013100436,"[[15616   468]
 [ 3003   661]]",0.24063604240282685,0.026480671474169524,0.21415537092865733,0.1100444937913359,0.34097421203438394,0.08156966490299823,0.2594045471313857,0.6024734982332155,0.8613311266107105,-0.25885762837749504
