seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8255519546283168,0.2821421129401959,0.5781476193760052,0.1847707423580786,"[[15626   458]
 [ 2987   677]]",0.2118030412744388,0.032379606734958204,0.1794234345394806,0.15287602359308472,0.3032967032967033,0.1143975641583297,0.18889913913837358,0.5937726285300506,0.8632403155539856,-0.269467687023935
1,0.8192728377557221,0.31113684616869325,0.5878863722009667,0.21997816593886463,"[[15373   711]
 [ 2858   806]]",0.17140850017562345,0.060883971362641266,0.11052452881298219,0.35519808702754035,0.23914541695382494,0.20741075463172165,0.031734662322103285,0.5626975763962065,0.8624933435891368,-0.2997957671929302
2,0.8190702855985417,0.16655003498950313,0.5404481616165785,0.09743449781659388,"[[15818   266]
 [ 3307   357]]",0.06504922644163151,0.025911026975863703,0.03913819946576781,0.3983295174019263,0.09626038781163435,0.0981981981981982,-0.0019378103865638485,0.5249648382559775,0.8685518220539518,-0.34358698379797425
3,0.8013976098845452,0.377262623054938,0.6171663993292854,0.324235807860262,"[[14638  1446]
 [ 2476  1188]]",0.28126119670369043,0.109040514241906,0.17222068246178443,0.38768417229192315,0.3844552394170715,0.28520017993702207,0.09925505948004942,0.5994267287710499,0.8346405614200625,-0.23521383264901263
4,0.8235770710958071,0.3258513931888544,0.594322288878584,0.22980349344978165,"[[15422   662]
 [ 2822   842]]",0.1746200070696359,0.059696199538979845,0.11492380753065606,0.3418634584934696,0.2578836720392432,0.21189092534644613,0.04599274669279704,0.5811240721102863,0.8641172646137478,-0.28299319250346155
5,0.8181588008912295,0.2993170731707317,0.5830927953028261,0.20933406113537117,"[[15390   694]
 [ 2897   767]]",0.18872017353579176,0.055293840537039216,0.13342633299875256,0.2929937987077595,0.2618542108987969,0.17636605952909817,0.08548815136969873,0.5679681851048446,0.8589094335178424,-0.29094124841299784
6,0.8186145432448856,0.1410071942446043,0.5335296869383336,0.08024017467248909,"[[15872   212]
 [ 3370   294]]",0.05736823234134098,0.020402146352968924,0.03696608598837206,0.35563491361518956,0.08533145275035262,0.07702582368655388,0.008305629063798739,0.5209752599498028,0.8675629459284155,-0.3465876859786128
7,0.80342313145635,0.33298969072164947,0.5953325078816563,0.2644650655021834,"[[14897  1187]
 [ 2695   969]]",0.19474442044636428,0.09516794342958161,0.09957647701678267,0.48868123261992186,0.27342657342657345,0.25872873769024174,0.01469783573633171,0.5719942404607632,0.8413081909251621,-0.2693139504643989
8,0.8233238808993316,0.31682005091051496,0.5906894440106472,0.22079694323144106,"[[15450   634]
 [ 2855   809]]",0.24511930585683298,0.0450476975621246,0.20007160829470838,0.18377865996583576,0.3560551124002901,0.13916849015317287,0.21688662224711722,0.611352133044107,0.8578494876928513,-0.24649735464874434
9,0.8178043346161636,0.2686991869918699,0.5717053224392898,0.18040393013100436,"[[15489   595]
 [ 3003   661]]",0.14483985765124555,0.05012398157987956,0.09471587607136599,0.346064835969193,0.21168923734853884,0.1609907120743034,0.050698525274235434,0.5672597864768684,0.8593694651080411,-0.29210967863117276
10,0.8072716224427791,0.26666666666666666,0.5685059279394533,0.1888646288209607,"[[15250   834]
 [ 2972   692]]",0.15851063829787235,0.0637405482041588,0.09477009009371355,0.4021215792745588,0.20511000709723207,0.1787139689578714,0.026396038139360672,0.5468085106382978,0.8506616257088847,-0.3038531150705869
11,0.8094996961717642,0.36773109243697477,0.6122349341720161,0.29858078602620086,"[[14892  1192]
 [ 2570  1094]]",0.2720510095642933,0.08968980797636632,0.18236120158792696,0.3296801144756278,0.3764954257565095,0.24921979491752116,0.12727563083898835,0.6036131774707758,0.8438404726735598,-0.24022729520278396
12,0.8156775369657687,0.12246865959498554,0.527511609356555,0.06932314410480349,"[[15854   230]
 [ 3410   254]]",0.047619047619047616,0.020735155513666354,0.026883892105381262,0.43543826578699346,0.06685837526959022,0.0708315002199736,-0.003973124950383378,0.5176767676767676,0.8643378887841658,-0.3466611211073982
13,0.8240834514887584,0.21932584269662922,0.557330021752611,0.1331877729257642,"[[15786   298]
 [ 3176   488]]",0.14285714285714285,0.02322026923755217,0.11963687361959068,0.1625418846628652,0.20973514674302077,0.08601676224084694,0.12371838450217383,0.5608330288637194,0.8664393627652696,-0.3056063339015501
14,0.8215009114847073,0.2315238718116416,0.5602757670157438,0.1449235807860262,"[[15692   392]
 [ 3133   531]]",0.15265017667844524,0.02902234306655633,0.12362783361188892,0.19012321962582038,0.2126038781163435,0.1009009009009009,0.11170297721544259,0.5540636042402827,0.8662371438704338,-0.31217353963015115
15,0.7951184930119506,0.35573248407643315,0.6058299346009867,0.3048580786026201,"[[14585  1499]
 [ 2547  1117]]",0.2231915667030171,0.11778549155733364,0.10540607514568345,0.5277327154303336,0.3240542469664525,0.29297392841361025,0.031080318552842268,0.5976008724100327,0.8270871330234747,-0.22948626061344202
16,0.8151205185335224,0.14875262298904174,0.5340191003237371,0.08706331877729258,"[[15778   306]
 [ 3345   319]]",0.06291148500365765,0.026625132244034323,0.03628635275962332,0.42321576485575485,0.08339538346984364,0.08918569582076691,-0.0057903123509232685,0.527798098024872,0.8612907017750088,-0.3334926037501368
17,0.8204375126595098,0.22474857892435507,0.5578315508427916,0.14028384279475983,"[[15688   396]
 [ 3150   514]]",0.12968299711815562,0.03240631628564695,0.09727668083250868,0.24988870558043313,0.17844646606018194,0.11588366890380314,0.0625627971563788,0.5392651296829971,0.8664270563280697,-0.3271619266450726
18,0.8072209844034839,0.37043161898462046,0.6135758067091004,0.3056768558951965,"[[14821  1263]
 [ 2544  1120]]",0.3214804063860668,0.0881002824858757,0.23338012390019108,0.2740455739628368,0.4489208633093525,0.218117854001759,0.23080300930759348,0.6269956458635704,0.8364524482109228,-0.20945680234735242
19,0.817095402066032,0.35129310344827586,0.6046743271405906,0.26692139737991266,"[[15158   926]
 [ 2686   978]]",0.2816254416961131,0.06543326634353942,0.21619217535257368,0.2323414601658928,0.3961318051575931,0.18738977072310406,0.20874203443448905,0.6159010600706714,0.8507506797493793,-0.234849619678708
