seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8438322868138546,0.47354045749402524,0.6641869744431256,0.3785480349344978,"[[15277   807]
 [ 2277  1387]]",0.5463432295438089,0.0403273283880843,0.5060159011557246,0.07381317495552607,0.7509157509157509,0.15745976511526752,0.5934559858004834,0.7016654598117307,0.8669492523254445,-0.16528379251371383
1,0.8432246303423131,0.47382732834806257,0.6645515655255324,0.3804585152838428,"[[15258   826]
 [ 2270  1394]]",0.5591851071303127,0.037157564641145495,0.5220275424891672,0.06644948902848066,0.7443142660234321,0.14188883868052418,0.6024254273429079,0.6898489638215666,0.8690610023075558,-0.1792120384859892
2,0.8445918574032814,0.48342029961285976,0.6698167046586209,0.39192139737991266,"[[15243   841]
 [ 2228  1436]]",0.539732770745429,0.0438949361097965,0.4958378346356325,0.08132716501385097,0.7264542936288089,0.17432432432432432,0.5521299693044845,0.690225035161744,0.8705631803123521,-0.1803381451506081
3,0.845300789953413,0.4817642069550466,0.6685659023749768,0.3875545851528384,"[[15273   811]
 [ 2244  1420]]",0.5668219276245073,0.038273279471604645,0.5285486481529027,0.06752258091355788,0.7487855655794587,0.15339631129104814,0.5953892542884106,0.6900752418487998,0.8708497965442,-0.18077455469540027
4,0.8451488758355277,0.47075112495673244,0.6621500767260093,0.37117903930131,"[[15330   754]
 [ 2304  1360]]",0.5433015199717215,0.03410367042969443,0.5091978495420271,0.06277116697827295,0.7344078486334968,0.1394725078229772,0.5949353408105196,0.6931778013432308,0.870559725752113,-0.17738192440888223
5,0.8445918574032814,0.4754742779012135,0.6650747807091373,0.3796397379912664,"[[15288   796]
 [ 2273  1391]]",0.5336225596529284,0.0418678600871511,0.4917546995657773,0.07845968902510836,0.7204529370134466,0.16570413149711238,0.5547488055163342,0.6916124367317426,0.8695088917677541,-0.1778964550360116
6,0.8445918574032814,0.48307225871652354,0.6696059524830883,0.3913755458515284,"[[15245   839]
 [ 2230  1434]]",0.560774471136608,0.041806710301314935,0.5189677608352932,0.0745517359529203,0.7517630465444288,0.163846838824577,0.5879162077198519,0.6952312656866261,0.869155020932838,-0.17392375524621195
7,0.84190804132064,0.4744107744107745,0.665323950189453,0.3845524017467249,"[[15217   867]
 [ 2255  1409]]",0.5547156227501799,0.04331172657631114,0.5114038961738688,0.0780791540746219,0.737062937062937,0.15890778871978514,0.5781551483431518,0.6893448524118071,0.8668827342368887,-0.17753788182508157
8,0.8428195260279522,0.47354138398914525,0.6645136233464269,0.38100436681222705,"[[15248   836]
 [ 2268  1396]]",0.5484454085321764,0.04210340360381581,0.5063420049283606,0.07676863175224426,0.7389412617839014,0.1649890590809628,0.5739522027029386,0.6898047722342733,0.8677423153927688,-0.17793754315849553
9,0.8428195260279522,0.47478849407783424,0.665251255960791,0.38291484716157204,"[[15241   843]
 [ 2261  1403]]",0.5540925266903914,0.040677765970008266,0.5134147607203832,0.07341330916873683,0.7462580185317177,0.15745245466607696,0.5888055638656408,0.691814946619217,0.8678710591569253,-0.17605611253770825
10,0.841452298966984,0.47528071057482824,0.6659925538303818,0.38700873362445415,"[[15199   885]
 [ 2246  1418]]",0.5833333333333334,0.03887051039697543,0.544462822936358,0.0666351606805293,0.7530163236337828,0.1583148558758315,0.5947014677579513,0.6695035460992907,0.8700968809073724,-0.2005933348080816
11,0.8434778205387887,0.4706285322829252,0.6625994777418552,0.375,"[[15283   801]
 [ 2290  1374]]",0.5589798087141339,0.035273264401772524,0.5237065443123614,0.06310293118263868,0.745249824067558,0.14043691484618814,0.6048129092213699,0.6879206517888771,0.869423929098966,-0.18150327731008897
12,0.8399837958274256,0.462767766065964,0.6590845997921393,0.3714519650655022,"[[15227   857]
 [ 2303  1361]]",0.5505050505050505,0.040763430725730444,0.5097416197793201,0.07404733287793237,0.7340043134435658,0.14958205015398152,0.5844222632895842,0.6843434343434344,0.8653982092365693,-0.18105477489313493
13,0.8469212072108568,0.47960061972800827,0.6667155254238393,0.38018558951965065,"[[15332   752]
 [ 2271  1393]]",0.5370843989769821,0.039680206924930926,0.4974041920520512,0.0738807662268952,0.7423049391553329,0.15703573003970003,0.5852692091156328,0.7102667153818049,0.8689083534183764,-0.1586416380365715
14,0.846617378975086,0.4932240254308181,0.6750644677669311,0.40229257641921395,"[[15245   839]
 [ 2190  1474]]",0.5590106007067138,0.04320841707057572,0.5158021836361381,0.07729445025899448,0.7576177285318559,0.17117117117117117,0.5864465573606847,0.703886925795053,0.8704929660716397,-0.16660604027658676
15,0.8447437715211668,0.4798099762470309,0.6675916911107515,0.3859170305676856,"[[15268   816]
 [ 2250  1414]]",0.5601599418393312,0.04053656527622521,0.519623376563106,0.0723660552075896,0.7558886509635975,0.15687140963323024,0.5990172413303673,0.7004725554343875,0.8680943695946344,-0.1676218141602469
16,0.8415029370062791,0.4684103260869566,0.6619139732018258,0.3763646288209607,"[[15239   845]
 [ 2285  1379]]",0.5431602048280907,0.043434818384859526,0.49972538644323117,0.07996686428566058,0.7416232315711094,0.16501507970702284,0.5766081518640866,0.6942209217264081,0.8651698601151993,-0.1709489383887911
17,0.844034838971035,0.4767244308528712,0.6659973390247054,0.38291484716157204,"[[15265   819]
 [ 2261  1403]]",0.5554755043227666,0.04006599104407259,0.515409513278694,0.07212917713251978,0.7382785164450665,0.15570469798657718,0.5825738184584893,0.6898414985590778,0.8692552439311808,-0.17941374537210297
18,0.8429208021065424,0.47777777777777775,0.6669994469537114,0.3872816593886463,"[[15227   857]
 [ 2245  1419]]",0.5435413642960812,0.04578625235404896,0.49775511194203226,0.08423692355658141,0.7388489208633093,0.1723834652594547,0.5664654556038546,0.6973875181422351,0.8665254237288136,-0.16913790558657849
19,0.8450475997569374,0.4869215291750503,0.6717825032118496,0.3962882096069869,"[[15236   848]
 [ 2212  1452]]",0.5713780918727915,0.04037120226977184,0.5310068896030197,0.07065584565457904,0.7722063037249284,0.16490299823633156,0.6073033054885968,0.6971731448763251,0.8697836623714387,-0.17261051749511358
