seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
1,0.8064107757747621,0.35909471919530594,0.6079149896992753,0.2923034934497817,"[[14854  1230]
 [ 2593  1071]]",0.2616789603090973,0.09206555825099107,0.16961340205810627,0.3518263682423779,0.34734665747760163,0.2562132851333032,0.09113337234429841,0.5827186512118019,0.844092065558251,-0.2613734143464491
2,0.8113226655863885,0.09166260360799611,0.5178833232516189,0.05131004366812227,"[[15834   250]
 [ 3476   188]]",0.013009845288326301,0.023722195929957408,-0.010712350641631107,1.8234033844540234,0.02146814404432133,0.07072072072072072,-0.04925257667639939,0.5010548523206751,0.8635234264079508,-0.3624685740872756
3,0.8147154142191614,0.030214683275907768,0.5061618709743281,0.015556768558951965,"[[16032    52]
 [ 3607    57]]",0.03797921891795056,0.00017691808692575338,0.0378023008310248,0.004658286609526204,0.0395558639833449,0.0,0.0395558639833449,0.48656395557147974,0.868726779501091,-0.38216282392961126
4,0.8127911687259469,0.074129727022289,0.5145697967765303,0.04039301310043668,"[[15903   181]
 [ 3516   148]]",0.025804171085189113,0.015130917902949346,0.010673253182239767,0.5863748869512836,0.03854239663629993,0.041573535985695124,-0.0030311393493951955,0.5086603039943443,0.8636444234292807,-0.35498411943493646
5,0.8202349605023294,0.2542016806722689,0.5672964276522059,0.16512008733624453,"[[15593   491]
 [ 3059   605]]",0.12472885032537961,0.04422329525379814,0.08050555507158147,0.3545554628174077,0.18612880396319886,0.1519324744557974,0.03419632950740145,0.5545914678235719,0.8635025320928041,-0.3089110642692322
6,0.8145635001012761,0.0016357688113413302,0.5003783018519584,0.0008187772925764192,"[[16083     1]
 [ 3661     3]]",0.0010756543564001434,5.896574090453446e-05,0.0010166886154956089,0.05481848379424887,0.0021156558533145277,0.0,0.0021156558533145277,0.49264969523126567,0.8675039801875111,-0.3748542849562454
7,0.818817095402066,0.33296047725577926,0.5967743106876671,0.2437227074235808,"[[15277   807]
 [ 2771   893]]",0.2591792656587473,0.05774896876841485,0.20143029689033248,0.2228147711648006,0.3867132867132867,0.1521933751119069,0.2345199116013798,0.6241900647948164,0.8506776664702416,-0.22648760167542514
8,0.8058031193032206,0.2592234885068572,0.5653915130607976,0.18313318777292575,"[[15242   842]
 [ 2993   671]]",0.17642805495300073,0.06035802614533035,0.1160700288076704,0.3421112711434093,0.25525743292240755,0.13960612691466084,0.1156513060077467,0.5795372378886479,0.8426569308679779,-0.26311969297933
10,0.8052461008709743,0.09548447789275635,0.5157335492485412,0.055403930131004364,"[[15699   385]
 [ 3461   203]]",0.04468085106382979,0.027292060491493384,0.017388790572336405,0.6108223062381852,0.054648687012065295,0.055875831485587585,-0.0012271444735222903,0.5102836879432624,0.8543832703213611,-0.3440995823780987
11,0.811525217743569,0.27418096723868957,0.572276355628583,0.19186681222707425,"[[15323   761]
 [ 2961   703]]",0.1930570315267446,0.054298375184638106,0.1387586563421065,0.28125562045180436,0.2772695285010556,0.13776192599197504,0.13950760250908054,0.5827134254339356,0.8496898079763663,-0.2669763825424307
13,0.8200324083451489,0.18223653934652553,0.5451484781317298,0.10807860262008734,"[[15798   286]
 [ 3268   396]]",0.10193642674461088,0.02369055317147728,0.0782458735731336,0.2324051757359617,0.15461703650680028,0.07940008822232025,0.07521694828448003,0.5454877603215199,0.8642055140791253,-0.31871775375760536
14,0.7116670042535953,0.17621527777777776,0.5010678449602469,0.1662117903930131,"[[13445  2639]
 [ 3055   609]]",0.1127208480565371,0.17312921149071994,-0.060408363434182835,1.5359111865791142,0.11772853185595568,0.19774774774774775,-0.08001921589179208,0.4971731448763251,0.7475469913701384,-0.2503738464938133
15,0.8066639659712376,0.24931183641368462,0.5620210733170505,0.1730349344978166,"[[15296   788]
 [ 3030   634]]",0.12831697564521993,0.06289345178560922,0.06542352385961071,0.4901413197229772,0.1827266238401142,0.16703490941228458,0.01569171442782963,0.5485278080697928,0.8484438430311232,-0.29991603496133035
16,0.8127911687259469,0.02838370565045992,0.504664444526498,0.014737991266375546,"[[15997    87]
 [ 3610    54]]",0.010972933430870519,0.006524039026683907,0.004448894404186611,0.5945574232984602,0.014147431124348473,0.015079707022834985,-0.0009322758984865124,0.5117044623262619,0.8611731515222758,-0.3494686891960139
17,0.8126898926473567,0.3935071323167732,0.6253632675180194,0.32751091703056767,"[[14849  1235]
 [ 2464  1200]]",0.26296829971181557,0.10045958048550555,0.16250871922631002,0.38202163757227864,0.3813855843247026,0.2930648769574944,0.0883207073672082,0.6149135446685879,0.8450388875795428,-0.23012534291095488
18,0.8140571197083248,0.001631321370309951,0.5000674339086608,0.0008187772925764192,"[[16073    11]
 [ 3661     3]]",0.0043541364296081275,0.00011770244821092278,0.004236433981397204,0.0270323289391086,0.002158273381294964,0.0,0.002158273381294964,0.4934687953555878,0.8660546139359698,-0.37258581858038203
19,0.810259266761191,0.03203306639111341,0.5039531135121399,0.016921397379912665,"[[15939   145]
 [ 3602    62]]",0.011660777385159011,0.010284903652914056,0.0013758737322449553,0.8820084041741447,0.017191977077363897,0.01675485008818342,0.0004371269891804766,0.5120141342756184,0.8601489537770423,-0.3481348195014239
20,0.8158800891229492,0.3271650629163583,0.5940228918266437,0.24126637554585154,"[[15228   856]
 [ 2780   884]]",0.23950795947901593,0.06347150259067358,0.17603645688834235,0.26500790507646793,0.3364963503649635,0.1843940714908457,0.1521022788741178,0.5984081041968162,0.851271785209609,-0.2528636810127928
