seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8221592059955438,0.24015577672003463,0.5632089214484219,0.15147379912663755,"[[15681   403]
 [ 3109   555]]",0.11947863866763216,0.036971623690097724,0.08250701497753443,0.3094412867637876,0.18095238095238095,0.1339712918660287,0.046981089086352235,0.5651701665459812,0.8639467797009301,-0.29877661315494897
1,0.8223111201134292,0.20520951302378254,0.5525538208792485,0.1236353711790393,"[[15786   298]
 [ 3211   453]]",0.10432033719704953,0.02686231583929945,0.07745802135775008,0.2574983609241937,0.1571330117160579,0.1016719385449616,0.0554610731710963,0.5461889708465051,0.8688243299213064,-0.32263535907480134
2,0.832084261697387,0.411639460610362,0.6330544662356689,0.3165938864628821,"[[15272   812]
 [ 2504  1160]]",0.28656821378340364,0.06844533838144817,0.21812287540195546,0.23884483724765473,0.43698060941828254,0.2382882882882883,0.19869232112999424,0.64943741209564,0.8628135352579271,-0.21337612316228716
3,0.8198298561879684,0.3720437698552771,0.614361596704637,0.2876637554585153,"[[15136   948]
 [ 2610  1054]]",0.24901469007524185,0.07707731320398656,0.1719373768712553,0.30952918151413883,0.36363636363636365,0.2384165542060279,0.12521980943033575,0.610175564313866,0.854337441764463,-0.24416187745059703
4,0.8290966173789751,0.3991454513085277,0.6271106779473267,0.30594978165938863,"[[15252   832]
 [ 2543  1121]]",0.2704135737009544,0.07021691589337431,0.20019665780758011,0.25966490857824304,0.41625788367203925,0.23558337058560572,0.18067451308643354,0.6451042771297278,0.8598616939535434,-0.21475741682381555
5,0.8233745189386267,0.3784746970776907,0.6173806810098511,0.2898471615720524,"[[15198   886]
 [ 2602  1062]]",0.29681851048445407,0.0663643858202803,0.23045412466417375,0.22358573834213802,0.43241330502477,0.2003553976010662,0.2320579074237038,0.6341287057122198,0.8541985631845483,-0.22006985747232855
6,0.8221592059955438,0.3313023610053314,0.5964023890948068,0.23744541484716158,"[[15366   718]
 [ 2794   870]]",0.20294012190749372,0.060262987204434224,0.14267713470305948,0.2969495959596591,0.3131170662905501,0.18967052537845058,0.1234465409120995,0.6070276084618142,0.8575387699746447,-0.2505111615128305
7,0.8154749848085883,0.22632696390658177,0.5567871906660339,0.14546943231441048,"[[15571   513]
 [ 3131   533]]",0.11627069834413246,0.042604596346493814,0.07366610199763865,0.3664259091348601,0.15944055944055943,0.13652641002685764,0.02291414941370179,0.5331173506119511,0.8616971125515616,-0.32857976193961047
8,0.8186145432448856,0.34658883619117115,0.6026564005130272,0.25927947598253276,"[[15216   868]
 [ 2714   950]]",0.22198120028922633,0.07089859851607584,0.15108260177315047,0.3193901034128107,0.3255982596084119,0.21925601750547047,0.10634224210294141,0.60412147505423,0.8535508185137204,-0.24942934345949042
9,0.8169941259874418,0.24958471760797338,0.5648853684640354,0.16402838427947597,"[[15533   551]
 [ 3063   601]]",0.09715302491103203,0.05189514700673043,0.0452578779043016,0.5341588391535257,0.14326443335709194,0.17691287041132242,-0.033648437054230484,0.5466192170818506,0.8618490967056323,-0.3152298796237817
