seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8357302005266356,0.4175942549371634,0.6356088436907111,0.3174126637554585,"[[15341   743]
 [ 2501  1163]]",0.41889934829833453,0.044095137171788534,0.374804211126546,0.10526427732798611,0.5970695970695971,0.15137016093953892,0.44569943613005814,0.6770456191165822,0.8615330271988697,-0.18448740808228747
1,0.8360340287624063,0.41552346570397114,0.6345308514034941,0.31413755458515286,"[[15359   725]
 [ 2513  1151]]",0.3582718651211802,0.05064789065735755,0.30762397446382267,0.1413672006877421,0.518263266712612,0.18029823768639855,0.3379650290262135,0.6603442219880576,0.8656292527069405,-0.20528503071888282
2,0.8309702248328945,0.40007189072609634,0.6274178806353978,0.3037663755458515,"[[15297   787]
 [ 2551  1113]]",0.35618846694796064,0.05247278750591576,0.30371567944204486,0.1473174804213469,0.4979224376731302,0.17747747747747747,0.3204449601956527,0.6417018284106891,0.8628135352579271,-0.22111170684723802
3,0.8338059550334211,0.3993411420204978,0.6268404671870063,0.29776200873362446,"[[15375   709]
 [ 2573  1091]]",0.370118237190971,0.04523205755735095,0.32488617963362004,0.12220975086405275,0.5107564191533657,0.15969410706252812,0.35106231209083755,0.6409888928699391,0.8655422539364275,-0.22455336106648838
4,0.8288940652217947,0.3465480564687681,0.60327671102259,0.2445414847161572,"[[15473   611]
 [ 2768   896]]",0.26334393778720394,0.04503812282049766,0.21830581496670629,0.17102395900562134,0.3917309039943938,0.1506481895395619,0.2410827144548319,0.6274301873453517,0.8625805307642296,-0.23515034341887786
5,0.8395280534737695,0.46694701429772917,0.6616499730128617,0.37882096069869,"[[15191   893]
 [ 2276  1388]]",0.5039768618944324,0.05223177482039807,0.45174508707403427,0.10363923181723175,0.686482661004954,0.18569524655708575,0.5007874144478683,0.6865509761388287,0.864444706159463,-0.17789373002063436
6,0.8411484707312132,0.4221771965371155,0.6371437371919692,0.31277292576419213,"[[15465   619]
 [ 2518  1146]]",0.36392972391538186,0.04422430567840085,0.319705418236981,0.12151880644045317,0.5479548660084627,0.1642920747996438,0.38366279120881885,0.684833273574758,0.8668553570375612,-0.18202208346280324
7,0.8362365809195867,0.44943820224719105,0.6524637574133182,0.36026200873362446,"[[15194   890]
 [ 2344  1320]]",0.4611231101511879,0.05474366529169122,0.4063794448594967,0.11871811255294161,0.6363636363636364,0.18352730528200537,0.452836331081631,0.6792656587473002,0.8619328226281674,-0.18266716388086723
8,0.8385659307271622,0.4449860724233984,0.6494679542663028,0.3487991266375546,"[[15282   802]
 [ 2386  1278]]",0.4067245119305857,0.05623601460369803,0.35048849732688764,0.13826561457229222,0.6004350978970269,0.19693654266958424,0.4034985552274426,0.6934201012292118,0.8622070427511482,-0.1687869415219364
9,0.8300081020862872,0.38414969730324705,0.6198724097505564,0.2857532751091703,"[[15344   740]
 [ 2617  1047]]",0.3202846975088968,0.052367457787223994,0.2679172397216728,0.1635028404245549,0.45830363506771205,0.17868199911543564,0.2796216359522764,0.6380782918149466,0.8618490967056323,-0.22377080489068568
10,0.8251974883532509,0.3153510511701706,0.5903643901721204,0.2169759825327511,"[[15501   583]
 [ 2869   795]]",0.26347517730496456,0.03751181474480151,0.22596336256016306,0.14237324035039065,0.37686302342086586,0.11707317073170732,0.25978985268915855,0.6134751773049646,0.8604678638941399,-0.24699268658917528
11,0.8345148875835527,0.369841881989973,0.6133660387224713,0.261735807860262,"[[15521   563]
 [ 2705   959]]",0.3138505136379738,0.03757754800590842,0.2762729656320654,0.11973072011363373,0.44475721323011963,0.14578689255461436,0.2989703206755053,0.630534891958909,0.8685376661742984,-0.2380027742153894
12,0.8364391330767673,0.42156160458452724,0.6375193240400561,0.3212336244541485,"[[15341   743]
 [ 2487  1177]]",0.4264069264069264,0.04347313854853911,0.3829337878583873,0.10195223355038106,0.5902228612508986,0.15662120545534536,0.43360165579555326,0.6641414141414141,0.8645735155513666,-0.2004321014099525
13,0.8402369860239012,0.45197151294076776,0.6529174684978101,0.3550764192139738,"[[15292   792]
 [ 2363  1301]]",0.42089879430032884,0.055317147727940746,0.3655816465723881,0.131426244211262,0.6184681460272011,0.19276576973974416,0.425702376287457,0.7000365363536719,0.8627946622773499,-0.162758125923678
14,0.8335021267976503,0.40109289617486343,0.6277077072986906,0.30049126637554585,"[[15359   725]
 [ 2563  1101]]",0.3236749116607774,0.05378886393190684,0.26988604772887054,0.16618175210403532,0.4626038781163435,0.19504504504504505,0.26755883307129846,0.6381625441696113,0.8661780352287505,-0.2280154910591392
15,0.8296029977719263,0.3282092233978838,0.5959140956485003,0.22434497816593887,"[[15561   523]
 [ 2842   822]]",0.2762631770265358,0.03441783844207801,0.24184533858445778,0.1245835178344166,0.3932905067808708,0.11975254087494476,0.27353796590592605,0.6150490730643402,0.8643289992351592,-0.24927992617081896
16,0.8288940652217947,0.31167243837848846,0.5894724435252044,0.2087882096069869,"[[15604   480]
 [ 2899   765]]",0.2439648866130212,0.03397202303984954,0.20999286357317168,0.13924964166559017,0.37230081906180196,0.11417492460146489,0.25812589446033707,0.6305779078273592,0.8607617256377101,-0.2301838178103509
17,0.8361353048409965,0.4437951185974562,0.6493456772794358,0.3523471615720524,"[[15221   863]
 [ 2373  1291]]",0.4085014409221902,0.06009898656610888,0.3484024543560813,0.1471206231988697,0.5745276417074877,0.21029082774049218,0.36423681396699553,0.6682276657060519,0.8635988687249587,-0.19537120301890687
