seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8188677334413611,0.29210370077181874,0.5804721038782201,0.20141921397379914,"[[15433   651]
 [ 2926   738]]",0.14518464880521362,0.058165548098434,0.08701910070677962,0.400631530792705,0.21172161172161172,0.19530230535015225,0.01641930637145947,0.5698769007965243,0.8593547627457907,-0.2894778619492664
1,0.7989669839983796,0.369240546552272,0.6129344549195327,0.3171397379912664,"[[14616  1468]
 [ 2502  1162]]",0.2384966631541974,0.11543695639311283,0.12305970676108458,0.48401916767480446,0.3294279807029635,0.30908269317668324,0.02034528752628023,0.5876361081840534,0.8345660020117153,-0.24692989382766184
2,0.8202855985416244,0.14296063752716734,0.5347663033267485,0.08078602620087336,"[[15903   181]
 [ 3368   296]]",0.06364275668073137,0.017510648367250355,0.04613210831348101,0.27513969036718233,0.09903047091412742,0.06891891891891892,0.0301115519952085,0.5291842475386779,0.8692617132039754,-0.3400774656652975
3,0.817956248734049,0.2048219420482194,0.5509341174445515,0.1263646288209607,"[[15690   394]
 [ 3201   463]]",0.09960587603009674,0.0341451907766704,0.06546068525342634,0.3428029764665003,0.1450381679389313,0.1142600089968511,0.03077815894208019,0.533858831959871,0.8647166361974405,-0.3308578042375695
4,0.820083046384444,0.299625468164794,0.5835364608729933,0.2074235807860262,"[[15435   649]
 [ 2904   760]]",0.16083421703782255,0.056386311247709674,0.10444790579011287,0.35058653740608936,0.23545900490539592,0.1895395619132767,0.045919442992119225,0.5722870272180983,0.8615166380991784,-0.2892296108810801
5,0.823070690702856,0.2789929839042509,0.5765189903660802,0.18449781659388648,"[[15578   506]
 [ 2988   676]]",0.20679681851048445,0.03592038629136733,0.17087643221911714,0.17369893091245112,0.2823779193205945,0.12305641936916926,0.1593214999514252,0.5708604483007954,0.8641502767636321,-0.2932898284628367
6,0.8163358314766053,0.2688973997177988,0.5714360619303243,0.1820414847161572,"[[15454   630]
 [ 2997   667]]",0.11652922194334887,0.0573147001592075,0.059214521784141376,0.4918483038277837,0.17207334273624825,0.18833481745325023,-0.016261474717001984,0.5500179275726067,0.8601332625744442,-0.3101153350018375
7,0.8124873404901762,0.3184244432173753,0.5899379309389895,0.23608078602620086,"[[15180   904]
 [ 2799   865]]",0.2228221742260619,0.06776664702416028,0.15505552720190163,0.304128829455763,0.3,0.19516562220232767,0.10483437779767232,0.5712742980561555,0.8519740718915734,-0.2806997738354179
8,0.8197285801093782,0.3148575827559661,0.5894306664031302,0.2232532751091703,"[[15370   714]
 [ 2846   818]]",0.19305856832971802,0.0587681074078436,0.1342904609218744,0.3044055900563584,0.2886149383611313,0.1838074398249453,0.10480749853618598,0.5961677512653651,0.8561417971970322,-0.25997404593166706
9,0.8162851934373101,0.2316814908936891,0.5587598446040384,0.14929039301310043,"[[15573   511]
 [ 3117   547]]",0.07935943060498221,0.049297437714015825,0.030061992890966387,0.6211919281452218,0.11617961511047754,0.16983635559486954,-0.05365674048439199,0.5373665480427047,0.8625575628763726,-0.32519101483366797
