seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.816690297751671,0.3505561535701472,0.604320256698186,0.26664847161572053,"[[15151   933]
 [ 2687   977]]",0.19949312092686458,0.08000706464146945,0.11948605628539513,0.40105174689607737,0.2937728937728938,0.2505437146585472,0.043229179114346594,0.5966690803765388,0.8524667373130813,-0.25579765693654255
1,0.8075754506785497,0.34119278779472956,0.5994622663331917,0.2685589519650655,"[[14964  1120]
 [ 2680   984]]",0.19810326659641728,0.09111886870599373,0.10698439789042355,0.4599564170318513,0.28256374913852517,0.2593764121102576,0.023187337028267585,0.5802599227256762,0.845867108455121,-0.26560718572944486
2,0.8191209236378367,0.257689110556941,0.5681931594934455,0.16921397379912664,"[[15556   528]
 [ 3044   620]]",0.11779184247538678,0.04809512541410317,0.06969671706128361,0.40830607963495347,0.17659279778393353,0.16441441441441443,0.012178383369519097,0.5537974683544303,0.863760056791292,-0.30996258843686164
3,0.8180068867733441,0.2852028639618138,0.5777307305315217,0.1956877729257642,"[[15437   647]
 [ 2947   717]]",0.15048369759942673,0.055670224685970396,0.09481347291345633,0.3699418978536747,0.22137404580152673,0.17903733693207377,0.042336708869452955,0.5618058043711931,0.8601757386330129,-0.2983699342618198
4,0.8202855985416244,0.27792472024415055,0.575546849292307,0.18640829694323144,"[[15516   568]
 [ 2981   683]]",0.16684340756451044,0.046042910337490396,0.12080049722702005,0.2759648164083905,0.24106517168885774,0.15154224407688868,0.08952292761196906,0.5719335454224107,0.8618121638394705,-0.28987861841705975
5,0.8150192424549322,0.3175789277040912,0.5899116293389834,0.23198689956331878,"[[15245   839]
 [ 2814   850]]",0.19486623282718726,0.06771876104110235,0.12714747178608493,0.34751408727215044,0.27317763623496105,0.20613060861839183,0.06704702761656922,0.5733911785972523,0.8543752208220469,-0.28098404222479456
6,0.817500506380393,0.27919999999999995,0.5754177169206643,0.19050218340611352,"[[15446   638]
 [ 2966   698]]",0.14628899247041952,0.054720207559407985,0.09156878491101153,0.37405553647840406,0.21297602256699577,0.176313446126447,0.036662576440548766,0.5618501254930083,0.8595436051653988,-0.29769347967239057
7,0.817095402066032,0.21750433275563255,0.5545153093638312,0.13700873362445415,"[[15634   450]
 [ 3162   502]]",0.10979121670266379,0.03812610489098409,0.0716651118116797,0.3472600635644387,0.15314685314685314,0.12667860340196957,0.02646824974488357,0.5331173506119511,0.8635827931644078,-0.3304654425524567
8,0.8135507393153737,0.3214154072981939,0.5913283862342787,0.23799126637554585,"[[15194   890]
 [ 2792   872]]",0.19052783803326104,0.0727240607702273,0.11780377726303373,0.381697821803508,0.27918781725888325,0.21312910284463896,0.0660587144142443,0.589298626174982,0.8500765516429161,-0.2607779254679341
9,0.8160826412801296,0.2724358974358974,0.5726505170996373,0.185589519650655,"[[15436   648]
 [ 2984   680]]",0.10604982206405694,0.060810012988546464,0.04523980907551048,0.5734098540195153,0.15466856735566642,0.20477664750110572,-0.0501080801454393,0.5491103202846975,0.86037312551659,-0.3112628052318924
10,0.8196273040307879,0.23232758620689656,0.5599685643276727,0.1471069868995633,"[[15647   437]
 [ 3125   539]]",0.11382978723404255,0.03869328922495274,0.07513649800908981,0.3399223539388372,0.1646557842441448,0.1361419068736142,0.0285138773705306,0.551063829787234,0.8643667296786389,-0.3133028998914049
11,0.8066639659712376,0.31527977044476324,0.5878382148197944,0.23990174672489084,"[[15051  1033]
 [ 2785   879]]",0.21856181367339708,0.07651403249630724,0.14204778117708983,0.35007960087046247,0.3166783954961295,0.1912617030762372,0.12541669241989228,0.5968827488487425,0.8416543574593797,-0.24477160861063718
12,0.8180068867733441,0.3272182703107451,0.594274776310831,0.23853711790393012,"[[15280   804]
 [ 2790   874]]",0.20202020202020202,0.06585768143261074,0.13616252058759126,0.32599552309142316,0.27677929547088426,0.21513418389793224,0.06164511157295202,0.573953823953824,0.8578581526861452,-0.2839043287323212
13,0.8168928499088516,0.33456017666543986,0.5972790299073966,0.248089519650655,"[[15223   861]
 [ 2755   909]]",0.2111801242236025,0.07007230615484099,0.1411078180687615,0.3318129791449823,0.2992125984251969,0.21658579620644022,0.08262680221875665,0.5838509316770186,0.8543883369584386,-0.27053740528142
14,0.822260482074134,0.2762886597938144,0.5753893451302062,0.18286026200873362,"[[15568   516]
 [ 2994   670]]",0.1558303886925795,0.04403593805414351,0.11179445063843599,0.28258889953112504,0.2389196675900277,0.1463963963963964,0.0925232711936313,0.5777385159010601,0.8631634945028963,-0.28542497860183624
15,0.8180575248126393,0.330787856211585,0.595781128333889,0.2423580786026201,"[[15267   817]
 [ 2776   888]]",0.20537986186841148,0.06707065952815203,0.13830920234025945,0.32656882187955083,0.2926481084939329,0.21122403888643393,0.08142406960749898,0.5834242093784079,0.8560334176619403,-0.2726092082835324
16,0.8135001012760786,0.2788329743489328,0.5744371253973408,0.1943231441048035,"[[15353   731]
 [ 2952   712]]",0.15801024140453548,0.05942165275655343,0.09858858864798206,0.37606203388059506,0.22040208488458674,0.17923308918569583,0.0411689956988909,0.5673006583760059,0.8530621840836958,-0.28576152570769
17,0.8194753899129026,0.17951668584579977,0.5441742668675045,0.1064410480349345,"[[15793   291]
 [ 3274   390]]",0.08285302593659942,0.026573179354230498,0.056279846582368925,0.32072672124932117,0.11196641007697691,0.1029082774049217,0.009058132672055214,0.5176512968299711,0.8688427999057271,-0.351191503075756
18,0.8120315981365201,0.2902485659655832,0.5784882844867937,0.20715065502183405,"[[15277   807]
 [ 2905   759]]",0.1567489114658926,0.06673728813559322,0.09001162333029937,0.4257591807909605,0.22805755395683452,0.1943711521547933,0.033686401802041216,0.5689404934687954,0.8514595103578154,-0.28251901688902004
19,0.8135507393153737,0.3052830188679245,0.5846896927050017,0.22079694323144106,"[[15257   827]
 [ 2855   809]]",0.15971731448763252,0.06998463175316232,0.0897326827344702,0.4381781147377198,0.2177650429799427,0.222663139329806,-0.004898096349863296,0.5618374558303887,0.8556566970091027,-0.29381924117871405
