seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8131962730403078,0.0037807183364839316,0.49996046275611994,0.001910480349344978,"[[16052    32]
 [ 3657     7]]",0.001448225923244026,0.0020605204285882492,-0.0006122945053442233,1.4227893559401863,0.0007326007326007326,0.0026098303610265334,-0.0018772296284258008,0.5050687907313541,0.863299187566231,-0.3582303968348769
1,0.8136013773546689,0.31845954452879094,0.590094959975413,0.23471615720524017,"[[15207   877]
 [ 2804   860]]",0.1703547593958553,0.07407845689604166,0.09627630249981363,0.43484817893408373,0.2405237767057202,0.23090826931766834,0.009615507388051864,0.5651563048823323,0.855452340098219,-0.29029603521588676
2,0.8163358314766053,0.07261569930963947,0.5161136158530162,0.03875545851528384,"[[15979   105]
 [ 3522   142]]",0.013713080168776372,0.012304779933743492,0.0014083002350328798,0.89730241362991,0.018698060941828253,0.0518018018018018,-0.03310374085997354,0.49753867791842477,0.869971604353999,-0.37243292643557424
3,0.7316690297751671,0.10171215460247499,0.4807859176007184,0.08187772925764192,"[[14149  1935]
 [ 3364   300]]",0.01827302042278753,0.12879636728194846,-0.11052334685916093,7.048444334978787,0.02220680083275503,0.12055780476833108,-0.09835100393557605,0.4883554281619491,0.7717166951701362,-0.2833612670081871
4,0.8085882114644521,0.07939600584510474,0.5135702341636539,0.04448689956331878,"[[15805   279]
 [ 3501   163]]",0.04029692470837752,0.01938648856315385,0.02091043614522367,0.4810910188172126,0.05746320953048353,0.03620920876173447,0.021254000768749066,0.513255567338282,0.8579703292156747,-0.3447147618773927
5,0.8176524204982784,0.28309775034839735,0.5768808664446156,0.19405021834061134,"[[15436   648]
 [ 2953   711]]",0.14931308749096167,0.05570604169120245,0.09360704579975923,0.37308210972848904,0.21939136588818117,0.17814304753442914,0.041248318353752034,0.5639913232104121,0.8589683193970086,-0.29497699618659645
6,0.8143609479440956,0.0010899182561307902,0.500148578586873,0.0005458515283842794,"[[16080     4]
 [ 3662     2]]",0.0010756543564001434,0.0001768972227136034,0.0008987571336865401,0.16445545138274661,0.0014104372355430183,0.0,0.0014104372355430183,0.49193259232699893,0.867386048705702,-0.3754534563787031
7,0.8153230706907029,0.35961369622475853,0.6084335893762984,0.2794759825327511,"[[15077  1007]
 [ 2640  1024]]",0.31317494600431967,0.06841484973482616,0.24476009626949352,0.21845569260154835,0.4461538461538462,0.1727842435094002,0.273369602644446,0.6313894888408927,0.8454331172657631,-0.21404362842487035
8,0.8060563094996962,0.23522364217252398,0.5569061078356097,0.1607532751091703,"[[15329   755]
 [ 3075   589]]",0.1399132321041215,0.05635378636203039,0.08355944574209109,0.4027766746185427,0.21537345902828137,0.12778993435448577,0.0875835246737956,0.5762834417932032,0.8434813331763044,-0.2671978913831011
9,0.8143103099048005,0.004344284550638067,0.5007497483191411,0.002183406113537118,"[[16073    11]
 [ 3656     8]]",0.005338078291814947,0.0002361553902467824,0.005101922901568165,0.0442397764395639,0.004989308624376337,0.0004422821760283061,0.004547026448348031,0.500355871886121,0.8663950879678829,-0.36603921608176193
10,0.7885355479035852,0.23684210526315785,0.5523672661757215,0.17685589519650655,"[[14924  1160]
 [ 3016   648]]",0.14645390070921985,0.0824078449905482,0.06404605571867164,0.562687948845874,0.19091554293825408,0.16807095343680709,0.022844589501446994,0.5446808510638298,0.8291587901701323,-0.2844779391063025
11,0.8083350212679765,0.2832796818784321,0.5750598115352913,0.20414847161572053,"[[15215   869]
 [ 2916   748]]",0.2132483173928445,0.05997045790251108,0.15327785949033343,0.2812235924564597,0.29908515130190005,0.1440035666518056,0.15508158465009445,0.5844845908607864,0.845672082717873,-0.26118749185708656
12,0.8105630949969617,0.06638382830047418,0.5116213365095258,0.036299126637554587,"[[15874   210]
 [ 3531   133]]",0.023448773448773448,0.016376060320452402,0.007072713128321046,0.6983759878199086,0.038820992092020126,0.034755829300483945,0.004065162791536181,0.5137085137085137,0.8590362865221489,-0.34532777281363525
13,0.8096009722503544,0.17107583774250443,0.537901589797667,0.10589519650655022,"[[15600   484]
 [ 3276   388]]",0.07088052612349288,0.03985656340015284,0.031023962723340043,0.5623062578671046,0.10236220472440945,0.10807234230260256,-0.0057101375781931085,0.5232005845816587,0.8556816177767327,-0.33248103319507394
14,0.8148673283370468,0.09504950495049505,0.5204809032057679,0.05240174672489083,"[[15900   184]
 [ 3472   192]]",0.01519434628975265,0.0196831776805769,-0.00448883139082425,1.2954277403728518,0.025623268698060944,0.06981981981981981,-0.04419655112175887,0.5007067137809187,0.8674193167041021,-0.3667126029231834
15,0.8067146040105327,0.18631421871669152,0.541293070821419,0.11926855895196506,"[[15494   590]
 [ 3227   437]]",0.11414031261359506,0.04194857916102842,0.07219173345256663,0.3675176473630229,0.15060670949321914,0.09986743261157756,0.05073927688164158,0.529989094874591,0.8515032064481968,-0.32151411157360577
16,0.8121328742151104,0.125,0.5264946707189004,0.07232532751091703,"[[15773   311]
 [ 3399   265]]",0.05888807607900512,0.0243916774421065,0.034496398636898615,0.4142040132094359,0.07520476545048399,0.07065919862128393,0.004545566829200057,0.5237746891002194,0.8584694957094158,-0.33469480660919637
17,0.8283876848288434,0.38415409776485554,0.6199313932096667,0.2884825327510917,"[[15302   782]
 [ 2607  1057]]",0.27737752161383283,0.06298609474428471,0.21439142686954812,0.22707714157160308,0.3939818054583625,0.22102908277404923,0.17295272268431325,0.6134726224783862,0.863539948149894,-0.2500673256715078
19,0.8135001012760786,0.0027078256160303275,0.49993623134656595,0.0013646288209606986,"[[16060    24]
 [ 3659     5]]",0.0007067137809187279,0.0015959333254521812,-0.0008892195445334533,2.2582456555148362,0.0007163323782234957,0.001763668430335097,-0.0010473360521116013,0.5067137809187279,0.8648185364700319,-0.35810475555130405
20,0.8208932550131659,0.24824654622741765,0.5654876581354006,0.15938864628820962,"[[15627   457]
 [ 3080   584]]",0.14905933429811866,0.03703485633537447,0.11202447796274419,0.2484571429878035,0.21751824817518248,0.12467306015693112,0.09284518801825135,0.5709117221418234,0.8615756005652379,-0.29066387842341446
