seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7989163459590845,0.14803690195237074,0.5268111044201348,0.09415938864628821,"[[15432   652]
 [ 3319   345]]",0.09884141926140477,0.04262333686565407,0.056218082395750706,0.43122951070672727,0.12893772893772895,0.07351022183558069,0.05542750710214826,0.5343953656770456,0.8419286471211586,-0.30753328144411296
1,0.8191715616771319,0.16506897357961187,0.5400888308541729,0.09634279475982532,"[[15824   260]
 [ 3311   353]]",0.08324552160168598,0.02224720430743743,0.06099831729424855,0.267248061870356,0.12267401791867677,0.07907817442385902,0.04359584349481775,0.5321390937829295,0.8675226317969351,-0.33538353801400567
2,0.8147660522584566,0.150092936802974,0.534222997114494,0.08815502183406114,"[[15767   317]
 [ 3341   323]]",0.034458509142053444,0.03206341694273545,0.002395092199317994,0.9304934467871391,0.05055401662049862,0.11261261261261261,-0.062058595992113996,0.509142053445851,0.8661855182205395,-0.3570434647746885
3,0.8079299169536156,0.2610559127216053,0.5665917823348816,0.18286026200873362,"[[15285   799]
 [ 2994   670]]",0.1909709781440344,0.05519844312083505,0.13577253502319936,0.28904100328377225,0.2630117973629424,0.13090418353576247,0.13210761382717992,0.5643138659978503,0.8480273633307779,-0.2837134973329276
4,0.8107656471541422,0.018387181507748884,0.5014188270857474,0.00955240174672489,"[[15976   108]
 [ 3629    35]]",0.012371862849063274,0.006383355990306756,0.0059885068587565175,0.515957545616509,0.01051156271899089,0.008940545373267769,0.0015710173457231212,0.4938140685754684,0.8637626337253975,-0.36994856514992913
5,0.8223111201134292,0.35602862910625804,0.6070332582544262,0.26473799126637554,"[[15269   815]
 [ 2694   970]]",0.259942154736081,0.06277234719114357,0.19716980754493746,0.2414858307798374,0.38145789101203115,0.19147045757441136,0.18998743343761978,0.618944323933478,0.855435166647038,-0.23649084271356002
6,0.8081831071500911,0.22788422339991843,0.555050470564471,0.15256550218340612,"[[15401   683]
 [ 3105   559]]",0.1330225887414844,0.05135916032784952,0.08166342841363489,0.38609352602256686,0.19887165021156558,0.12333036509349955,0.07554128511806603,0.560774471136608,0.8488708060616782,-0.28809633492507014
7,0.8099048004861252,0.2972669412205166,0.580870802196764,0.21670305676855894,"[[15200   884]
 [ 2870   794]]",0.23650107991360692,0.06016499705362404,0.17633608285998287,0.2543962889116706,0.3174825174825175,0.1521933751119069,0.1652891423706106,0.5755939524838013,0.8482616381850324,-0.2726676857012311
8,0.8219566538383634,0.2531860662701784,0.5674049938695213,0.16266375545851527,"[[15636   448]
 [ 3068   596]]",0.17968185104844542,0.032210575903898246,0.14747127514454716,0.17926449285751014,0.27628716461203773,0.09409190371991247,0.18219526089212526,0.5972523499638467,0.8585561182428454,-0.2613037682789987
9,0.8140064816690298,0.04819901528893496,0.509520195013298,0.025382096069868996,"[[15982   102]
 [ 3571    93]]",0.0071174377224199285,0.01033179832329673,-0.003214360600876801,1.4516176644231906,0.008553100498930863,0.03582485625829279,-0.02727175575936193,0.502135231316726,0.8657456606447043,-0.36361042932797827
