seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8229187765849706,0.28384190047102187,0.5782171234751181,0.18913755458515283,"[[15558   526]
 [ 2971   693]]",0.17414916727009414,0.04344754503708937,0.13070162223300477,0.24948465570154021,0.2542124542124542,0.15050021748586342,0.10371223672659077,0.5829109341057205,0.8619451312845873,-0.2790341971788668
1,0.8223111201134292,0.27514976244577566,0.5749989275734707,0.18176855895196506,"[[15573   511]
 [ 2998   666]]",0.192483315770987,0.03721673273770783,0.15526658303327917,0.1933504344968142,0.2708476912474156,0.12336195210122006,0.14748573914619553,0.5739374780470671,0.864150050292882,-0.290212572245815
2,0.8416042130848693,0.4485190409026798,0.6507009053994912,0.3471615720524017,"[[15348   736]
 [ 2392  1272]]",0.40471167369901545,0.0506980596308566,0.35401361406815884,0.12526957566477515,0.5914127423822715,0.18828828828828828,0.40312445409398323,0.6881153305203939,0.8674278277330809,-0.17931249721268705
3,0.8327931942475187,0.40050835148874364,0.6274832443536065,0.3010371179039301,"[[15343   741]
 [ 2561  1103]]",0.34324614833393047,0.052249808338739163,0.2909963399951913,0.15222256270712006,0.4857737682165163,0.18128654970760233,0.30448721850891397,0.6420637764242207,0.8641858819366633,-0.2221221055124426
4,0.8339578691513064,0.40865644724977457,0.6313595232561803,0.30922489082969434,"[[15336   748]
 [ 2531  1133]]",0.3280311063980205,0.05632720609965128,0.2717039002983692,0.171713002215424,0.4793272599859846,0.20071524362986143,0.27861201635612315,0.6511134676564156,0.8645310006501566,-0.213417532993741
5,0.8294004456147458,0.3886771910724007,0.6220283943249904,0.2923034934497817,"[[15308   776]
 [ 2593  1071]]",0.2989877078814172,0.06006359674949947,0.23892411113191775,0.2008898532153755,0.43736730360934184,0.20124389160373168,0.23612341200561016,0.6370209689081706,0.8607348957719939,-0.2237139268638233
6,0.8319829856187968,0.3713527851458886,0.6140245968490751,0.26746724890829693,"[[15450   634]
 [ 2684   980]]",0.2778773754033704,0.04947225661890442,0.22840511878446595,0.17803628865822507,0.4026798307475317,0.18210151380231523,0.22057831694521648,0.6231624238078164,0.8663246653694203,-0.24316224156160393
7,0.8219060157990683,0.3367904959456911,0.5986706051417829,0.2437227074235808,"[[15338   746]
 [ 2771   893]]",0.2473002159827214,0.05609899823217442,0.19120121775054696,0.22684573084276644,0.33426573426573425,0.18576544315129812,0.14850029111443613,0.58207343412527,0.8611667648791986,-0.2790933307539286
8,0.83122341502937,0.3524383135807266,0.6058658405271885,0.24754366812227074,"[[15508   576]
 [ 2757   907]]",0.28633405639913234,0.04069014250382758,0.24564391389530477,0.1421072401080645,0.4278462654097172,0.1387308533916849,0.2891154120180323,0.6417208966015907,0.862089270992816,-0.22036837439122525
9,0.8177030585375734,0.3283582089552239,0.5947205120714503,0.24017467248908297,"[[15268   816]
 [ 2784   880]]",0.2106761565836299,0.06517888770811193,0.14549726887551795,0.30937951766857186,0.2993585174625802,0.2034498009730208,0.0959087164895594,0.5889679715302492,0.8556500177116543,-0.2666820461814051
10,0.8338565930727162,0.38798731579929113,0.6214973735052547,0.2838427947598253,"[[15427   657]
 [ 2624  1040]]",0.34645390070921983,0.04253308128544423,0.3039208194237756,0.12276692858234671,0.49325762952448543,0.15299334811529933,0.3402642814091861,0.6468085106382979,0.8650165406427222,-0.21820803000442424
11,0.8351225440550942,0.4214641080312722,0.6376594521773788,0.32368995633187775,"[[15306   778]
 [ 2478  1186]]",0.37690400283386466,0.053175775480059084,0.3237282273538056,0.14108572761297633,0.5383532723434201,0.1876950512706197,0.3506582210728004,0.6617074034714843,0.8640472673559823,-0.20233986388449798
