seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8184626291270002,0.2163934426229508,0.5546170201963707,0.13509825327510916,"[[15668   416]
 [ 3169   495]]",0.10499637943519188,0.03655951960438008,0.0684368598308118,0.34819790740447515,0.15604395604395604,0.12266202696824706,0.033381929075708985,0.555032585083273,0.8612975391498882,-0.30626495406661514
1,0.8090945918574033,0.41020025031289115,0.6348528508626653,0.3578056768558952,"[[14667  1417]
 [ 2353  1311]]",0.38321039690902703,0.09685817407254009,0.2863522228364869,0.25275455690606935,0.5093039283252929,0.2584726615454135,0.25083126677987944,0.6262732701088866,0.8398911307023254,-0.2136178605934388
2,0.820488150698805,0.14143860498910146,0.5344691461530023,0.07969432314410481,"[[15911   173]
 [ 3372   292]]",0.06786216596343178,0.01609086606720303,0.05177129989622875,0.23711100049287784,0.1018005540166205,0.06531531531531531,0.036485238701305184,0.5277777777777778,0.8697349739706578,-0.34195719619288
3,0.811120113429208,0.33392857142857146,0.5964749136357268,0.25518558951965065,"[[15083  1001]
 [ 2729   935]]",0.21031888212110356,0.0795541664209471,0.13076471570015646,0.37825498889414544,0.2907702984038862,0.2321187584345479,0.05865153996933828,0.5736295234682909,0.8502093530695288,-0.27657982960123795
4,0.8202349605023294,0.12776412776412777,0.5309416773728318,0.07096069868995633,"[[15938   146]
 [ 3404   260]]",0.04772004241781548,0.016017495123825286,0.03170254729399019,0.33565550892816104,0.07147862648913805,0.07063030844881538,0.0008483180403226764,0.519971721456345,0.8704415154559962,-0.3504697939996513
5,0.8193234757950172,0.21857205431449847,0.5555670000510421,0.13618995633187772,"[[15681   403]
 [ 3165   499]]",0.14895155459146783,0.028854080791426217,0.12009747380004161,0.19371453269195366,0.21231422505307856,0.08840515326521546,0.1239090717878631,0.5571221981200289,0.8620303851136497,-0.30490818699362077
6,0.8203868746202148,0.2789184793657248,0.5759251511442655,0.18722707423580787,"[[15515   569]
 [ 2978   686]]",0.16242380781642166,0.04729052420543664,0.11513328361098502,0.2911551258476,0.23624823695345556,0.15627782724844166,0.0799704097050139,0.5693797059878093,0.8616663718379621,-0.29228666585015284
7,0.8202855985416244,0.19064994298745724,0.5476221860342373,0.11408296943231441,"[[15781   303]
 [ 3246   418]]",0.12742980561555076,0.021626399528579848,0.1058034060869709,0.16971225392766898,0.16993006993006993,0.0783348254252462,0.09159524450482373,0.5327573794096472,0.8673541543901002,-0.33459677498045304
8,0.8006886773344136,0.385,0.621367732070386,0.33624454148471616,"[[14580  1504]
 [ 2432  1232]]",0.34273318872017355,0.1052879519491226,0.23744523677105095,0.30720092309206026,0.47860768672951415,0.25032822757111595,0.2282794591583982,0.6359363702096891,0.8275232599222706,-0.19158688971258153
9,0.8140571197083248,0.24069478908188582,0.561080188725349,0.15884279475982532,"[[15494   590]
 [ 3082   582]]",0.08647686832740213,0.05484708938481521,0.03162977894258692,0.6342400048202911,0.1247327156094084,0.18000884564352057,-0.055276130034112164,0.5387900355871886,0.8597236981934112,-0.3209336626062226
10,0.806866518128418,0.26512524084778416,0.5678357292337499,0.18777292576419213,"[[15246   838]
 [ 2976   688]]",0.16312056737588654,0.0629725897920605,0.10014797758382604,0.38604935481219693,0.22356281050390348,0.16541019955654102,0.05815261094736246,0.5606382978723404,0.8478851606805293,-0.2872468628081889
11,0.821348997366822,0.26438698915763137,0.5710362436726834,0.1730349344978166,"[[15586   498]
 [ 3030   634]]",0.21501948281969535,0.0310192023633678,0.18400028045632755,0.14426228710343872,0.30612244897959184,0.08872046366473473,0.2174019853148571,0.589798087141339,0.859970457902511,-0.27017237076117206
12,0.811525217743569,0.3254802464661109,0.5928246927430119,0.2450873362445415,"[[15128   956]
 [ 2766   898]]",0.26731601731601734,0.0655631479736098,0.20175286934240755,0.245264569747431,0.3601725377426312,0.17465904091509019,0.185513496827541,0.5923520923520924,0.8473138548539114,-0.254961762501819
