seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.839274863277294,0.44060627423334503,0.6469526389294632,0.3411572052401747,"[[15324   760]
 [ 2414  1250]]",0.46451846488052134,0.042799952902390206,0.42171851197813115,0.09213832417490395,0.652014652014652,0.156589821661592,0.49542483035306006,0.6857349746560464,0.8642411397621571,-0.17850616510611073
1,0.843173992303018,0.4494222222222222,0.6508215873215836,0.34497816593886466,"[[15387   697]
 [ 2400  1264]]",0.4868282402528978,0.03402165552334181,0.452806584729556,0.06988430972218913,0.6595451412818746,0.13872571170356982,0.5208194295783047,0.6757990867579908,0.8713685580734868,-0.19556947131549596
2,0.8432246303423131,0.43441724515893315,0.6429494675334406,0.32450873362445415,"[[15463   621]
 [ 2475  1189]]",0.47151898734177217,0.027744912446758165,0.443774074895014,0.058841559283057586,0.646814404432133,0.11486486486486487,0.5319495395672681,0.6775668073136427,0.8710955986748699,-0.19352879136122714
3,0.8413510228883938,0.4589880849594198,0.6565519084305215,0.3627183406113537,"[[15286   798]
 [ 2335  1329]]",0.4937298459333572,0.044170549035796425,0.4495592968975608,0.08946299155218275,0.6703678001387925,0.1632928475033738,0.5070749526354187,0.6821927624507345,0.8675473255882526,-0.1853545631375182
4,0.8427688879886571,0.44144630329195894,0.6466739777195921,0.33487991266375544,"[[15416   668]
 [ 2437  1227]]",0.4832096147048427,0.031207518174833027,0.45200209653000967,0.06458381047300851,0.6657323055360898,0.12382655341975861,0.5419057521163312,0.6839872746553552,0.8693185176428867,-0.18533124298753145
5,0.8426169738707717,0.444603288062902,0.64837211082863,0.3395196506550218,"[[15396   688]
 [ 2420  1244]]",0.48770788141720894,0.03433046755388058,0.45337741386332836,0.070391455340277,0.667374380750177,0.13371834740115504,0.5336560333490219,0.6832971800433839,0.8685667177010953,-0.18526953765771137
6,0.8422625075957059,0.46246764452113887,0.6582706076938866,0.36572052401746724,"[[15293   791]
 [ 2324  1340]]",0.49264969523126567,0.04463706586473259,0.4480126293665331,0.0906060965769572,0.6833568406205924,0.1651825467497774,0.518174293870815,0.6937970598780925,0.8666784598148476,-0.1728813999367551
7,0.8375025319019648,0.44758133930108457,0.6511334055162363,0.3548034934497817,"[[15239   845]
 [ 2364  1300]]",0.4791216702663787,0.047967000589275194,0.4311546696771035,0.10011444600826934,0.6461538461538462,0.1683079677708147,0.4778458783830315,0.6713462922966162,0.8647024160282852,-0.193356123731669
8,0.8427688879886571,0.47058823529411764,0.6627965191478363,0.37663755458515286,"[[15263   821]
 [ 2284  1380]]",0.5130151843817787,0.046048757507949595,0.46696642687382917,0.08976100300703917,0.706308919506889,0.17768052516411378,0.5286283943427752,0.6926970354302241,0.8672123424802732,-0.17451530705004914
9,0.8397812436702451,0.43479814219364055,0.6437860959764728,0.33215065502183405,"[[15367   717]
 [ 2447  1217]]",0.4879003558718861,0.03323887117723462,0.4546614846946515,0.0681263515740549,0.6642908054169636,0.12605042016806722,0.5382403852488964,0.6761565836298933,0.8669264375959381,-0.19076985396604484
10,0.8394774154344744,0.4465782122905028,0.650132892652005,0.3490720524017467,"[[15299   785]
 [ 2385  1279]]",0.475177304964539,0.04276937618147448,0.43240792878306455,0.0900071946505657,0.6373314407381121,0.16895787139689578,0.4683735693412163,0.6620567375886525,0.8690335538752363,-0.20697681628658382
11,0.8409459185740328,0.44962326966882776,0.6514559140386336,0.3501637554585153,"[[15324   760]
 [ 2381  1283]]",0.4920297555791711,0.038641063515509604,0.4533886920636615,0.07853399733929706,0.669247009148487,0.14801604993312528,0.5212309592153617,0.6783563584838824,0.8680649926144757,-0.18970863413059325
12,0.8362872189588819,0.4583682358854079,0.6575528964204304,0.37336244541484714,"[[15147   937]
 [ 2296  1368]]",0.5115440115440115,0.0522502356267672,0.4592937759172443,0.10214220956092997,0.6901509705248023,0.17949846018477783,0.5106525103400246,0.6792929292929293,0.8619227144203582,-0.1826297851274289
13,0.8441361150496253,0.47040605643496214,0.6622659734537782,0.373089519650655,"[[15303   781]
 [ 2297  1367]]",0.5275849470222872,0.04138498618540944,0.4861999608368778,0.0784423179982449,0.7186828919112384,0.16012351124834584,0.5585593806628926,0.6956521739130435,0.8680265710422668,-0.1723743971292233
14,0.8395786915130646,0.4593856655290103,0.6572552641210067,0.3673580786026201,"[[15234   850]
 [ 2318  1346]]",0.4734982332155477,0.05059699728100248,0.4229012359345452,0.10685783754122166,0.6558171745152355,0.17972972972972973,0.47608744478550574,0.6855123674911661,0.8653505142451826,-0.17983814675401655
15,0.8408446424954426,0.45519154099497305,0.654555023082963,0.35835152838427947,"[[15292   792]
 [ 2351  1313]]",0.47909850963286077,0.046302288639171615,0.43279622099368914,0.09664461005034986,0.6673804425410421,0.16703490941228458,0.5003455331287575,0.6913849509269356,0.8650350061775608,-0.17365005525062516
16,0.8399331577881305,0.42911323821564024,0.6408234498142394,0.324235807860262,"[[15399   685]
 [ 2476  1188]]",0.46013167520117043,0.03614670271541084,0.4239849724857596,0.07855730144986743,0.6463142218912882,0.13787160706591986,0.5084426148253683,0.6836137527432333,0.8650523098624662,-0.18143855711923285
17,0.8423637836742961,0.45376381821372164,0.65338010515753,0.3528930131004367,"[[15342   742]
 [ 2371  1293]]",0.4722622478386167,0.04265849634692435,0.42960375149169233,0.09032798311141266,0.6431070678796361,0.167337807606264,0.47576926027337213,0.6750720461095101,0.8697266085316993,-0.19465456242218915
18,0.8431233542637229,0.44200288184438036,0.6468915852799006,0.33487991266375544,"[[15423   661]
 [ 2437  1227]]",0.45972423802612483,0.036546610169491525,0.4231776278566333,0.07949680949259562,0.6474820143884892,0.1437994722955145,0.5036825420929747,0.6890420899854862,0.868114406779661,-0.1790723167941748
19,0.8429714401458376,0.447138527366732,0.6496434792666014,0.3422489082969432,"[[15393   691]
 [ 2410  1254]]",0.48197879858657244,0.0343421208180636,0.44763667776850885,0.07125234744510263,0.6583094555873925,0.14770723104056438,0.5106022245468281,0.6742049469964664,0.8712022697718407,-0.1969973227753743
