seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
1,0.8131962730403078,0.23985163816196167,0.5605517132217431,0.15884279475982532,"[[15477   607]
 [ 3082   582]]",0.08359676852827538,0.05626885983077924,0.027327908697496142,0.6730985039421366,0.11853893866299105,0.1852688657930411,-0.06672992713005006,0.5275728837372673,0.8613099816578901,-0.3337370979206228
2,0.8168928499088516,0.08502024291497975,0.5191953488725676,0.04585152838427948,"[[15964   120]
 [ 3496   168]]",0.017580872011251757,0.01407950780880265,0.0035013642024491077,0.8008424041646948,0.02631578947368421,0.05855855855855856,-0.03224276908487435,0.5014064697609001,0.869971604353999,-0.3685651345930989
3,0.8144115859833907,0.0010902153175252113,0.5001796653812028,0.0005458515283842794,"[[16081     3]
 [ 3662     2]]",0.0007165890361877463,0.00017691808692575338,0.0005396709492619929,0.24688919030488887,0.0013879250520471894,0.0,0.0013879250520471894,0.4844141884629165,0.868726779501091,-0.3843125910381745
4,0.8081831071500911,0.05536159600997506,0.5078419832451682,0.030294759825327512,"[[15849   235]
 [ 3553   111]]",0.020501944149876283,0.017022282640818016,0.0034796615090582662,0.8302765101874856,0.03153468815697267,0.029503799731783638,0.0020308884251890313,0.5068928950159067,0.8585613806962586,-0.3516684856803519
5,0.817095402066032,0.2252252252252252,0.5569389593824561,0.14328602620087336,"[[15611   473]
 [ 3139   525]]",0.11207519884309472,0.04051348486632905,0.07156171397676567,0.36148483593634245,0.16843595187544233,0.12749888938249668,0.04093706249294565,0.5491684743311641,0.8607348957719939,-0.3115664214408298
7,0.8061069475389913,0.37668891421129735,0.6167908124811985,0.31577510917030566,"[[14762  1322]
 [ 2507  1157]]",0.31605471562275017,0.0943429581614614,0.22171175746128877,0.29850197923979477,0.45454545454545453,0.2269471799462847,0.22759827459916984,0.6371490280777538,0.8337654684737773,-0.19661644039602355
8,0.806815880089123,0.2470890073021512,0.5612713249979095,0.17085152838427947,"[[15307   777]
 [ 3038   626]]",0.15184381778741865,0.05788481922035096,0.09395899856706769,0.3812128808654542,0.224075416968818,0.1387308533916849,0.0853445635771331,0.5730296456977585,0.8448945942762925,-0.27186494857853405
9,0.8141583957869152,0.0,0.49981347923402136,0.0,"[[16078     6]
 [ 3664     0]]",0.00035587188612099647,0.00029519423780847797,6.06776483125185e-05,0.829495808241823,0.0,0.0,0.0,0.500355871886121,0.8662179714251977,-0.3658620995390768
10,0.7787117682803322,0.25042881646655235,0.5549772672725832,0.19923580786026202,"[[14648  1436]
 [ 2934   730]]",0.13865248226950355,0.10485586011342155,0.03379662215608201,0.7562494258819661,0.16820440028388928,0.21862527716186253,-0.05042087687797325,0.5297872340425532,0.820179584120983,-0.2903923500784298
11,0.8092465059752887,0.26180678032529886,0.567189286811923,0.18231441048034935,"[[15313   771]
 [ 2996   668]]",0.22281261069783917,0.047858197932053176,0.174954412765786,0.21479124445498587,0.3033075299085151,0.10566205974141775,0.19764547016709738,0.5791710945802337,0.8476218611521418,-0.26845076657190803
12,0.8107150091148471,0.012678288431061805,0.5002286033259884,0.006550218340611353,"[[15986    98]
 [ 3640    24]]",0.003968253968253968,0.006538642789820924,-0.002570388821566956,1.6477379830348728,0.005751258087706686,0.007039155301363837,-0.0012878972136571507,0.5,0.8614514608859567,-0.3614514608859567
13,0.8094490581324691,0.16321992439404048,0.5355954315715855,0.10016375545851529,"[[15618   466]
 [ 3297   367]]",0.07782243332115454,0.03644700487919581,0.04137542844195873,0.46833545706271806,0.11954187544738726,0.08822232024702249,0.031319555200364765,0.5337961271465108,0.8538004820410323,-0.3200043548945215
14,0.8100060765647155,0.1386593204775023,0.5290879406044033,0.0824235807860262,"[[15694   390]
 [ 3362   302]]",0.02685512367491166,0.036410923276983094,-0.009555799602071435,1.3558278009718705,0.037396121883656507,0.11171171171171171,-0.0743155898280552,0.5010600706713781,0.861685778460811,-0.3606257077894328
15,0.8052461008709743,0.20504340636626708,0.5466087429640675,0.13537117903930132,"[[15406   678]
 [ 3168   496]]",0.11777535441657579,0.05000882508678002,0.06776652932979577,0.4246119685609007,0.14204139900071378,0.1312417145382236,0.010799684462490189,0.5176299527444566,0.8517973760075307,-0.33416742326307414
16,0.8146141381405712,0.09043478260869565,0.5192717083564561,0.04967248908296943,"[[15905   179]
 [ 3482   182]]",0.03401609363569861,0.015751733866227812,0.018264359769470797,0.46306710097061116,0.05063291139240506,0.04911676001723395,0.0015161513751711098,0.5245062179956108,0.8612319266486423,-0.33672570865303153
17,0.8230200526635608,0.3639672429481347,0.610629756008032,0.27292576419213976,"[[15253   831]
 [ 2664  1000]]",0.2420749279538905,0.06828894650011784,0.17378598145377266,0.2820983861373916,0.3477956613016095,0.2250559284116331,0.12273973288997639,0.6012247838616714,0.8592976667452275,-0.258072882883556
18,0.8145635001012761,0.00543183052688756,0.5011159344663225,0.0027292576419213972,"[[16076     8]
 [ 3654    10]]",0.000362844702467344,0.0010004708097928437,-0.0006376261073254997,2.7572975517890774,0.0,0.0043975373790677225,-0.0043975373790677225,0.49528301886792453,0.8663488700564972,-0.37106585118857266
