iter,acc,f1-score,auc,recall,cm,params
1,0.8394774154344744,0.4702540106951872,0.6636210318860915,0.3840065502183406,"[[15171   913]
 [ 2257  1407]]","{'max_depth': 31, 'learning_rate': 0.2221423901134277, 'n_estimators': 1650}"
2,0.8438829248531496,0.47451849326742807,0.664744941676287,0.3799126637554585,"[[15273   811]
 [ 2272  1392]]","{'max_depth': 30, 'learning_rate': 0.21662331565922432, 'n_estimators': 650}"
3,0.845300789953413,0.4450499545867394,0.6480175652605481,0.3343340611353712,"[[15468   616]
 [ 2439  1225]]","{'max_depth': 3, 'learning_rate': 0.15823860430552075, 'n_estimators': 350}"
4,0.8436803726959692,0.46526935735319586,0.6594571661984189,0.36653930131004364,"[[15318   766]
 [ 2321  1343]]","{'max_depth': 10, 'learning_rate': 0.1521888191981938, 'n_estimators': 850}"
5,0.8438322868138546,0.44987513378523014,0.6509095873845715,0.3441593886462882,"[[15403   681]
 [ 2403  1261]]","{'max_depth': 4, 'learning_rate': 0.07896551676477612, 'n_estimators': 1050}"
6,0.8436297346566741,0.47087045921864285,0.6626927381248445,0.375,"[[15286   798]
 [ 2290  1374]]","{'max_depth': 7, 'learning_rate': 0.11606641560458879, 'n_estimators': 1500}"
7,0.8465161028964958,0.4653378020814958,0.6586690005744948,0.35998908296943233,"[[15398   686]
 [ 2345  1319]]","{'max_depth': 50, 'learning_rate': 0.0296192660685174, 'n_estimators': 1400}"
8,0.8462629127000203,0.46398305084745767,0.6579866861640145,0.3586244541484716,"[[15398   686]
 [ 2350  1314]]","{'max_depth': 41, 'learning_rate': 0.1895285855104962, 'n_estimators': 200}"
9,0.8462122746607251,0.4642794143587934,0.6581663515452173,0.35917030567685587,"[[15395   689]
 [ 2348  1316]]","{'max_depth': 38, 'learning_rate': 0.02297868986660416, 'n_estimators': 1450}"
10,0.8461616366214301,0.4677645409950946,0.6601374104184472,0.3643558951965066,"[[15375   709]
 [ 2329  1335]]","{'max_depth': 24, 'learning_rate': 0.1143995088761935, 'n_estimators': 700}"
11,0.8359833907231112,0.35129180853194475,0.6056267165611978,0.23935589519650655,"[[15632   452]
 [ 2787   877]]","{'max_depth': 1, 'learning_rate': 0.07439794089052901, 'n_estimators': 100}"
12,0.8456046181891838,0.4644300017565431,0.6584255665398578,0.36080786026200873,"[[15377   707]
 [ 2342  1322]]","{'max_depth': 30, 'learning_rate': 0.035159348091152454, 'n_estimators': 1550}"
13,0.845300789953413,0.466748123581777,0.6598196870903739,0.36490174672489084,"[[15356   728]
 [ 2327  1337]]","{'max_depth': 36, 'learning_rate': 0.15618499578119666, 'n_estimators': 600}"
14,0.8463641887786105,0.4491648511256354,0.6499349009946688,0.33760917030567683,"[[15477   607]
 [ 2427  1237]]","{'max_depth': 23, 'learning_rate': 0.03132444353580099, 'n_estimators': 200}"
15,0.846617378975086,0.4511686899800688,0.650933343668448,0.33979257641921395,"[[15474   610]
 [ 2419  1245]]","{'max_depth': 45, 'learning_rate': 0.014103205587458678, 'n_estimators': 500}"
16,0.8468199311322666,0.4749175490366256,0.6640189496410223,0.37336244541484714,"[[15355   729]
 [ 2296  1368]]","{'max_depth': 49, 'learning_rate': 0.05902822048243893, 'n_estimators': 1750}"
17,0.839274863277294,0.47117627457514166,0.6642343173231365,0.3859170305676856,"[[15160   924]
 [ 2250  1414]]","{'max_depth': 41, 'learning_rate': 0.2060787434112076, 'n_estimators': 1750}"
18,0.8445412193639862,0.4496235209752599,0.6506071698908241,0.3422489082969432,"[[15424   660]
 [ 2410  1254]]","{'max_depth': 4, 'learning_rate': 0.09416399038559989, 'n_estimators': 700}"
19,0.8459084464249544,0.4555376632671319,0.6534486590052878,0.3474344978165939,"[[15432   652]
 [ 2391  1273]]","{'max_depth': 42, 'learning_rate': 0.04073845502232924, 'n_estimators': 550}"
20,0.8442373911282155,0.47846727704306546,0.6669646949041549,0.38509825327510916,"[[15261   823]
 [ 2253  1411]]","{'max_depth': 35, 'learning_rate': 0.24423997545734005, 'n_estimators': 900}"
21,0.842313145635001,0.473630831643002,0.6647296358419607,0.38236899563318777,"[[15233   851]
 [ 2263  1401]]","{'max_depth': 17, 'learning_rate': 0.22996141229767764, 'n_estimators': 1100}"
22,0.8404901762203767,0.47324414715719065,0.6650857764748174,0.38618995633187775,"[[15183   901]
 [ 2249  1415]]","{'max_depth': 32, 'learning_rate': 0.2443406489168825, 'n_estimators': 1250}"
23,0.8359833907231112,0.4675324675324675,0.6630566843938319,0.3881004366812227,"[[15087   997]
 [ 2242  1422]]","{'max_depth': 15, 'learning_rate': 0.2465545950757, 'n_estimators': 1950}"
24,0.8417561272027547,0.47646171888088457,0.6666005789474255,0.3881004366812227,"[[15201   883]
 [ 2242  1422]]","{'max_depth': 34, 'learning_rate': 0.24928325395228979, 'n_estimators': 1250}"
25,0.8450982377962325,0.47700461617370493,0.6658071530035002,0.3807314410480349,"[[15294   790]
 [ 2269  1395]]","{'max_depth': 35, 'learning_rate': 0.19338225739005485, 'n_estimators': 900}"
26,0.8428701640672474,0.47522408253001863,0.6654930949306535,0.38346069868995636,"[[15240   844]
 [ 2259  1405]]","{'max_depth': 20, 'learning_rate': 0.1815354123284429, 'n_estimators': 1300}"
27,0.8408446424954426,0.472562510488337,0.6645657514207616,0.38427947598253276,"[[15197   887]
 [ 2256  1408]]","{'max_depth': 27, 'learning_rate': 0.24953373368242962, 'n_estimators': 1200}"
28,0.841857403281345,0.47273341212223535,0.6643444786052265,0.38209606986899564,"[[15225   859]
 [ 2264  1400]]","{'max_depth': 46, 'learning_rate': 0.2340806460537039, 'n_estimators': 900}"
29,0.8426676119100669,0.4764953664700927,0.666317132543231,0.3859170305676856,"[[15227   857]
 [ 2250  1414]]","{'max_depth': 27, 'learning_rate': 0.21195781982802736, 'n_estimators': 1100}"
30,0.8447944095604618,0.4721887377303255,0.6630916061311304,0.3741812227074236,"[[15312   772]
 [ 2293  1371]]","{'max_depth': 33, 'learning_rate': 0.175506239075376, 'n_estimators': 800}"
31,0.8403889001417865,0.4730859244399867,0.6650236028861577,0.38618995633187775,"[[15181   903]
 [ 2249  1415]]","{'max_depth': 39, 'learning_rate': 0.22638849107042952, 'n_estimators': 1700}"
32,0.8451488758355277,0.47672826830937715,0.6656274876222974,0.38018558951965065,"[[15297   787]
 [ 2271  1393]]","{'max_depth': 28, 'learning_rate': 0.13244190935894715, 'n_estimators': 1000}"
33,0.8388191209236379,0.4688803604204906,0.6630061513842719,0.38346069868995636,"[[15160   924]
 [ 2259  1405]]","{'max_depth': 46, 'learning_rate': 0.20479232382395476, 'n_estimators': 1950}"
34,0.8434271824994937,0.4730743012951602,0.6640436561762537,0.37882096069869,"[[15268   816]
 [ 2276  1388]]","{'max_depth': 35, 'learning_rate': 0.1436828020538154, 'n_estimators': 1350}"
35,0.845705894267774,0.4729285590728248,0.663229664078001,0.373089519650655,"[[15334   750]
 [ 2297  1367]]","{'max_depth': 12, 'learning_rate': 0.21991951999663262, 'n_estimators': 450}"
36,0.8413510228883938,0.47317975449806626,0.6647712432762929,0.3840065502183406,"[[15208   876]
 [ 2257  1407]]","{'max_depth': 22, 'learning_rate': 0.17332078922664584, 'n_estimators': 1550}"
37,0.8445918574032814,0.4663536776212832,0.6598059763208223,0.3659934497816594,"[[15338   746]
 [ 2323  1341]]","{'max_depth': 19, 'learning_rate': 0.2360583896525596, 'n_estimators': 350}"
38,0.8433765444601985,0.471733561058924,0.6632749367675599,0.376910480349345,"[[15274   810]
 [ 2283  1381]]","{'max_depth': 30, 'learning_rate': 0.16381504691882, 'n_estimators': 950}"
39,0.8442880291675107,0.47712973984016327,0.6661527729963542,0.38291484716157204,"[[15270   814]
 [ 2261  1403]]","{'max_depth': 43, 'learning_rate': 0.197152395244461, 'n_estimators': 1200}"
40,0.8449969617176423,0.4673742822342092,0.660265422850993,0.36653930131004364,"[[15344   740]
 [ 2321  1343]]","{'max_depth': 37, 'learning_rate': 0.09433613657428261, 'n_estimators': 1100}"
41,0.845756532307069,0.4685973482205164,0.6607317247659394,0.36653930131004364,"[[15359   725]
 [ 2321  1343]]","{'max_depth': 49, 'learning_rate': 0.11992461848114534, 'n_estimators': 800}"
42,0.8424144217135913,0.47307822553335593,0.664370305079555,0.38127729257641924,"[[15239   845]
 [ 2267  1397]]","{'max_depth': 33, 'learning_rate': 0.14638871554248103, 'n_estimators': 1850}"
43,0.841047194652623,0.472879932829555,0.6646900985980806,0.38427947598253276,"[[15201   883]
 [ 2256  1408]]","{'max_depth': 39, 'learning_rate': 0.21792408247919265, 'n_estimators': 1450}"
44,0.8387178448450476,0.47207028012597385,0.6649461234631721,0.388646288209607,"[[15139   945]
 [ 2240  1424]]","{'max_depth': 25, 'learning_rate': 0.24834878193748872, 'n_estimators': 1600}"
45,0.8446424954425764,0.4771642808452624,0.6660542522933638,0.38209606986899564,"[[15280   804]
 [ 2264  1400]]","{'max_depth': 8, 'learning_rate': 0.23996305747649002, 'n_estimators': 750}"
46,0.844895685639052,0.46159254702056596,0.6570419666293444,0.35835152838427947,"[[15372   712]
 [ 2351  1313]]","{'max_depth': 29, 'learning_rate': 0.18605999934265166, 'n_estimators': 300}"
47,0.8451488758355277,0.4618092221048926,0.6570920245132269,0.35807860262008734,"[[15378   706]
 [ 2352  1312]]","{'max_depth': 44, 'learning_rate': 0.10368727595160626, 'n_estimators': 650}"
48,0.843173992303018,0.4737468139337298,0.6645204787312027,0.3804585152838428,"[[15257   827]
 [ 2270  1394]]","{'max_depth': 40, 'learning_rate': 0.16614252413506275, 'n_estimators': 1400}"
49,0.8461109985821349,0.44975556762629004,0.6503063474618515,0.33897379912663755,"[[15467   617]
 [ 2422  1242]]","{'max_depth': 34, 'learning_rate': 0.06328540455815396, 'n_estimators': 100}"
50,0.8443893052461009,0.478179656987604,0.6667418270238453,0.38427947598253276,"[[15267   817]
 [ 2256  1408]]","{'max_depth': 25, 'learning_rate': 0.19927603629666363, 'n_estimators': 1000}"
51,0.8459084464249544,0.4721595836947095,0.6627217547287222,0.3714519650655022,"[[15344   740]
 [ 2303  1361]]","{'max_depth': 16, 'learning_rate': 0.20868880258458028, 'n_estimators': 400}"
52,0.8450982377962325,0.4726771246336839,0.6632781268971091,0.3741812227074236,"[[15318   766]
 [ 2293  1371]]","{'max_depth': 12, 'learning_rate': 0.19884187816433754, 'n_estimators': 550}"
53,0.8443893052461009,0.47389145694230445,0.664212800917454,0.3777292576419214,"[[15291   793]
 [ 2280  1384]]","{'max_depth': 22, 'learning_rate': 0.1418572801569289, 'n_estimators': 1000}"
54,0.8394267773951792,0.400226971817666,0.6268136904613225,0.28875545851528384,"[[15519   565]
 [ 2606  1058]]","{'max_depth': 1, 'learning_rate': 0.22429115686610496, 'n_estimators': 250}"
55,0.8449969617176423,0.46958932594004504,0.6615299359041886,0.36981441048034935,"[[15332   752]
 [ 2309  1355]]","{'max_depth': 25, 'learning_rate': 0.15713246388256885, 'n_estimators': 850}"
56,0.8442880291675107,0.4702842377260982,0.6621484816612347,0.37254366812227074,"[[15308   776]
 [ 2299  1365]]","{'max_depth': 19, 'learning_rate': 0.12662983348233098, 'n_estimators': 1050}"
57,0.845756532307069,0.47482758620689647,0.6643145117499937,0.3758187772925764,"[[15325   759]
 [ 2287  1377]]","{'max_depth': 31, 'learning_rate': 0.18056328358940468, 'n_estimators': 650}"
58,0.8439335628924448,0.46231681786461964,0.6577158305902744,0.36162663755458513,"[[15341   743]
 [ 2339  1325]]","{'max_depth': 37, 'learning_rate': 0.18965388414177975, 'n_estimators': 500}"
59,0.8466680170143812,0.4683988764044944,0.6603429022739787,0.3640829694323144,"[[15386   698]
 [ 2330  1334]]","{'max_depth': 14, 'learning_rate': 0.04671974777253354, 'n_estimators': 1200}"
60,0.8433765444601985,0.47263427109974426,0.6638018172063913,0.37827510917030566,"[[15269   815]
 [ 2278  1386]]","{'max_depth': 26, 'learning_rate': 0.17005889433893479, 'n_estimators': 1150}"
61,0.8445918574032814,0.42944785276073616,0.6402060239962901,0.3152292576419214,"[[15524   560]
 [ 2509  1155]]","{'max_depth': 4, 'learning_rate': 0.01609561801871863, 'n_estimators': 950}"
62,0.844895685639052,0.4763207385877928,0.6654720536506484,0.38018558951965065,"[[15292   792]
 [ 2271  1393]]","{'max_depth': 8, 'learning_rate': 0.213263091981258, 'n_estimators': 750}"
63,0.843173992303018,0.4799328295549957,0.6682086418030232,0.39001091703056767,"[[15222   862]
 [ 2235  1429]]","{'max_depth': 47, 'learning_rate': 0.20243400958078808, 'n_estimators': 1300}"
64,0.8404395381810816,0.4756199034781161,0.6665299549092156,0.39001091703056767,"[[15168   916]
 [ 2235  1429]]","{'max_depth': 48, 'learning_rate': 0.2296544950609667, 'n_estimators': 1350}"
65,0.8391229491594085,0.4697045568352529,0.663403424325783,0.3840065502183406,"[[15164   920]
 [ 2257  1407]]","{'max_depth': 47, 'learning_rate': 0.24316177571312045, 'n_estimators': 1650}"
