seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8395280534737695,0.4754179771561,0.666708025225644,0.39192139737991266,"[[15143   941]
 [ 2228  1436]]",0.5260680666183924,0.05439773931472978,0.47167032730366265,0.10340437438904587,0.7252747252747253,0.19399739016963896,0.5312773351050863,0.6965966690803765,0.8627693394560226,-0.1661726703756461
1,0.8443386672068057,0.4812689841376983,0.668607509809309,0.38919213973799127,"[[15248   836]
 [ 2238  1426]]",0.5124692658939234,0.047511981539553876,0.4649572843543695,0.09271186527971892,0.7105444521019986,0.17849073655671036,0.5320537155452882,0.7021426062521953,0.8682918170522455,-0.16614921080005018
2,0.8441361150496253,0.4842493297587132,0.6704853082995496,0.3943777292576419,"[[15225   859]
 [ 2219  1445]]",0.5070323488045007,0.05099384761003313,0.45603850119446754,0.10057316407970474,0.7063711911357341,0.19144144144144143,0.5149297496942926,0.7025316455696202,0.8679602460955986,-0.1654286005259784
3,0.8436803726959692,0.48575712143928046,0.6715754162915436,0.39792576419213976,"[[15203   881]
 [ 2206  1458]]",0.5206019347903977,0.052249808338739163,0.4683521264516586,0.10036422234922299,0.7092297015961138,0.19613135402609086,0.5130983475700229,0.6954496596202078,0.8680780798490298,-0.17262842022882208
4,0.8428701640672474,0.4797988264878457,0.6682328732125772,0.39055676855895194,"[[15214   870]
 [ 2233  1431]]",0.5093672675857194,0.05083042733022046,0.4585368402554989,0.09979131083774717,0.7056762438682551,0.1895395619132767,0.5161366819549784,0.6981265464828561,0.8670725220166676,-0.16894597553381152
5,0.8453514279927081,0.4920159680638723,0.6748141783475183,0.4036572052401747,"[[15215   869]
 [ 2185  1479]]",0.5267534345625452,0.05246731833706277,0.47428611622548245,0.09960508065910476,0.7232837933474876,0.20302087960906265,0.5202629137384249,0.7013738250180767,0.8688022612177599,-0.16742843619968328
6,0.8456046181891838,0.4850532004728931,0.6704384405452162,0.39192139737991266,"[[15263   821]
 [ 2228  1436]]",0.5166726425242022,0.04811604457810013,0.46855659794610205,0.0931267510952958,0.7150916784203103,0.18788958147818344,0.5272020969421268,0.7020437432771602,0.8692139866737425,-0.16717024339658226
7,0.8422118695564108,0.47770700636942676,0.6671964883596924,0.38891921397379914,"[[15207   877]
 [ 2239  1425]]",0.5140388768898488,0.05150265173836181,0.462536225151487,0.1001921334237879,0.7083916083916084,0.18442256042972247,0.5239690479618859,0.7005039596832253,0.8654095462581025,-0.1649055865748772
8,0.8416548511241645,0.47805040894675344,0.6675921662364291,0.39082969432314413,"[[15189   895]
 [ 2232  1432]]",0.5151843817787418,0.053115063007890706,0.4620693187708511,0.10309913282794786,0.7113850616388687,0.19737417943107222,0.5140108822077964,0.695589298626175,0.865445766105288,-0.16985646747911298
9,0.8425156977921815,0.47660720296196574,0.6664346243357743,0.3864628820960699,"[[15222   862]
 [ 2248  1416]]",0.5177935943060499,0.048588971543275475,0.4692046227627744,0.09383849487051826,0.7263007840342124,0.17558602388323752,0.5507147601509749,0.708185053380783,0.8648010390837171,-0.1566159857029341
10,0.8423637836742961,0.4860491992735678,0.6722424248676978,0.4017467248908297,"[[15163   921]
 [ 2192  1472]]",0.5290780141843971,0.053225425330812856,0.4758525888535843,0.1006003347405444,0.7146912704045423,0.20620842572062084,0.5084828446839215,0.6854609929078014,0.8685018903591682,-0.18304089745136687
11,0.8422625075957059,0.4767344196203594,0.6665953186274243,0.3872816593886463,"[[15214   870]
 [ 2245  1419]]",0.5161176053843429,0.04915805022156573,0.4669595551627772,0.09524583100582022,0.705137227304715,0.18591172536781098,0.519225501936904,0.6904002833864683,0.8675923190546528,-0.17719203566818453
12,0.8388697589629329,0.4705490848585691,0.6639856229684984,0.3859170305676856,"[[15152   932]
 [ 2250  1414]]",0.5104617604617605,0.05484213006597549,0.455619630395785,0.10743631416458237,0.693745506829619,0.19753629564452266,0.4962092111850963,0.683982683982684,0.8641611687087654,-0.18017848472608133
13,0.8447944095604618,0.4847873592200371,0.6705733083625377,0.3935589519650655,"[[15241   843]
 [ 2222  1442]]",0.505663134819145,0.05296572805831521,0.4526974067608298,0.10474508504017972,0.7086614173228346,0.19938244375827086,0.5092789735645638,0.7073438070880527,0.8669096466991947,-0.159565839611142
14,0.8449969617176423,0.49245564582987905,0.6752288273138077,0.40529475982532753,"[[15202   882]
 [ 2179  1485]]",0.5268551236749116,0.051779170114670765,0.47507595356024085,0.09827971255836236,0.7285318559556787,0.19504504504504505,0.5334868109106337,0.7063604240282686,0.8681877290459865,-0.16182730501771792
15,0.844439943285396,0.48559946416610855,0.6711987095043598,0.39574235807860264,"[[15226   858]
 [ 2214  1450]]",0.5172664485641585,0.05206801200211802,0.46519843656204046,0.10065994449601312,0.7237687366167024,0.1926646045072912,0.5311041321094112,0.7106506724827335,0.8660940165911631,-0.15544334410842964
16,0.841452298966984,0.4699509057050956,0.6628312711973927,0.37882096069869,"[[15229   855]
 [ 2276  1388]]",0.4981711777615216,0.05178088632890561,0.446390291432616,0.10394195537681933,0.7014147431124349,0.19215855234812582,0.5092561907643091,0.6997073884418434,0.8642294580933348,-0.1645220696514914
17,0.8441361150496253,0.48597194388777554,0.6715390691772127,0.3971069868995633,"[[15215   869]
 [ 2209  1455]]",0.5129682997118156,0.05302851755833137,0.4599397821534842,0.1033758179367471,0.7046885934219734,0.2004474272930649,0.5042411661289086,0.6977665706051873,0.8680768324298845,-0.17031026182469722
18,0.8410978326919182,0.47454789015405224,0.6656695701823071,0.386735807860262,"[[15193   891]
 [ 2247  1417]]",0.5061683599419449,0.05373116760828625,0.45243719233365864,0.10615275837163936,0.7035971223021583,0.193051890941073,0.5105452313610853,0.6992017416545718,0.8641125235404896,-0.1649107818859178
