seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.960539979231568,0.7606837606837606,0.19985621854780733
1,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9599068804966373,0.759090909090909,0.20081597140572827
2,0.9400391581008322,0.9689204617531397,0.5452776014599119,0.984785972150593,"[[  22  186]
 [  59 3819]]",0.9895643099399948,0.8379446640316206,0.15161964590837418,0.8467814124000005,0.9910374796306355,0.8673469387755102,0.12369054085512532,0.953822071484477,0.7312252964426877,0.2225967750417892
3,0.9383259911894273,0.9680203045685278,0.5398252469552108,0.9834966477565755,"[[  20  188]
 [  64 3814]]",0.986451276706618,0.8709677419354839,0.11548353477113416,0.8829303205357599,0.9880661784648765,0.8952879581151832,0.0927782203496933,0.9512767066180302,0.7379032258064516,0.2133734808115786
4,0.9231522271169849,0.9598773319703552,0.5227317808545245,0.9685404847859721,"[[  16  192]
 [ 122 3756]]",0.9687337154768109,0.9274193548387096,0.04131436063810123,0.9573522011487271,0.9693268186753529,0.9536082474226805,0.015718571252672398,0.9322563835330901,0.782258064516129,0.14999831901696115
5,0.9449339207048458,0.9715944956444894,0.5273820268179474,0.9922640536358948,"[[  13  195]
 [  30 3848]]",0.9974079834110938,0.8552631578947368,0.142144825516357,0.8574857752489331,0.9978413383702105,0.872093023255814,0.12574831511439655,0.9590461378952825,0.706140350877193,0.2529057870180895
6,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9590719499478624,0.796,0.16307194994786234
7,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9594805194805195,0.7796610169491526,0.17981950253136691
8,0.9478707782672541,0.9732109168658031,0.5084549926607689,0.9976792160907685,"[[   4  204]
 [   9 3869]]",1.0,0.9453781512605042,0.054621848739495826,0.9453781512605042,1.0,0.9467455621301775,0.053254437869822535,0.9638773388773388,0.6890756302521008,0.274801708625238
9,0.9488497307880568,0.9737404196507099,0.5044208949894871,0.9992264053635895,"[[   2  206]
 [   3 3875]]",1.0,0.9788135593220338,0.021186440677966156,0.9788135593220338,1.0,0.9841269841269841,0.015873015873015928,0.9581818181818181,0.7966101694915254,0.16157164869029272
10,0.9434654919236417,0.9708664396519108,0.5106840361804261,0.9925219185146983,"[[   6  202]
 [  29 3849]]",0.9953222453222453,0.9285714285714286,0.06675081675081673,0.9329354718388662,0.9959316517493898,0.9267015706806283,0.0692300810687615,0.95504158004158,0.7563025210084033,0.19873905903317668
11,0.9415075868820362,0.9697046520471542,0.5460511960963224,0.9863331614234141,"[[  22  186]
 [  53 3825]]",0.9916818299974006,0.8200836820083682,0.1715981479890324,0.8269624966412038,0.9929539295392954,0.8563829787234043,0.1365709508158911,0.953990122173122,0.7405857740585774,0.21340434811454456
12,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9616087751371115,0.7626459143968871,0.1989628607402244
13,0.9219285364659814,0.9590868282672823,0.5493860832308486,0.9641567818463125,"[[  28  180]
 [ 139 3739]]",0.9735133731498312,0.723404255319149,0.25010911783068224,0.7430860995556262,0.974345125573859,0.7485714285714286,0.22577369700243044,0.9387172163074526,0.6468085106382979,0.2919087056691547
14,0.9419970631424376,0.9700946372239748,0.5076355278295712,0.9912325941206808,"[[   5  203]
 [  34 3844]]",0.9950482147511076,0.9196787148594378,0.07536949989166986,0.9242554292602574,0.995114006514658,0.9175257731958762,0.07758823331878173,0.9556945530362262,0.7309236947791165,0.22477085825710974
15,0.9395496818404308,0.9686746987951808,0.5404699091522196,0.984785972150593,"[[  20  188]
 [  59 3819]]",0.9911527452511059,0.8148148148148148,0.1763379304362911,0.8220880371051019,0.9924057499321942,0.837696335078534,0.1547094148536602,0.9536820192557898,0.7160493827160493,0.23763263653974043
16,0.9490944689182574,0.9738824711200401,0.5,1.0,"[[   0  208]
 [   0 3878]]",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9598749348619072,0.782258064516129,0.17761687034577822
17,0.9451786588350465,0.9716455696202531,0.5525350101162376,0.9896854048478597,"[[  24  184]
 [  40 3838]]",0.9919605809128631,0.8565217391304348,0.13543884178242827,0.8634634839443024,0.9929881337648327,0.9176470588235294,0.07534107494130338,0.9561721991701245,0.7608695652173914,0.19530263395273317
18,0.9307391091532061,0.9640817362609468,0.5017046356170904,0.9793708096957194,"[[   5  203]
 [  80 3798]]",0.9789117417339235,0.9836734693877551,-0.004761727653831649,1.0048643074250978,0.9791158123135341,0.9842931937172775,-0.005177381403743464,0.9409008070814892,0.7714285714285715,0.1694722356529177
19,0.9243759177679882,0.9603592046183451,0.5643248899115325,0.9651882413615266,"[[  34  174]
 [ 135 3743]]",0.9736979166666667,0.7235772357723578,0.25012068089430894,0.7431229166530767,0.9755700325732899,0.7680412371134021,0.20752879545988778,0.9388020833333334,0.6991869918699187,0.23961509146341464
