seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9275575134605971,0.9621676891615543,0.5478017019082001,0.9706034038164002,"[[  26  182]
 [ 114 3764]]",0.9740394600207685,0.8290598290598291,0.14497963096093935,0.851156306380187,0.975945945945946,0.8595505617977528,0.11639538414819317,0.9402907580477674,0.717948717948718,0.22234204009904945
1,0.9336759667156143,0.9655523071056311,0.5305507894632443,0.9793708096957194,"[[  17  191]
 [  80 3798]]",0.9813760993274703,0.8863636363636364,0.09501246296383392,0.9031844539224613,0.9827539746699003,0.9041916167664671,0.07856235790343324,0.9454216244180031,0.7272727272727273,0.21814889714527586
2,0.9351443954968184,0.9663492063492063,0.5290494703852104,0.981175863847344,"[[  16  192]
 [  73 3805]]",0.9833028959039917,0.9011857707509882,0.08211712515300351,0.9164884742076247,0.9845192829983704,0.9183673469387755,0.0661519360595949,0.9475606574484737,0.7470355731225297,0.20052508432594407
3,0.9402838962310328,0.9690669371196755,0.5408567064704248,0.9855595667870036,"[[  20  188]
 [  56 3822]]",0.9872329338196978,0.8911290322580645,0.09610390156163329,0.9026532662460943,0.989151071331706,0.9162303664921466,0.07292070483955937,0.9525794684731631,0.75,0.2025794684731631
4,0.9278022515907979,0.962444302991725,0.5138069286309358,0.9747292418772563,"[[  11  197]
 [  98 3780]]",0.9794163626889004,0.8790322580645161,0.1003841046243843,0.8975062001733475,0.9801845819761129,0.8711340206185567,0.1090505613575562,0.9424179260031267,0.7016129032258065,0.2408050227773202
5,0.9336759667156143,0.9656135008247685,0.5146263934621336,0.981175863847344,"[[  10  198]
 [  73 3805]]",0.9847071021254536,0.8947368421052632,0.08997026002019048,0.9086324656072927,0.9848893685914732,0.9011627906976745,0.08372657789379878,0.9468636599274235,0.7105263157894737,0.23633734413794982
6,0.9329417523250122,0.9650599336903851,0.5551880430039275,0.9757607013924704,"[[  28  180]
 [  94 3784]]",0.9767987486965589,0.868,0.10879874869655892,0.8886170269548972,0.9793422125577602,0.9095477386934674,0.06979447386429283,0.9426485922836287,0.784,0.1586485922836287
7,0.933186490455213,0.9652892561983472,0.5302929245844408,0.9788550799381124,"[[  17  191]
 [  82 3796]]",0.9781818181818182,0.9364406779661016,0.04174114021571651,0.9573278306344906,0.9805089334055225,0.9456521739130435,0.03485675949247902,0.9438961038961039,0.7584745762711864,0.18542152762491748
8,0.9297601566324033,0.9634348324627341,0.5307627841472606,0.9749871067560598,"[[  18  190]
 [  97 3781]]",0.9747920997920998,0.9243697478991597,0.05042235189294009,0.9482737376475517,0.9760043138312213,0.9526627218934911,0.02334159193773022,0.9428274428274428,0.7184873949579832,0.2243400478694596
9,0.9226627508565834,0.9596011250319612,0.5247488296901655,0.9677668901495616,"[[  17  191]
 [ 125 3753]]",0.9716883116883117,0.8601694915254238,0.11151882016288794,0.8852319011956379,0.9718080780699376,0.8888888888888888,0.08291918918104879,0.9324675324675324,0.7627118644067796,0.16975566806075282
10,0.9307391091532061,0.9639628167579269,0.5312785139048677,0.9760185662712738,"[[  18  190]
 [  93 3785]]",0.978950103950104,0.8739495798319328,0.10500052411817118,0.8927416998123912,0.9810143748304855,0.8795811518324608,0.10143322299802471,0.9428274428274428,0.7352941176470589,0.20753332518038392
11,0.9312285854136074,0.9641718730077776,0.5451858610703376,0.9749871067560598,"[[  24  184]
 [  97 3781]]",0.9841434884325448,0.7489539748953975,0.23518951353714734,0.7610211150086091,0.9853658536585366,0.7712765957446809,0.2140892579138557,0.9469716662334287,0.6778242677824268,0.2691473984510019
12,0.9260890846793931,0.9614402451481103,0.5311037112706788,0.9708612686952037,"[[  19  189]
 [ 113 3765]]",0.9717942021415513,0.9066147859922179,0.06517941614933342,0.9329287867681275,0.9731124388919066,0.9285714285714286,0.04454101032047797,0.9381039435884043,0.7470817120622568,0.1910222315261475
13,0.9346549192364171,0.9660002546797402,0.551540742650851,0.9780814853017019,"[[  26  182]
 [  85 3793]]",0.9802648662685017,0.851063829787234,0.12920103648126768,0.8681978300690433,0.981636510937078,0.9028571428571428,0.07877936807993524,0.9459880550506362,0.7489361702127659,0.19705188483787028
14,0.9300048947626041,0.963603970475948,0.5217920617288848,0.9762764311500773,"[[  14  194]
 [  92 3786]]",0.9757623143080532,0.9477911646586346,0.027971149649418603,0.9713340541653795,0.9771986970684039,0.9587628865979382,0.01843581047046572,0.9405785770132916,0.7670682730923695,0.17351030392092215
15,0.9415075868820362,0.9698041692987998,0.5164773178085452,0.9896854048478597,"[[   9  199]
 [  40 3838]]",0.9924538121259433,0.9176954732510288,0.07475833887491445,0.924673231175591,0.9932194195823163,0.9214659685863874,0.07175345099592889,0.9539422326307572,0.7448559670781894,0.20908626555256782
16,0.9373470386686246,0.9675374080649252,0.5279349486253818,0.983754512635379,"[[  15  193]
 [  63 3815]]",0.9867118290776447,0.8911290322580645,0.09558279681958015,0.9031299777677453,0.987785016286645,0.9072164948453608,0.08056852144128412,0.9497133923918708,0.7459677419354839,0.20374565045638693
17,0.9295154185022027,0.9632559326358765,0.5420084202800809,0.9734399174832388,"[[  23  185]
 [ 103 3775]]",0.9753630705394191,0.8652173913043478,0.11014567923507124,0.8870721246661966,0.9765372168284789,0.9058823529411765,0.07065486388730247,0.9411307053941909,0.7347826086956522,0.2063480966985387
18,0.9366128242780225,0.9671278080974742,0.5320979787360655,0.9824651882413615,"[[  17  191]
 [  68 3810]]",0.985941161155949,0.8734693877551021,0.11247177340084691,0.8859244569229857,0.9867100623813398,0.900523560209424,0.08618650217191581,0.9484509242384795,0.7510204081632653,0.19743051607521422
19,0.9251101321585903,0.9608895705521472,0.5351378089419606,0.9693140794223827,"[[  21  187]
 [ 119 3759]]",0.9721354166666667,0.8658536585365854,0.10628175813008134,0.8906718587678778,0.9736699239956569,0.8865979381443299,0.08707198585132703,0.93671875,0.7439024390243902,0.1928163109756098
