seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.9427312775330396,0.9704321455648219,0.5239467211488872,0.9902011346054668,"[[  12  196]
 [  38 3840]]",0.9937694704049844,0.8888888888888888,0.10488058151609558,0.8944618599791013,0.9951351351351352,0.8876404494382022,0.10749468569693299,0.9574247144340602,0.7008547008547008,0.2565700135793594
1,0.9344101811062163,0.9659119816840498,0.5400372416392272,0.9791129448169159,"[[  21  187]
 [  81 3797]]",0.9842214174857734,0.8136363636363636,0.1705850538494098,0.8266802054712699,0.9851791969819456,0.844311377245509,0.14086781973643658,0.9472322814278323,0.7090909090909091,0.23814137233692323
2,0.9290259422418012,0.9630290668026517,0.5326509005434998,0.9739556472408458,"[[  19  189]
 [ 101 3777]]",0.9746934516044874,0.9090909090909091,0.06560254251357833,0.932694179482188,0.9766431287343835,0.923469387755102,0.053173740979281514,0.9410383511609706,0.7470355731225297,0.1940027780384409
3,0.9407733724914341,0.9693515704154002,0.5342898302058953,0.9868488911810211,"[[  17  191]
 [  51 3827]]",0.9908806670140698,0.8669354838709677,0.1239451831431021,0.8749141170383313,0.9924057499321942,0.8795811518324608,0.11282459809973344,0.9551849921834289,0.717741935483871,0.2374430566995579
4,0.9402838962310328,0.9691529709228824,0.5158326556115365,0.9883960804538422,"[[   9  199]
 [  45 3833]]",0.9921834288692027,0.9032258064516129,0.08895762241758987,0.9103415559772295,0.992128121606949,0.9175257731958762,0.07460234841107272,0.9525794684731631,0.75,0.2025794684731631
5,0.933186490455213,0.965253913707522,0.5393925794422184,0.9778236204228984,"[[  21  187]
 [  86 3792]]",0.9808190772420944,0.8552631578947368,0.12555591934735755,0.8719887059085345,0.9821910415542364,0.8837209302325582,0.09847011132167827,0.9455676516329704,0.7236842105263158,0.2218834411066546
6,0.9405286343612335,0.9691898060098897,0.5432605526242711,0.9855595667870036,"[[  21  187]
 [  56 3822]]",0.987747653806048,0.88,0.107747653806048,0.8909158089205594,0.9896711062788801,0.9095477386934674,0.08012336758541272,0.9515119916579771,0.772,0.17951199165797704
7,0.9295154185022027,0.9632277834525025,0.5488331614234141,0.9726663228468283,"[[  26  182]
 [ 106 3772]]",0.9771428571428571,0.8135593220338984,0.16358353510895873,0.8325899494498961,0.9796968056307526,0.8315217391304348,0.14817506650031775,0.9433766233766234,0.7033898305084746,0.23998679286814883
8,0.9383259911894273,0.9679552390640894,0.558024556670766,0.9814337287261475,"[[  28  180]
 [  72 3806]]",0.9818087318087318,0.8739495798319328,0.10785915197679907,0.8901423989394592,0.9830142895659207,0.9467455621301775,0.036268727435743275,0.9493243243243243,0.7605042016806722,0.1888201226436521
9,0.9255996084189917,0.9611451942740287,0.5376705875352085,0.9695719443011862,"[[  22  186]
 [ 118 3760]]",0.972987012987013,0.847457627118644,0.12552938586836893,0.8709855484267964,0.9747899159663865,0.8677248677248677,0.10706504824151886,0.9368831168831169,0.7415254237288136,0.1953576931543033
10,0.9344101811062163,0.965989847715736,0.5195630182092277,0.9814337287261475,"[[  12  196]
 [  72 3806]]",0.9828482328482329,0.9243697478991597,0.05847848494907315,0.9405010020930636,0.9842690534309737,0.9267015706806283,0.0575674827503454,0.9451663201663202,0.7605042016806722,0.18466211848564795
11,0.9211943220753793,0.9588340577857327,0.5171504939104217,0.9669932955131512,"[[  14  194]
 [ 128 3750]]",0.9688068624902522,0.9079497907949791,0.0608570716952731,0.9371834840859362,0.9691056910569106,0.925531914893617,0.04357377616329361,0.9311151546659735,0.7615062761506276,0.1696088785153459
12,0.9419970631424376,0.9700113880804757,0.5326595786884596,0.9883960804538422,"[[  16  192]
 [  45 3833]]",0.9898145729955602,0.914396887159533,0.07541768583602715,0.9238062482675071,0.9907658881042911,0.9438775510204082,0.04688833708388296,0.9540349960825281,0.7626459143968871,0.19138908168564095
